,rf rmse,rf r2,rf mape,lr rmse,lr r2,lr mape,svm rmse,svm r2,svm mape,nn rmse,nn r2,rnn mape,gb rmse,gb r2,gb mape
average feed intake g per d,12.533169527378671,0.9701762525949318,0.03305701112664388,12.110893900168959,0.9721520786936023,0.07396573223923947,45.087624857945606,0.6140286222393969,0.24015878966027782,1.2062896606090718,0.9997237237229979,0.007331038745410848,11.982944380609808,0.9727373874679662,0.025515138182963436
"bodyweightgain,g",5.805616754927434,0.9621870578193442,0.05950299779465526,5.616606189547532,0.9646090930587204,0.06036625289109001,13.567952140299287,0.793475133691774,0.17352190484529487,6.710329554838553,0.9494837105650215,0.06867800788895684,6.330558862777963,0.9550398401820804,0.0600986288406673
akp U per ml,61.498199193840954,0.7030651134531809,0.44118217408073984,27407.60823418406,-58975.460330626316,18.498540816209662,118.28844832854699,-0.09855321006186779,0.5397921604843873,73.09322254901238,0.5805399089048666,0.3934352391190819,70.66716968994001,0.6079225879356585,0.45004660135904806
alt (U per L),0.7618967957116192,0.3952890032572195,0.4379555427442491,411.7417695276225,-176604.98833790133,93.76330477443393,0.8152751581128681,0.30758894866237196,0.4666985730291554,0.6598363419453891,0.5464470088648219,0.30636899517627975,1.0382844213590676,-0.12302195780013458,0.5181703832741341
glucose (g per L),0.3510316566317371,0.45604198143384955,0.10695568083748565,0.3350518304412458,0.5044393594405994,0.11333213269892042,0.34030724175810323,0.4887713340757929,0.1082940722379531,0.28537135814224573,0.6405043992747534,0.09720245799821974,0.3446298242147923,0.4757015993925009,0.11125051142383505
"nefa,umol per L",212.03204751120973,0.2699443856937931,0.4981478830014759,19746.060662883465,-6330.605746413483,32.023107876103474,248.79622189421877,-0.005172255777601942,0.5913399951388539,182.74397900871435,0.45770064921875353,0.30471831323467885,235.98987712653357,0.0956434694298689,0.5525978294518671
pip mg per dL,18.607646170247357,0.6414837313866937,0.19195443988491048,753.4345846029505,-586.7830964044043,3.0423362392163695,26.662792535168837,0.2638992570371287,0.2727212625851088,15.280174463190857,0.7582410198225973,0.14603910550739818,20.568053097319147,0.561961423645486,0.208551346678717
tc mg per g,9.10915945885188,0.36285150631522267,0.11324615857727204,220.92311092532415,-373.7713228638999,0.7254097042502579,10.778503869230606,0.10792572555164293,0.15604789506686625,8.655434097667122,0.4247432020804851,0.10146670365421606,9.861697722045351,0.2532290339287435,0.13229303273247367
tg mg per g,7.325278467581677,-0.5365824275289293,0.22605794359906528,124.86569714869243,-445.4716394137346,1.1041928379909707,5.9855838721346055,-0.025936841954684153,0.1990738800052419,9.824622406760174,-1.7640081575195983,0.31411114678988034,7.7869172577165,-0.736355729694409,0.23874815128355503
trap U per L,1.4210117525148054,-0.03457005928224599,0.979225336819297,1.516796094016614,-0.17874257292530715,1.1250560924984998,1.2201398355458026,0.23724725581679862,0.9292871782797946,1.5844030755544556,-0.2861627271177847,1.321299147149124,1.7250285935413443,-0.5246043778277758,1.7468391202394575
uric acid mmol per L,66.10539342956962,0.23495437505883188,0.27381196425222176,66.44933906705035,0.2269726164331639,0.3027753133651859,71.63387739096146,0.10163987731068924,0.36269671343227927,72.1548220021543,0.08852603815503512,0.28062215942566265,67.99908920257545,0.19049462139727513,0.28790022147547517
BCA,3.5420029288793606,-1.3269769543112373,0.10193301063739,74.60479835391587,-1031.3519251213074,2.0662987889710767,2.343300574851054,-0.018474707597209816,0.06483197564710207,3.1058648774199096,-0.7892019603792138,0.08483668850532251,3.112565001403135,-0.796929795204623,0.08453707972726338
Liver PUFA,119.15816953270102,0.9178250037980891,0.8379039145530053,9796834959.546036,-555473864911601.3,1752451.2766185324,442.9520237865074,-0.1355478176378957,0.2844914502930882,235.63468262869623,0.6786557937622242,0.288655146029046,93.60159061778887,0.9492940989692774,0.18287927318752092
