,rf rmse,rf r2,rf mape,lr rmse,lr r2,lr mape,svm rmse,svm r2,svm mape,nn rmse,nn r2,rnn mape,gb rmse,gb r2,gb mape
average feed intake g per d,12.654097434362717,0.9695979595545832,0.02940846560108707,901.5395159023016,-153.31563090805273,1.2729487125681267,46.14004933252862,0.5957998286932111,0.2367893501351727,1.23816776653629,0.9997089287093013,0.008546186626806347,12.582059712402522,0.9699431220324203,0.026713518037140532
"bodyweightgain,g",6.03093421068714,0.9591950428998637,0.05986964015538428,866.3695587832643,-841.0737170802261,2.369141715879339,14.530136163049924,0.7631446973776663,0.17154682522823841,6.413034216410937,0.9538607152417179,0.06858644529847753,5.82502254610708,0.9619338490836683,0.06009767784356033
akp U per ml,62.62287228049942,0.692105171694837,0.4356499970936807,6865860.776215601,-3701062447.560788,4421.58855798624,118.59751256676444,-0.10430131259574416,0.5571305436796687,74.24218408687248,0.5672491725092383,0.4790854411107021,68.83608612225967,0.6279778774841662,0.5842426159129667
alt (U per L),0.8009284652686463,0.33174374881601065,0.4727676071282127,8391.20766051801,-73350740.75588578,1902.893646504917,0.8299026503908681,0.28251987465161854,0.47557956910823157,0.8161837610644439,0.3060447404490634,0.4596908357194288,0.7455323934976721,0.42098660759329487,0.40877774396179467
glucose (g per L),0.3591867872612223,0.43047404462456584,0.11080301752382549,389.3752362173055,-669281.5020162717,18.255054427820344,0.3502687522028081,0.45840380278335724,0.10961833165840011,0.28793087090279734,0.6340268049573019,0.09469908109374156,0.4002097511873441,0.29295322118423806,0.12299941401295844
"nefa,umol per L",207.01399041011408,0.3040912059449694,0.46221559021639275,13097828.850890761,-2785810385.150038,21009.369018477042,249.59799883136503,-0.011661281388383848,0.5899223355325095,174.1689446041356,0.5074000412141685,0.31173551996290416,221.72896558755627,0.20164179574670782,0.5084571800503485
pip mg per dL,17.78458022482025,0.6724985501593705,0.19257746293699765,362805.1767107754,-136292807.11387476,1356.70391647179,27.110713378438742,0.23895930500865048,0.2803231964142793,28.86821225249466,0.13708946976459924,0.27466757560074884,21.31672140095319,0.5294922214512194,0.2212784637384195
tc mg per g,9.031724418772907,0.37363799326349323,0.11272698566205547,1293375.4574274162,-12844975576.560421,3567.6862943418782,10.841604987428493,0.09745012371568029,0.15682049829748798,8.962928753741355,0.3831437917891144,0.10600105185720352,8.653564699718634,0.42499166281283296,0.1024202348926337
tg mg per g,7.175222228982166,-0.47427430877181886,0.21572220525790184,47830.35124419556,-65511073.81538164,286.11238449923337,6.037421430501937,-0.04378383936108854,0.20271623028761274,8.920051020691586,-1.27846447395804,0.28590041544542816,6.661273086043102,-0.27063864946629734,0.22293487717754748
trap U per L,1.4611937796287808,-0.09390648144406821,0.9610808995925382,1.5235308094276205,-0.189233263970491,1.163157848102049,1.2037390948423878,0.257614813367372,0.9401319166407149,1.5414804372085635,-0.21742047361761285,1.1137995058282966,1.3714135891928356,0.03638963423965569,1.3046837225601045
uric acid mmol per L,66.5405117968717,0.2248498754509679,0.2809123184214959,94.89978488979199,-0.5766816142231688,0.4885832681692038,72.18609691833827,0.087735725078949,0.3680230641801449,72.47950493937724,0.08030466439846085,0.3297157453127868,64.69596536001853,0.26722955849885044,0.24619903442346797
BCA,3.4561555634625427,-1.215546219130624,0.10012101013460155,20.983247584836874,-80.66569458488885,0.5055633729082657,2.396380862772027,-0.06513813916890943,0.0668398237096859,2.732249055429524,-0.3846334504154745,0.07113058159695275,3.769743152938287,-1.6358322803342058,0.10853926903073553
Liver PUFA,137.90406508044006,0.8899357741922006,0.2474321352691352,3242951610.2436814,-60865750755243.695,581677.4493525485,443.1368135533956,-0.13649546602888352,0.2822007224875657,143.81420325829987,0.8802995989061985,0.22853506497364848,150.92753437036535,0.8681655229062001,0.6733084939609997
Liver n-3,29.905733831866232,0.8269428182063859,0.2918020843860262,423038430.44651306,-34629031386033.15,970277.9878198829,79.428112934196,-0.22075690354269906,1.6011588242270682,9.496333314243262,0.9825501138038487,0.24012317991551005,11.983880309085167,0.9722108268198946,0.2507560990321448
