,rmse,r2,mape
average feed intake g per d,9.92242416046385,0.9813071310823946,0.023723967103649074
"bodyweightgain,g",6.3403750063538356,0.9549003019327309,0.06333269066298114
akp U per ml,59.8363461844376,0.7188963013258383,0.47029543837328464
alt (U per L),0.8569751051345254,0.23494618666260325,0.5325872556241737
glucose (g per L),0.3325429741917772,0.5118330546257921,0.11381270300788064
"nefa,umol per L",214.4808665868828,0.25298376210563933,0.5507952769114071
tg mg per g,7.531374614689503,-0.6242620032587236,0.27295593937142565
trap U per L,1.339231174243891,0.08108431115494141,1.1254351691206965
uric acid mmol per L,65.28109014014419,0.25391493983820335,0.25960389843301335
BCA,2.24626391277599,0.06412938706484206,0.054295478304535655
Liver PUFA,96.9874370024373,0.9455593863327987,0.810582988886567
Liver n-3,31.279481564460674,0.8106785629525531,1.6437462296556318
Liver C22:6,19.134422986135696,0.7995722894904173,1.1620735711932755
Breast SFA,8.552096417710098,0.9913511604823301,0.7531910077008467
Breast MUFA,20.068607816849543,0.9616131044276435,0.7680186875537176
Breast PUFA,13.296127220633704,0.982544818724677,0.8515316094104187
Breast n-3,1.4499659098713928,0.9373109189669719,0.24893697810011525
Breast n-6,16.74705450567952,0.9694181589003248,1.8558000652042395
Breast C18:3 ,0.5790064997382662,0.965829635202461,0.1822331444352555
Breast C22:6,0.0877059994202767,0.9979945343533209,0.12206359546231728
Thigh SFA,75.20871454474889,0.8304333028371167,0.8613696294078199
Thigh MUFA,94.14383180899867,0.8269940952863913,0.3820359261253913
Thigh PUFA,138.05079812107306,0.7244040182129813,0.1341250993005083
Thigh n-3,2.2259296487123934,0.9693445121819337,0.20381941696766898
Thigh n-6,114.37100038795279,0.7710058450536759,1.055400239940619
Thigh C18:3,5.472498668888548,0.6033019604997367,0.8332192869320237
Thigh C20:4,0.19643869762462593,0.9892603099983823,0.22460045246762841
Thigh C22:6,2.113432505902017,0.5525028598646474,0.7908563567124013
Plasma n-6,0.09546458092054665,0.7697282495576009,0.14293959367459247
Plasma SFA,0.19791702907718303,-0.18108599990347352,0.14111831142346326
Plasma PUFA,0.1441555906008818,-0.17375999518220886,0.13286174448269766
Plasma n-3,0.1328270630383973,0.11678064149940648,0.26161542359176176
breast mTOR,0.22274059654667444,0.23448883325591352,0.516477800471563
breast S6K1,0.2623278904810519,-0.23907767221627685,0.3788376644983691
breast 4E-BP1,0.7011753015965666,0.4103622628580609,0.36076789898505246
breast MURF1,3.0450604919273796,-0.4988218394553472,1.5487549969243795
breast MAFbx,1.0219726996947978,-0.06889700006059996,1.1089157595669201
breast AMPK,1.0613829070786867,0.6281196358714438,0.3715581933708435
breast LAT1,0.20080174657152955,-0.1345110314321476,0.15157738673520424
breast CAT1,0.36663985240491465,0.10030950359493529,0.29855807926230293
breast SNAT2,0.35084380198570586,0.30814534726258613,0.3817684236747559
breast VDAC1,0.2558725347388968,0.41584110832791055,0.14364501300617924
breast ANTKMT,0.2778604528544814,-0.26932953493780754,0.24537692527204003
breast AKT1,0.18186360119738054,-0.16530967357325932,0.18554257473146277
IGF1,0.5166596504256927,-0.13763374486265856,0.44913089165722786
IGFR,0.22476915076989945,0.02443709808970107,0.1988656175907896
IRS1,0.26409974613711384,-0.18334646589237957,0.1712639798886941
FOXO1,1.2631007768342217,-1.7540164403742233,0.8323952062843688
LC3-1,0.17844771557643402,-0.06277350096149492,0.16391805871159862
MyoD,0.20179543746166737,-0.07517688256384636,0.1469852421582023
MyoG,0.34265168172832094,0.003287352867133997,0.24897059634606092
Pax3,0.16928146118608003,-0.20595678439936793,0.15062833381221807
Pax7,0.16085750545840408,0.07603765679310626,0.15390052818148975
Mrf4,0.20502519055482818,-0.013758190285002359,0.21508760631312943
Mrf5,0.2716874197573248,-0.3118059023482478,0.19012995427165524
liver mTOR,0.5450652635515898,-0.23821949065111236,0.2839034998426438
liver S6K1,0.8815148336165871,-0.10177595772366321,0.22883185845186174
liver 4E-BP1,0.6476266451129419,-1.0511873807409895,0.13576578179292736
liver MURF1,0.09202314998581893,0.781741694256604,0.26801903330281723
liver MAFbx,0.3187331518407328,0.36335125387461154,0.530091502766455
liver AMPK,1.2081010150911293,0.11440079770554701,0.3662441948519918
