,average feed intake g per d,"bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",tg mg per g,trap U per L,uric acid mmol per L,BCA,Liver PUFA,Liver n-3,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C18:3 ,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C18:3,Thigh C20:4,Thigh C22:6,Plasma n-6,Plasma SFA,Plasma PUFA,Plasma n-3,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK
0,Vitamin K mg,Thiamin mg,"Se,mg",Cu mg,"beta-carotene,mg","C18:2 cis n-6 LA,g","K,g","Phe + Tyr,g","beta-carotene,mg","Fe,mg",Folic acid mg,"Cl,g",Ca:P ratio,Folic acid mg,Folic acid mg,Folic acid mg,Ca:P ratio,"Total Phosphorus,g",Ca:P ratio,Ca:P ratio,Folic acid mg,Folic acid mg,Folic acid mg,"Total Phosphorus,g","Total Phosphorus,g","K,g",Vitamin E IU,Ca:P ratio,"beta-carotene,mg","beta-carotene,mg","C18:2 cis n-6 LA,g","C18:1,g","beta-carotene,mg","beta-carotene,mg","C22:6n-3 DHA,g","Fe,mg","Fe,mg","C22:6n-3 DHA,g","Cl,g","Cl,g","Ash,mg",Ca:P ratio,"C20:0,g","n-3 PUFA,g","Cl,g","Fe,mg","Cl,g","Cl,g","C20:0,g","Fe,mg","Cl,g","Cl,g","C20:0,g","PUFA,g","Cl,g","Ash,mg","C18:1,g","beta-carotene,mg","Zn,mg","Na,g","NFC,g"
1,Biotin mg,Folic acid mg,"Inorganic available P,g","C16:1,g","Fe,mg","C18:1,g","Fe,mg","Total Phosphorus,g","C18:1,g","Cl,g",Ca:P ratio,Folic acid mg,Folic acid mg,"Total Phosphorus,g","Total Phosphorus,g","Total Phosphorus,g","K,g",Folic acid mg,"K,g","Cl,g","K,g","Total Phosphorus,g","C20:4n-6 ARA,g","C20:4n-6 ARA,g",Ca:P ratio,Ca:P ratio,"C20:5n-3 EPA,g",Folic acid mg,"C22:6n-3 DHA,g","C22:6n-3 DHA,g","C18:1,g","PUFA,g",I mg,"C16:1,g",Ca:P ratio,I mg,"Na,g",Ca:P ratio,"C20:0,g","C20:0,g","Fe,mg","PUFA,g","C24:0,g","NFC,g","Valine,g","Cl,g","Se,mg",Cu mg,"Ash,mg","Ash,mg","C20:0,g","C20:0,g","C20:1,g","Ash,mg","Fe,mg","MUFA,g","C20:1,g","K,g","C18:2 cis n-6 LA,g","Zn,mg","C16:1,g"
2,,,,,,,"Cl,g",,,,"K,g",,,Vitamin D3 IU,,"C20:5n-3 EPA,g",,Vitamin E IU,"C20:4n-6 ARA,g",,"C20:4n-6 ARA,g","C20:5n-3 EPA,g",,Folic acid mg,"C20:4n-6 ARA,g","Inorganic available P,g","Inorganic available P,g",,,,,,,,"Ash,mg","Ash,mg",,,,"Mn,mg",I mg,"C18:2 cis n-6 LA,g",,,"Ash,mg",,,"C20:0,g",,,"Na,g","Se,mg","Cl,g",,,,"C22:6n-3 DHA,g",,,Folic acid mg,
3,,,,,,,"C18:1,g",,,,"Total Phosphorus,g",,,"C20:5n-3 EPA,g",,"C20:4n-6 ARA,g",,"C20:5n-3 EPA,g","C20:5n-3 EPA,g",,"C20:5n-3 EPA,g","C20:4n-6 ARA,g",,,"Inorganic available P,g",Folic acid mg,,,,,,,,,"Cl,g","Na,g",,,,"Leucine,g",,"n-3:n-6 ratio,g",,,,,,,,,,"C20:1,g","Fe,mg",,,,,,,"C18:2 cis n-6 LA,g",
4,,,,,,,"S,mg",,,,Vitamin D3 IU,,,Vitamin E IU,,Biotin mg,,"S,mg",,,,,,,,,,,,,,,,,"beta-carotene,mg","Calcium,g",,,,"C18:1,g",,,,,,,,,,,,"PUFA,g","Ash,mg",,,,,,,"K,g",
5,,,,,,,"Inorganic available P,g",,,,"C20:5n-3 EPA,g",,,"C20:4n-6 ARA,g",,Vitamin E IU,,Ca:P ratio,,,,,,,,,,,,,,,,,,"Mn,mg",,,,"Na,g",,,,,,,,,,,,"Isoleucine,g",,,,,,,,Riboflavin mg,
6,,,,,,,"Zn,mg",,,,"C20:4n-6 ARA,g",,,"Inorganic available P,g",,,,"K,g",,,,,,,,,,,,,,,,,,Vitamin E IU,,,,"Valine,g",,,,,,,,,,,,"MUFA,g",,,,,,,,,
7,,,,,,,"Tyrosine,g",,,,,,,Vitamin K mg,,,,"Inorganic available P,g",,,,,,,,,,,,,,,,,,"C22:6n-3 DHA,g",,,,"Ash,mg",,,,,,,,,,,,"Fe,mg",,,,,,,,,
8,,,,,,,"C18:2 cis n-6 LA,g",,,,,,,"K,g",,,,"C20:4n-6 ARA,g",,,,,,,,,,,,,,,,,,"Cl,g",,,,,,,,,,,,,,,,"n-3 PUFA,g",,,,,,,,,
9,,,,,,,Pantothenic acid mg,,,,,,,Biotin mg,,,,Riboflavin mg,,,,,,,,,,,,,,,,,,"Se,mg",,,,,,,,,,,,,,,,"n-3:n-6 ratio,g",,,,,,,,,
