,rmse,r2,mape
average feed intake g per d,12.629371905493338,0.969716651880526,0.02926198329070022
"bodyweightgain,g",6.022345704444332,0.9593111788351358,0.05960442130840408
akp U per ml,62.420852925244816,0.6940884849378955,0.4321735262668103
alt (U per L),0.774945998103475,0.3743975339911795,0.4640643314548838
glucose (g per L),0.35481170263534045,0.444263800155974,0.10895244309037999
"nefa,umol per L",208.27026874943084,0.29561923861099815,0.46965504522871787
tg mg per g,7.351550837276344,-0.5476242071388735,0.22540725430089176
trap U per L,1.4750937061000606,-0.11481752194510109,0.9750887470212127
uric acid mmol per L,67.23774405730359,0.20852023771740424,0.2844726914185918
BCA,3.5045766310080415,-1.278061118372055,0.09973106177530122
Liver PUFA,149.95515840226642,0.8698587822098508,0.5477153546426582
Liver n-3,25.65927748075727,0.8725999653252712,0.2637657202580125
Liver C22:6,17.64660659141909,0.8295294224476994,0.27170665346575135
Breast SFA,9.166489466211054,0.9900638360470079,0.6473098943747867
Breast MUFA,20.732218702116324,0.9590324434119836,0.6419600244984668
Breast PUFA,29.91748009792387,0.9116260918455541,0.7834209021038464
Breast n-3,1.2879516228711034,0.9505375730906117,0.3037076830068895
Breast n-6,36.82425407059932,0.8521386467890213,0.7181537323718565
Breast C18:3 ,1.2255817766897934,0.8469027721995043,0.4258848138742087
Breast C22:6,0.18714994934801132,0.9908686276728107,0.08257730953495376
Thigh SFA,98.17344116858825,0.7110702528209412,0.5024996983420514
Thigh MUFA,132.16762796102557,0.6590212018725845,0.7422499732048351
Thigh PUFA,148.26337734888966,0.6821202847131245,0.8167140282417729
Thigh n-3,3.7734324811193987,0.9119035252808863,0.27954471263930847
Thigh n-6,141.3617647484224,0.6501704640875986,1.192179563274731
Thigh C18:3,5.669608991193151,0.5742105054564008,0.9956425046249999
Thigh C20:4,0.4096077859693591,0.9533046042959776,0.19821010250829874
Thigh C22:6,2.120981047100925,0.5493005024694713,0.3451819217557249
Plasma n-6,0.09763758145852704,0.7591258762284736,0.1397005323432972
Plasma SFA,0.23180073572601034,-0.6201111666098711,0.1708798593923077
Plasma PUFA,0.18341131873782504,-0.9000655813788747,0.16485187442413332
Plasma n-3,0.13857662113768243,0.03866362554816627,0.284125721182426
breast mTOR,0.19141035116696206,0.43469397599443227,0.37165058655357597
breast S6K1,0.21439914953924485,0.1723328583614897,0.30084533318511736
breast 4E-BP1,0.7808514969270408,0.2687448372540977,0.33269096507216234
breast MURF1,4.46567956434644,-2.223541586881604,1.3406448764050816
breast MAFbx,1.8990318644140953,-2.69081071787714,1.5288826152370698
breast AMPK,0.7848252212273968,0.7966683564164131,0.20124446959024897
breast LAT1,0.1782633002507288,0.10587623916060784,0.14544274928254827
breast CAT1,0.3935147760121817,-0.03642023287861318,0.34521175747321836
breast SNAT2,0.40463973848316387,0.0797108301163133,0.41645956592453975
breast VDAC1,0.2748645429746128,0.32590502555874157,0.17125794543357328
breast ANTKMT,0.29389598620096347,-0.42006497756415806,0.25166677869634957
breast AKT1,0.21059403314971953,-0.5625787088251315,0.24255564421820386
IGF1,0.6202263926715155,-0.6394337074747585,0.57460062994196
IGFR,0.2458182287329189,-0.1668365847379143,0.21114071792171984
IRS1,0.2823575884804267,-0.35261711620360137,0.18150111507945552
FOXO1,1.4359651702499365,-2.5594126224134723,0.9647187454683404
LC3-1,0.20469404135403493,-0.3983926512115099,0.19684816259664925
MyoD,0.23014474613595934,-0.39848999153150233,0.11969188239120299
MyoG,0.34048165664786334,0.01587180946661837,0.24716235271938936
Pax3,0.14914338905202382,0.06390276591550559,0.12736959185412283
Pax7,0.18541341908778247,-0.22759168373383853,0.16034431469783364
Mrf4,0.2843445776639188,-0.9498887303726937,0.28828515293467966
Mrf5,0.32059546391308535,-0.8266076349930536,0.2353873985272691
liver mTOR,0.5542840943523061,-0.28045835135723474,0.31704853431710067
liver S6K1,1.0001465924924213,-0.41827798285530915,0.2975802738721872
liver 4E-BP1,0.7150716601689914,-1.500662328652004,0.17870381650665146
liver MURF1,0.1062588624017762,0.7089906698367963,0.19294065863631718
liver MAFbx,0.30394592812741283,0.42105398001972594,0.2971214683849074
liver AMPK,1.2267479632767921,0.08685150131117725,0.27384267965540854
