,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006447601595276448,0.0,0.0,0.0,0.0,0.0012112888366840359,0.0,0.12427493149038465,0.0,0.0,0.0,0.0,0.0,0.00022983579417407382,0.0,0.0,0.0,0.0,0.0,0.0,0.0011447108526576881,0.0025055407377486505,0.0,0.0,0.0,0.0,0.011174176096721621,0.0,0.0,0.0,0.0,0.0,0.0012694598890354834,0.0,0.001877868637448531,0.01547664663461538,3.7115565873977775e-05,0.0,0.0,0.0009880267968257043,0.0016514199663700485,0.0,1.940119822525419e-05,0.012317073638994957,0.0006188633961319919,0.0,0.0061096875203803525,0.0,0.0,0.0,0.0,0.0,0.002851271172414634,7.019163985686067e-05,0.00043300401660958444,1.2890077573692573,0.0,0.0,0.0,0.014587516135842603,0.0,4.3016565240983735e-05,0.0,0.0,0.0,0.0,0.00012758693934602187,0.0,0.0,0.001277968120643949,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00663207653466,0.0,0.00048226961083463245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009689372951173732,0.0,0.010561712699849934,0.0,0.0,0.0027623528457689298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010186057246769715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004241091620692397,0.0,0.0,0.0,0.002037388718237834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752207715385459,0.0,0.0,0.0,0.00048056402508465446,0.0002038906718773777,0.05051902882962747,0.0,0.015607557830880022,0.0,0.0,0.0015497905507991933,0.0,0.0,0.0,0.0,0.0012581024406380936,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014007353456487153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.256030618255153e-05,0.0,0.0,0.0,0.0,0.0,0.0004254960898674812,0.001613837949351287,0.0,0.0,0.0,5.685920534350536e-05,0.0,0.0,0.0,0.000518739567434538,0.0,0.0,0.0014457864530174709,0.0,0.0,6.526023882783642e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020482007273577192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374518590429259e-05,0.0,0.0,0.0,0.0012492195309987413,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008163160730940006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595607214391715,0.0,0.0,0.0,0.0,0.0,0.0029294718257600796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013035363680294912,0.00354730677015069,0.0,0.0,0.0,0.0,0.001650568983452519,0.0,0.0,0.0,0.0032604477628330733,0.0,0.0,0.0,0.0,4.4112326721206744e-05,0.0,0.0,0.0,0.0,0.0,2.8677359294030146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007924692027752082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011304673762578633,0.0,0.0,0.0,0.0004945098122869378,0.0,0.0,0.0,0.0,0.0,4.576396375043586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005725982447808267,0.0,0.0,0.0006295231723292827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023208977039467577,0.0,0.0,0.0,4.11548694843533e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9425120273138343e-06,0.0,0.0,0.0,0.0,0.0013812690123703173,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012560748625087357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142693864182693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007201854086538503,0.0,0.0,0.0,0.0,0.0,0.0,0.00015615561611665823,5.6166041299487366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025752402432256703,6.434509782515768e-05,0.0,0.0,0.0,4.173055387553122e-05,0.0,0.0,0.0,0.0,0.0,0.0327211474759617,0.0,0.0,0.0,0.0003370641256188393,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023157015200391277,0.0,0.0,0.0,0.0,0.0,0.0025676080314111145,0.0,0.0,0.0,0.0,0.0,7.103180095306428e-05,0.0,0.0,0.0,0.002968463764969952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006246923282553862,0.0,0.0016294895213678079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003761221015576651,0.0,0.0,0.33920857562754425,0.012855180288461618,0.0,0.0,0.0,0.0,0.0,0.14663823317307667,0.0,0.0005599369405720621,0.0,0.0,0.004331302167276255,0.00022787025554341008,9.715343092595388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001965795018865717,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045634772194206143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015093125506157623,0.0,0.0,0.0005756312598256264,0.0,0.0,0.0,0.0,0.0026006268459458394,0.0
