,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.00011757080021799948,0.0,0.0,0.0,0.0,0.0,2.724362155704194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3080271600953365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7888527284407885e-06,0.0,0.0,0.0,3.251325821452744e-05,0.0,0.0,4.489101750967154e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.2101819268502664e-06,0.0,0.0,0.0,1.4326499563655066e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.842399780455639e-05,0.0,0.0,0.0,1.0057390848534463e-05,0.0,0.0,0.0,0.0,2.851606799564032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0006404551539307272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6713317321500164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422412526501889e-05,0.0,0.0,0.0,0.0,0.0,1.0858399942624149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9797252695081093e-05,0.0004032136893314086,7.859570385861477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013569167777478127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.515414565313942e-06,0.0,0.0,0.0,2.598045517650771e-05,0.0,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,3.829959479498067e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0301775924878058e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654579481398132e-07,0.0,0.0,0.0,0.0,6.919002159971633e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0121515021007243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.00016045961673459019,0.0,3.3919079792937687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011214949086732342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823684575949377e-05,0.0,0.0,0.0,0.0,0.0,2.4399898805094745e-05,0.0,0.0,0.0,0.00012351069514491859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9147849508503986e-06,6.17352240561141e-05,0.0,0.0,0.0,0.0,1.2483746209561213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,7.260655078736772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924346706209742e-05,0.0,0.0,0.0,5.3521709510156496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38814731522865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.145200843618989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3129189465557404e-05,0.0,0.0,7.030033317772745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,3.391907979293759e-06,0.0,0.0005346060660172151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.865426222986351e-06,0.00013103282570442085,1.2822269260578928e-05,0.0,3.573823700812609e-05,0.0,1.8004217431481731e-06,5.397916790709319e-07,0.0,0.0,5.371735704646716e-06,0.0,0.0,0.0,0.0,2.8152048130796882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0168798704676148e-05,0.0,0.0,0.0,2.2461347828013324e-05,7.463279902114283e-06,0.0,1.9284317612285913e-06,0.0,0.0,0.0,0.0,0.0,1.3421929397062048e-06,0.0,0.0,0.0,0.0,5.827870781822023e-05,0.0,1.3146870528708791e-05,0.0,0.0,0.0,6.270785943278085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706096830406465e-06
"CP,g",0.0,0.0,2.724362155704218e-07,0.0,0.0,0.0,0.0,0.0,9.540290128099908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954742783155465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
