,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,1.4109008656506418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5993372386421e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.155138393056498e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77955303608953e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.379167166049494e-06,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0002739938263465604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1531661156274e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9809895600733965e-06,9.319611124842006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.472735971371764e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0507044981434743e-05,1.865379779821281e-05,5.212404564360692e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7949139684413206e-05,2.0393491484467774e-05,0.0,0.0,7.697014748964156e-05,7.244387654263359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9366607063621144e-06,0.0,0.0,0.0,0.0,0.0,7.299442287350424e-06,0.0,0.0,0.0,0.0,1.0890605780619266e-07,0.0,0.0,9.12662952732798e-06,1.2434141674923273e-05,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0018560996916318032,0.0,0.0,0.0,1.6042746017025207e-05,0.0,0.0,2.338519846498745e-06,0.0,0.0,0.0,0.0,7.816890337574426e-06,0.0,7.833719193366026e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.33812175703973e-07,0.0,0.0,2.0312335070973498e-05,5.630123727089351e-06,9.903755931246112e-06,0.0,7.286686212297459e-05,3.008686846753113e-06,0.0,4.436183365307134e-06,0.0,1.4579918781653979e-05,0.0,0.0,3.477661078541945e-05,0.0,0.0,0.0,0.0,0.000761012517113461,0.0,3.997559763767495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00046242196702059725,0.0,9.579921202482788e-06,0.0,7.874410155624646e-05,0.0,0.0,0.0,6.318492607337005e-07,0.0,0.0,0.0,0.0,4.332030924394798e-05,0.0,2.2365726429355874e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9381346346158008e-05,0.0,0.0,5.438439028683431e-05,0.0,0.0,0.0,3.351343570547025e-05,1.2120639375337025e-06,0.0,1.0834861114838091e-05,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0032083538093621365,0.0,3.2023281341400873e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.798444350059959e-05,4.3093145938614946e-07,0.0,0.0,0.0,0.00016029758132831017,0.0,0.0,0.0,0.0,2.5187964821136774e-06,1.165239009864587e-06,0.0,1.3682836894295616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.493086558473453e-05,0.0,4.2409728512049155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005467364638999249,8.444161765455517e-06,0.0,0.0,0.0016220421892451527,0.0,0.0,5.413671901539317e-05,0.0,0.0,2.101666632916217e-06,4.491059927437257e-05,0.0,0.0,0.0002484430347430555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616441315449182e-05,0.0,0.0,1.933960144201935e-05,0.0,0.0,3.4737130184827595e-05,0.0,2.0507332332382363e-06,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,4.657878766266477e-05,0.0,6.693191501131892e-06,0.0,0.0,0.0,5.2719873603591974e-06,0.0,0.0,0.0,0.0,0.0,3.1200559083023203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3163742882962285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924731753190777e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.969492494105267e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.698311062018118e-05,0.0,0.0,0.0,2.5652874207660158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8375710405837732e-05
"Crude fiber,g",0.0,0.0,0.0,0.0,3.2023281341400915e-07,0.0,0.000848996100883224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1923889519706939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6036527938809494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1300035731474302e-05,1.1079085360565384e-05,1.9768934031739124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004808170476197524,0.0,0.0,0.0,8.447599527412845e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967426992156088e-07,0.0,0.0,3.8301693463515464e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,1.6042746017025217e-05,0.0,6.69319150113189e-06,0.0,0.0017163301652151593,6.012599035854453e-06,1.2905450526435261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3053081931769324e-06,1.1131150010284858e-05,0.0,0.0,0.0,0.0,6.586339735440779e-05,0.0,0.0,0.0,0.0,4.2840190133100116e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016461950207065417,0.0,0.0,0.0,2.1893896930122294e-06,6.60439331495939e-05,0.0,2.491541689685079e-06,1.268572396441536e-05,0.0,0.0,0.0,0.0,0.0,0.0009280171473724149,2.439529137212294e-06,0.0,0.0,0.00012728762417406797,9.165578714091081e-06,0.0,3.978423000811173e-05,0.0,0.0,0.0,0.0,0.0001209985030021784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.445407561067846e-05,2.882424902535047e-05,0.0,0.0,0.0,0.0,0.0,6.539252254748972e-05,0.0,0.0,0.0,9.218909242753357e-05
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.012599035854462e-06,0.00013518312237944432,0.0,0.0,0.0,3.4018684341298925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472211148813812e-05,4.1599731174225074e-06,0.0,3.3512357904353646e-06,0.0,0.0,0.0,2.0044244860237026e-05,0.0,0.0,7.358577739424079e-05,0.0,0.0,0.0,0.0,5.2183362440435735e-05,7.060222548969538e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0067548131416796e-05,3.1122668880360636e-05,2.591987778039828e-06,0.0,1.7905548711764138e-05,0.0,0.0,0.0,0.0,0.0,2.0668474136895117e-06,0.0,0.0,0.0,0.0,2.682492824035557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00014609801630340749,0.0,0.0,0.0,0.0,6.950149487405812e-06,0.0,0.0,0.0,2.5341573176952212e-06,0.0,1.425957174626143e-05
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2905450526435283e-05,0.0,0.0002582760214287887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3956636415617459e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.847112257985505e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.773186000822104e-05,2.959504904503413e-05,0.0,0.0,0.0,0.00010137037910333304,0.0,5.992921865484325e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.818759872984301e-05,0.0,0.0,0.0,0.00012787629086434638,7.649662212803647e-06,0.0,0.0,6.660858124090252e-05,0.0,0.0,4.3302651155017845e-05,0.0,0.0,0.0,0.0,7.832564131861629e-06,0.0,0.0,2.26135585531971e-06,0.0,0.0,0.00010890098377434366,3.557688220461256e-05,0.0,0.0,0.0,0.0,0.0,2.018211248320892e-05,7.5780065839542715e-06,0.0,0.0,5.493495126318488e-06
