,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018260644636058287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2851851503830878,0.040004941399610236,0.0,0.0,0.0,0.003540843073416511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022564953077108068,2.649711538461534,0.0,0.0,0.008022959722740664,0.0,0.0,0.0,0.0,0.0,0.0,0.5405128205128191,0.0,0.0,0.0,0.0,0.0,0.029945783685552462,0.0,0.0,0.0,0.0,0.0,0.030018370382246855,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012421673756620583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04752278496688426,0.0,0.0,0.0,0.18796572545422002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08869922804085636,0.0,0.0,0.002148963998983328,0.030701434789899402,0.1121979668571085,0.24430000899998974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008674339350177465,0.0,0.0,0.0,0.0,0.0,0.0,0.030270844903346788,0.0,0.0,0.0,0.0,0.0,3.7145617327240785,0.0,0.0,0.0,0.0,0.0,0.28271188178804463,0.0,0.023986952289192516,0.033726231604999914,0.0,0.0009929491502291485,0.0,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8948122159765581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01156777885997222,0.751514423076926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01662894081350126,0.0,0.0,0.0,0.0,0.7222139423076936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20327811130415968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015217372748614177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854512019230766,0.0,0.0,0.0,11.135545613623272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004668108104471696,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022187588613869397,0.0,0.0,0.0,0.0,0.0,0.0,0.001588793746398644,0.0,0.02147577243807322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030463246605471884,0.01908966541879982,0.039602090129436426,0.0,0.0,0.013292844721593994,0.1267390335959597,0.0,0.0,0.003182320857176176,0.07653435605733881,0.0,0.005222183695934347,0.0,0.0,0.0,0.0,0.0,0.0,0.011134329261575673,0.0,0.0,0.00024710839846456994,0.0750035421952286,0.04874360352195217,0.0,0.004431484301536319,0.0,0.0,0.0010156073907292159,0.0017229131629986326,0.0,0.0,0.009821933053097786,0.0,0.03628869574140455,0.0,0.0,0.0,0.0,0.0,0.02534712456053026,0.04099993358101328,0.0,0.000899219991589415,0.0,0.04608394874380095,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011251367039058744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043289116786375724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266903667831517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036388046624025346,0.02094591133110316,0.0,0.0,0.0,0.0,0.033075987876475935,0.0,0.0,0.0,0.0,0.05948870355939956,0.0,0.0,0.0,0.0042607435473936105,0.0,0.0034196642354518275,0.0,0.0,0.0,0.0,0.003020444452696953,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.8948122159765578,0.0,0.0,0.0,0.0003887586872646261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039026513754528515,0.0,0.018484103728557348,0.0,0.0,0.0,0.03520471093161147,0.015980602011800377,0.10278875703873527,0.0,0.0,0.0,0.0,0.0,0.14327323579385995,0.0,0.0,0.0,0.6218545240384602,0.0,0.0,0.0,0.08653146851204613,0.025178852210662,0.13981319043958054,0.0038347303876305012,0.0,0.0,0.0,0.017510494870874912,0.0,0.0,0.0,0.0,0.0,0.0014416560251962346,0.0,0.0,0.0,0.06207635748022669,0.00118178170424831,0.0,0.0,0.0,0.0,0.4805495226414531,0.0,0.0,0.5248871231676109,0.0,0.0049153912768006795,0.005876509555595703,1.0173528427452216,0.030677674472741667,0.0,0.0,0.00022867880778886646,0.0016920842576172068,0.0,0.0,0.0,0.006899561901809778,0.0,0.0,0.00152287583185625,0.0
"CP,g",0.0,0.0,0.0018260644636058547,0.0,0.0,0.0,0.0,0.0003887586872646278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675596949557286,0.03369111682402159,0.0,0.0,0.0,0.0,0.0,0.0007839465388034868,0.0,0.0,0.0,0.0043605212831946865,0.0,0.0,0.0,0.0,0.0,0.01985379018781821,0.00011723149424771977,0.0,0.0,0.0,0.0031859660525432347,0.00032998049339551206,0.0,0.000651446087076876,0.0,0.0,0.007308041870699155,0.0,0.0,0.007755473575792796,0.49916089185332246,0.0,0.07446913398323737,0.01116349916821166,0.007467290070641064,0.0004461580270851617,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018044531034896914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010005321082303585,0.0,0.0,0.0,0.0,0.0,0.0
