,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.009885102053764874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013154236232805986,0.0,0.0,0.0,0.015422245263270237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015711414905858513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0013006424195478343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020038311312416034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017199050099343773,0.0,0.0,0.0,0.018097635842503883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006529729752628927,0.0,0.0,0.0,0.0,0.0,0.0,0.0006772486309476085,0.0,0.0,0.0,0.0,0.0,0.0,0.0010238774181208186,0.0,0.0,0.0,0.0,0.0,0.010700545364881273
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01812786401523919,0.0,0.0,0.0,0.020249110223422368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005922015963749206,0.0,0.0,0.0,0.0,0.0,0.0,0.0112752758944662,0.0027063503802240685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046777785102944365,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007365169014697276,0.0,0.00169151036486536,0.0,0.0,0.0,0.0,0.0016677228391864596,0.0,0.0,0.0,0.0,0.0,0.0005883645547661595,0.0,0.0,0.0,0.03114436566274776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015375118261400922,6.128776818194615e-05,0.0,0.0,0.0036597961725201625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000780298794647671,0.0,0.0,0.04811795198284147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.009885102053764857,0.0,0.001300642419547843,0.0,0.0,0.0,0.0002811074184301168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018724976001492772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007562896009662952,0.0,0.0,0.0,0.0,0.0,0.0,0.01903321545448992,0.0,0.0,0.0,0.0,0.08533152957837352,0.0,0.0,0.0,0.0,0.0003619532097286944,0.0,0.0,0.0,0.0663134570707853,0.0,0.0,0.0,0.06517337422927698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001512027720297958,0.0,0.0,0.0,0.0,0.0,0.0,0.010220017298679614,0.0,0.4913084270808613,0.0,0.0,0.0,0.0,0.0022899664888297163,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0002811074184301174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211065515425533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007094649352051375,0.0,0.0,0.0,0.0,0.00041375187291781785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007776468096509217,0.0,0.0,0.0,0.14827180634124829,0.0,0.0,0.011761947091100303,0.0013569715377222068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000997117859387199,0.0,0.00061382946224649,0.0,0.0013417783187327018,0.0008443108871037565,0.012064604850903422,0.0,0.0,0.0,0.0,0.0009215127397389511,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009601596462585078,0.0,0.0,0.0018731472674204685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139528365384618,0.0,0.015384229351376828,0.0,0.0,0.01017729494213688,0.003395877776365755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025411532838891266,0.01562443269230765,0.0,0.0,0.030661003565245922,0.0,0.0,0.0,0.03472949008302265,0.0,0.0,0.0070648812496274215,0.0,0.0,0.00868606757171463,0.0,0.0,0.00014962629560874227,0.0,0.0,0.24189733986012366,0.0,0.0,0.0,0.0013153885368420394,0.0,0.004367776660832589,0.0,0.0,0.0,0.0,0.09694922058882877,0.0,0.0,0.01673519159482676,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002694187719781669,0.012302196140970246,0.0,0.0,0.007300579847886206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961831691880881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010153929526752576,0.0,0.0,0.0,0.018116629154490027,0.0,0.0,0.0009630995577258241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10397731263011242,0.0,0.0,0.0,0.002264811437425773,0.0,0.0,0.0,0.00518029457496483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002015015319947292,0.0,0.0,0.0005544388002524728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018175604886856373,0.0,0.0,0.0,0.008466381864208991,0.0,0.0,6.654169165395725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004376892066349008,0.0,0.010016104382526952,0.0,0.0,0.0,0.0,7.657154218343345e-05,0.0,0.0,0.0,0.0,0.0,0.0
