,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,6.001043538416839e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.634741301226372e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.366030291850802e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6487039260312274e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.355627379513965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0006281146692366591,2.7899242815158556e-05,0.0,0.0,0.0,0.0,4.1569480627821374e-07,0.0,0.0,6.399084238846337e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473973609332846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.300240504996004e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.452706243425174e-05,0.0,0.0,0.0,0.0003794203455689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012286649618899187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8412697498441926e-07,1.1384465882004813e-05,0.0,0.0,0.0,0.0,0.0,3.949490672611632e-06,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,2.7899242815158525e-05,0.0017182074854896852,0.0,0.0,0.0,0.0,0.0,0.0,7.05184215145266e-05,0.0,0.0,7.052514318187238e-05,0.0,0.0,0.0,0.0,0.00012121946640904522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8762661385467014e-06,0.0,0.0,0.0,0.0,1.832020945632039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.137548041466782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000578059283011022,0.0,0.0,0.00011731498715138918,0.0006792304711547881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.602724085934609e-06,0.0,0.0,0.00013613126892033953,4.454674275213872e-05,0.0,0.0,0.0,0.0,0.0,0.0002296401588146082
"ADF,g",0.0,0.0,0.0,0.0,9.552894817606151e-05,4.1988858441740556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0608724820544364e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.068025070407636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907920537913072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3953619897993836e-05,0.0,2.0841886373493147e-05,0.0,0.0,0.0,0.0,7.035635638122782e-05,0.0,0.0,0.0,6.174277137774784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990556725193369e-06,3.7472789796573266e-06,0.0,0.0,2.274138128909138e-05,0.0,0.0,0.0,0.0,5.1850995170346364e-05,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,4.198885844174057e-05,0.0017443362983671688,0.0,1.630715542811889e-05,5.0387914823242046e-05,0.0,5.226239680711999e-07,3.010126734673597e-05,0.0,0.0,0.0,0.000337985253444902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42675176840697e-05,4.1012156617653796e-06,0.0,0.0,0.0,0.0,1.224272833837664e-05,0.0,0.0,0.0,0.0,0.00012344838893142918,0.0,0.0,0.00019278759667320461,0.00018203571434496227,8.07194577604762e-05,6.097246557059212e-06,5.794918743825522e-05,0.00012944633768035432,0.0,0.0,0.0,0.0,0.0006465000238836969,0.00013469795326485296,0.0,0.0,0.0007515676313964263,8.404946871298961e-05,0.0,0.0,0.0,0.0,0.0,3.549232872840848e-06,0.00012504050049058746,0.0,0.0,0.0,0.0,1.3861037678134448e-05,0.0,0.0,0.0,0.0,0.0001364120698244716,0.0,4.3472761304030635e-06,3.136162504920133e-05,0.0,0.00022130426283448852,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0012043245643223973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1878702748881973e-06,1.8497184578438784e-06,0.0,0.0,8.729791461631555e-06,1.4478993546891858e-05,0.0,1.8831990995492542e-05,0.0,1.578997835831764e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.384650480577322e-06,0.0,0.0,0.0,0.0,2.3656923122233644e-06,1.489284935576961e-06,0.0,0.0,8.282811878085795e-05,5.232114601728368e-05,8.659948470317976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007289642619876256,0.0,0.0,0.0,0.0005770055164075475,9.541964115089596e-06,0.0,0.0,0.0,0.0,9.890608462635806e-06,0.0,0.0,6.872278999180609e-07,0.0,0.00021183132679089003,0.0,1.3753970891356686e-05,8.431090088044676e-06,0.0,0.0,0.0,9.37770994796147e-07,0.0,7.461638181610797e-06,1.9653239877741533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2176740340622847e-06
"Starch,g",0.0,0.0,0.0,0.0,0.0,1.630715542811889e-05,0.0,0.0008716060595967368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712077439656392e-05,9.886071432483576e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9385275529669355e-05,0.0,0.0,2.3879253602484325e-05,6.436249179451632e-05,9.185868428865118e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.214570016150772e-05,8.498817278841702e-05,0.00020264043983259455,0.0,1.2255726016095418e-05,0.0,0.0,0.0,0.0,0.0,0.000310762865201779,0.0,1.5625635895141692e-05,2.4566059607851636e-05,0.000714603235318017,0.0,0.0,0.0,0.0,0.0,4.868082326895696e-05,0.00020545879712476018,0.00021549661482243968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.461870496027232e-05,0.00022966075795878988,0.0,0.0,3.0053400641015255e-05,0.0,2.165574700070128e-05,0.0,0.0,0.0,0.0,4.802834911785352e-07,0.0
"CP,g",0.0,0.0,4.156948062782122e-07,0.0,0.0,5.038791482324202e-05,0.0,0.0,0.0001728997150358158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5796797886250255e-05,0.0,0.0,0.0,0.0,8.989107478102927e-05,0.0,0.0,0.0,9.781697031225332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7757791157264437e-07,0.0,0.0,0.0,0.0,0.0,3.7913546913155583e-07,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441321539423969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0530091639075438e-05,0.0,0.0,0.0,0.0,0.0,2.076492671981712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.680813453016022e-06,0.0,0.0,0.0,5.937358423108895e-06,0.0,0.0,0.0,5.984993587733807e-06,0.0,6.685555729153335e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
