,0
Start,0.0
End,5.891142478830476e-06
"ME, kcal",0.0005439186655859092
"NDF,g",0.0020093871001857625
"ADF,g",0.00012428613979072919
"NFC,g",0.002172322051610608
"Crude fiber,g",0.001288511197167737
"Starch,g",0.0016609863168123384
"CP,g",0.00014034577874646044
"Arginine,g",1.54341236415643e-05
"Histidine,g",0.00040885063072775414
"Isoleucine,g",0.00045446064454957545
"Leucine,g",0.00026653131948016013
"Lysine,g",0.0002903376716315465
"Methionine,g",0.00028790296062696316
"Phenylalanine,g",0.0004900528867700486
"Threonine,g",0.0001551957172916391
"Tryptophan,g",0.0014124527785437263
"Valine,g",0.0006746895979502305
"Alanine,g",0.0001618685818705609
"Aspartic acid,g",0.0006527985689035982
"Cystine,g",0.0013442435977077066
"Met + Cys,g",0.000364836079971268
"Glutamic acid,g",0.00042919575041001776
"Glycine,g",0.0005289909036954768
"Proline,g",0.0003432007349393336
"Serine,g",0.0013536162718940186
"Tyrosine,g",0.0001685419024937011
"Phe + Tyr,g",0.0022151436647352887
"Ether extract,g",0.0005230914773089663
"SFA,g",0.00040169261306470885
"MUFA,g",1.6574312234425737e-05
"PUFA,g",0.001563490692659556
"n-3 PUFA,g",0.004578765952540292
"n-6 PUFA,g",0.00021311803808519384
"n-3:n-6 ratio,g",0.0011027299289752175
"C14,g",0.0006347058250461275
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.002756150327927383
"C16:1,g",0.0019310929257723114
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.0014296133164009865
"C18:1,g",0.004863533821563222
"C18:2 cis n-6 LA,g",0.007974211648286671
"C18:3 cis n-3 ALA,g",0.0007873954660581944
"C20:0,g",0.0034662161347865416
"C20:1,g",0.0013792670102536991
"C20:4n-6 ARA,g",0.0
"C20:5n-3 EPA,g",0.0
"C22:0,g",0.0013843653119454031
"C22:1,g",0.0
"C22:6n-3 DHA,g",0.09366697171966744
"C24:0,g",0.0015007701713646649
"Ash,mg",0.003217143754294492
Vitamin A IU,0.00048101886848323666
"beta-carotene,mg",0.135773707001145
Vitamin D3 IU,0.0005975844052577764
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.0011400638277211214
Vitamin K mg,0.00013235140302692185
AST ppm,0.0
Thiamin mg,0.00024400642522299842
Riboflavin mg,0.0019746933621409175
Niacin mg,0.0015880762222520032
Pantothenic acid mg,0.00021238714863657733
Pyridoxine mg,0.00029239231784148386
Biotin mg,0.0006887684743639728
Folic acid mg,0.0009735448434749785
Vitamin B12 mg ,0.001167939844995121
Choline mg,0.00010395117652691378
"Calcium,g",0.0003133991357222392
"Total Phosphorus,g",0.0014666784478283798
"Inorganic available P,g",0.00027679396229551243
Ca:P ratio,0.005135409560086636
"Na,g",0.0010150586190424383
"Cl,g",0.0001625130737240739
"K,g",0.00014035724546541964
"Mg,g",0.0009006500941427094
"S,mg",0.002386104148149425
Cu mg,0.0012166133634984096
I mg,0.001532454161458811
"Fe,mg",6.5270408818755e-05
"Mn,mg",0.0004505019954627001
"Se,mg",0.0011117370564279153
"Zn,mg",0.0020750993396538705
