,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003132841334448733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008253767442436019,0.0,0.0,0.0006992663909516775,0.0,0.023537173619565428,0.0,0.0,0.0,0.0,0.0,0.006229096697627862,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092134098734447,0.0008033079577430522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012147198860842156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018720067633189896,0.0,0.0,0.00199730589181664,0.0,0.0008455395782166835,0.0,0.0,0.0,0.0,0.0,0.0,0.005160875810669487,0.0,0.0,0.0,0.0,0.0,0.02940537941126121,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023807539682539716,0.0,0.0,0.02264996031746036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017515656344567311,0.0,0.0029840173286667772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006144959638249222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007369516227577533,0.0,0.0009559984259259327,0.0,0.0,0.0,0.0,0.004698528008990199,0.0,0.0,0.05046166711531621,0.0,0.0,0.0,0.0,0.00468919508428055,0.002879998525018854,0.0,0.0,0.0014650793650793623
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002607977933114018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031809997441520277,0.007326832584588728,0.0,0.0,0.0,0.0,0.0,0.0,0.0067630851220245244,0.001065556781381698,0.0,0.0038883590778846073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037766202313031143,0.0,0.0,0.0,0.0017890229252332183,0.0,0.0073644280472705504,0.0,0.0,0.0025506137613657276
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008506711979736892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002111847221189217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012528069843070535,0.006504970139509276,0.0,0.0,0.0,0.0002205730872515438,0.0,0.0,0.0,0.002995799954529663,0.0,0.0,0.0,0.0,0.0016363210239397563,0.0,0.0,0.0005340296627120814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028482365820172925,0.0,0.00746740800601813,0.0,0.0,0.0,0.009278984902933295,0.0,0.014541188989805429,0.00020444111496511656,0.0,0.007957509534991039
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015959471238590492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003416499937729381,0.0,0.0,0.0,0.0,0.0,0.0,0.0030312415554261543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014221953990328905,0.0,0.0,0.0,0.013170576728731077,0.0,0.0,0.0,0.0009129440031409369,0.0,0.017382537305281488,0.0,0.0,0.0005740000000000016
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027026256503172516,0.0006928571119824386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005759534409356748,0.0,0.0,0.0,0.0028928254574805985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004112031791494384,0.0019954401051784755,0.0,0.0,0.005212804907082541,0.018462777422375717,0.0,0.0,0.0,0.0,0.0,0.0,0.004373536684535821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248679302787997,0.014257761985786589,0.0031556892042075156,0.0,0.0031176017782992933,0.004277050173939559,0.009190811718875492,0.0,0.0,0.0017044767926238224,0.0,0.0,0.002189788685777361,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042529524150989044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000771014239583337,0.0,0.0,0.0,0.00023438953799999345,0.004457523644565414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010051989613339597,0.0,0.0004217836559419561,0.0,0.0,0.0,0.0,0.008747746995873723,0.0,0.0,0.0,0.0,0.0,0.0,0.005905067373827389,0.001126732565405859,0.0,0.0,0.0,0.0,0.0,0.0,0.004937147803611383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000583162812500009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106321860821166,0.0,0.003696646004194491,0.018843202927723166,0.006737494463247438,0.02588803705521047,0.0,0.0,0.0015606675779960837,0.0,0.0,0.062189746885992825,0.0,0.0,0.00811188428449871
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004252952415098873,0.0,0.0,0.0,0.019484466618948083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017633875083879365,0.0,0.0008291244482358515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014155148795775941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004656212367733526,0.0,0.0,0.0,0.0,0.0,0.0,0.006269251829176905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003037619001565363,0.0,0.0,0.0,0.006637778818761408,0.0,0.0435653754355853,0.0,0.0,0.0,0.0,0.0,0.010571110510990567,0.0,0.0,0.0
