,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0005967736221418503,0.0,0.0,0.0,0.0,9.59661803332863e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821306962401944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258807085900912e-05,0.0,0.0,0.0,0.0004613857249118607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4727573013881964e-05,0.0,0.0,0.0,0.0,8.843377825352053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0004928626314623198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002895680932277895,9.676906729500215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019403281830490443,0.0,0.0,0.0,9.034354236138436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0019790293059887658,5.155706908043237e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012623981275801293,0.0,6.450443751493439e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.393081426030037e-06,0.0,0.0,0.0,0.0,6.79476092696448e-05,0.0,0.0,7.21562593389823e-05,0.0009273608234143829,0.0,0.0,0.0,0.0,0.0,0.0006692460853690227,0.0,0.0,0.00010583336777559855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001809463134586467,6.401443232057115e-05,0.0,0.0
"ADF,g",0.0,0.0,0.0,5.155706908043227e-06,0.0005046979116803479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015281230984231847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7508501002911296e-05,0.0,0.0,0.0,0.00048564985240659615,0.0,0.0,0.0001153939805905475,0.0,0.0,0.0,0.0,0.0,0.0,5.3433805475677164e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001551384360435379,0.0,0.0,0.0,0.0,0.0,3.759330779967902e-05,0.0,0.0,9.593225118672325e-06,0.0,0.0
"NFC,g",9.596618033328647e-06,0.0,0.0,0.0,0.0,0.000729770701724567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.757960968283104e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8985027078286775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032232957549690333,0.0,0.0,0.0,0.00028579825599074876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3884432329474965e-06,0.0,0.0,0.0,0.0,0.0,1.6838227988194106e-05,0.0,0.0,0.0,5.434561623844478e-05,0.0,3.6685922272287923e-05,0.0,5.290373464073612e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0003988117792317679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7671763714769956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4659807003996725e-05,0.0,0.0,0.0,0.00041694240290461826,0.0,0.0,0.0,0.0,0.0,0.0,4.1346461823620904e-05,0.0,0.0,3.428121148303776e-05,2.9562320580954187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025173128994265023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016009416759672603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.873043163187392e-05,0.00018900653918160493,0.0,0.0,0.0,0.0,0.0,0.0,7.983865186243643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046278536687759553,0.0,0.0,0.0,0.0004166047428020376,0.0,0.0,0.0,0.00010692343847654039,0.0,5.5873572858786366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000427784171412184,0.0,0.0,0.0,0.0,0.0,0.0001717443287989148,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5223684491300979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.880044740883137e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.720908559987873e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.762534344080394e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038709312194749136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011036691232554892,0.0,0.00010614848062659809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5404296350048525e-05,0.0,0.0,0.0,0.00026442973594353105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003123637560757789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
