,0
Start,0.000667301428792347
End,0.0
"ME, kcal",0.0004181200685514563
"NDF,g",0.0020993533131942813
"ADF,g",0.0004383934377611787
"NFC,g",0.0007551666283569699
"Crude fiber,g",0.0005925819801849423
"Starch,g",0.001528980050962511
"CP,g",1.1710089897671147e-05
"Arginine,g",0.0005413404588225936
"Histidine,g",0.0006960995037592814
"Isoleucine,g",0.0011228870208528164
"Leucine,g",0.00015190230259047406
"Lysine,g",0.0010774344448284147
"Methionine,g",0.0002477533797075882
"Phenylalanine,g",0.000955095312747848
"Threonine,g",0.0008912925480062459
"Tryptophan,g",0.0005356406151752017
"Valine,g",0.0013450488520514868
"Alanine,g",0.00020879389321800605
"Aspartic acid,g",0.0008322087760548331
"Cystine,g",0.0008650962701916503
"Met + Cys,g",0.00266807277258087
"Glutamic acid,g",0.00021482184400776902
"Glycine,g",0.0010877085203075802
"Proline,g",0.00010378616470862318
"Serine,g",0.00022774837683632983
"Tyrosine,g",0.00016069036273148112
"Phe + Tyr,g",0.0011002512776878647
"Ether extract,g",0.0011446410446729444
"SFA,g",0.00027675343025155045
"MUFA,g",0.0010940615927801463
"PUFA,g",0.0007389584349303842
"n-3 PUFA,g",0.001809712002497585
"n-6 PUFA,g",0.0018178778929940171
"n-3:n-6 ratio,g",0.0
"C14,g",0.0008291919849545266
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.0016273585517630157
"C16:1,g",0.00041800149486628704
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.0023906903967907327
"C18:1,g",0.004280786487247269
"C18:2 cis n-6 LA,g",0.009916575124596101
"C18:3 cis n-3 ALA,g",0.0010841326718847915
"C20:0,g",0.0009152234434350887
"C20:1,g",0.0006991208210392787
"C20:4n-6 ARA,g",0.0
"C20:5n-3 EPA,g",0.0
"C22:0,g",0.0006333980769445462
"C22:1,g",0.0
"C22:6n-3 DHA,g",0.05178496748422707
"C24:0,g",0.0025402848024362254
"Ash,mg",0.0
Vitamin A IU,0.0011351519197370064
"beta-carotene,mg",0.07156150387684823
Vitamin D3 IU,0.002357468245736274
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.0029362395915571494
Vitamin K mg,0.0015793293363378647
AST ppm,0.0
Thiamin mg,0.002934611136579368
Riboflavin mg,0.0017744481088663871
Niacin mg,0.00044495618267582346
Pantothenic acid mg,0.0017162910077281343
Pyridoxine mg,0.001194650154545045
Biotin mg,0.0013576896659613698
Folic acid mg,0.0009764521308930438
Vitamin B12 mg ,0.0005412645933761429
Choline mg,0.0006367386035377989
"Calcium,g",0.0007956334294951586
"Total Phosphorus,g",0.0009335541076324078
"Inorganic available P,g",0.0009896294971172652
Ca:P ratio,0.00887547181263608
"Na,g",0.002506808871777796
"Cl,g",0.0008141670606044745
"K,g",0.0005981112315653127
"Mg,g",0.00014333876789796675
"S,mg",0.00018359775426299407
Cu mg,0.005033488190474376
I mg,0.00046669343441862267
"Fe,mg",0.0006907924916994758
"Mn,mg",0.0009114978126686946
"Se,mg",6.879965620604565e-05
"Zn,mg",0.00012970966500006553
