,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040094869441011343,0.00016284870304526962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224295158802111e-06,0.0,0.0,0.0,0.0,3.318532477715984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0010313713750014005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011843082522596348,0.0,0.00010329471454038392,0.0,0.0,0.0,0.0011846787377562992,0.0,0.0,0.0,0.0,4.683258583773373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.348046973540493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.943944599509e-05,0.0007297439504464042,0.0,0.0,0.0,9.026371325510096e-05,0.0,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0010313713750014094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001222037620519853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000817534815806134,0.0,0.0,0.0,0.00011765721118653491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008675400461777648,0.00019736477846231545,4.97362733234614e-05,0.0,0.0,0.0,0.026407609937869836,0.0,0.0,0.0,0.0008734482391803723,0.0,0.00021538451171154423,0.0,0.0006850111268529929,0.0,0.0,0.09839276905164404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11984871250035294,0.0,0.0,0.0,0.0,0.0,0.00037488989268758704,0.0,0.0016436277552217458,0.03273261075681455,0.0,0.0,0.0,0.0,3.680926681940722e-05,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022319551966836697,0.0,0.0010640446990967268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003579039811027076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013762179004410456,0.0,0.0,0.0,0.0001472566928572495,0.0,0.0,0.0,0.0,9.236134018250389e-05,7.197440743906235e-05,0.0,0.00012553340469256076,0.0,0.0002864849837685856,0.0,0.0,0.0,0.0,0.0007066239642708334,0.0,0.00010037019905199691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1014273253672916e-05,0.0,0.0,0.0,0.0,0.0,3.35209708551068e-05,8.871027312590859e-06,0.0,0.0,8.738176498733666e-05,0.0,0.0,2.9321085086643365e-05,0.000985653426202809,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003143567334140877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016780940565471504,4.951138550937199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315785696,0.0,0.0,1.1247075075995996,2.4703956083824575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006774527857912577,6.470815465374965e-06,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003233570157247281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026385944711538416,0.0,0.0017927062596183449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002634962481836747,0.0008740411962586739,0.0,0.0,0.0,0.0009413693696528602,0.0,0.0,0.0,0.0,0.0,0.009251909151781437,0.0,0.0,0.0,0.002889974066679208,0.0,3.622007540068182e-05,0.0,0.0,0.0,5.3747042105627835e-05,0.0,0.0,3.9070344156714835e-05,0.001380597885519959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013416499680653574,0.0,0.0005092011858008373,0.00010198367345693124,0.0,0.0,0.0,0.051456535096153715,0.0,2.1199177959214163e-05,0.0,0.0,0.0,0.002704601392469877
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26467606730769233,0.0,0.0,0.0,0.0,0.0,0.0,0.00034484545480666627,0.0,0.0,0.00038040778175824693,0.0,0.002104535491385701,0.009800347994355835,0.0,4.3994358137985847e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.32338010521122e-05,0.0,0.0,0.0,0.0,0.024552761512761884,0.0,0.0,0.0,0.0,0.00021272545926877533,0.0,2.9905770582573966e-05,0.0,0.00024042208243383963,0.0,0.0,0.0,0.0003828043121483557,0.0,0.0,0.00017685168396118674,0.0,0.0,0.0007497852558997157,0.0,0.0,0.0,0.0,0.0,0.6093774086538462,3.539381684334003e-05,0.006900006344474875,5.3991166253145045e-05,0.022617741248698576,1.5619951473612437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025850336187549845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059432006264461545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3825694192477012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
