,0
Start,0.0003852782644718683
End,0.0
"ME, kcal",5.776206570722459e-05
"NDF,g",3.265043703079621e-05
"ADF,g",0.00020754565562803237
"NFC,g",0.00019090172383588058
"Crude fiber,g",0.0008138402399054374
"Starch,g",0.0002636701923095584
"CP,g",0.0002987322756360297
"Arginine,g",1.9687409920306073e-05
"Histidine,g",0.00024825181438124354
"Isoleucine,g",0.0003069179194963012
"Leucine,g",0.0008868539324702726
"Lysine,g",5.862028400428443e-05
"Methionine,g",0.0002536127983592736
"Phenylalanine,g",0.00036244735509824894
"Threonine,g",0.0001422006695894064
"Tryptophan,g",0.0
"Valine,g",9.373953344989604e-05
"Alanine,g",0.00011494908906249997
"Aspartic acid,g",2.4605557558554602e-05
"Cystine,g",6.497710472709348e-05
"Met + Cys,g",6.917660721766224e-05
"Glutamic acid,g",2.87891332028656e-05
"Glycine,g",1.9119003979290656e-05
"Proline,g",3.539490091637013e-05
"Serine,g",0.0006803925332193932
"Tyrosine,g",0.0003200162898551765
"Phe + Tyr,g",0.00020840599869420038
"Ether extract,g",0.0024785425112963436
"SFA,g",1.54786594431326e-05
"MUFA,g",0.0
"PUFA,g",0.0002812996901942129
"n-3 PUFA,g",0.0
"n-6 PUFA,g",0.0006159144714406674
"n-3:n-6 ratio,g",3.0768689303229604e-06
"C14,g",0.00041381113166616586
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.0019510323427176656
"C16:1,g",0.0010484160214403993
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.001691977156037216
"C18:1,g",0.001757127436526917
"C18:2 cis n-6 LA,g",0.0033305389649706265
"C18:3 cis n-3 ALA,g",0.0032666505271851313
"C20:0,g",0.0
"C20:1,g",0.0005228569485926036
"C20:4n-6 ARA,g",0.0
"C20:5n-3 EPA,g",0.0
"C22:0,g",5.820920069560068e-07
"C22:1,g",0.0
"C22:6n-3 DHA,g",0.005306636810730796
"C24:0,g",0.0
"Ash,mg",0.0
Vitamin A IU,0.0001415121561856645
"beta-carotene,mg",0.03271334961097356
Vitamin D3 IU,5.782158210837207e-06
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.0026181811465760354
Vitamin K mg,0.00019636583324925976
AST ppm,0.0
Thiamin mg,0.0007773175213380439
Riboflavin mg,0.0003058603327645827
Niacin mg,0.0003691906060274948
Pantothenic acid mg,0.00040752394324560426
Pyridoxine mg,0.0004159183783693464
Biotin mg,0.0009421857853860792
Folic acid mg,1.0963499287175774e-05
Vitamin B12 mg ,0.00023479209515435138
Choline mg,0.0002604640814192208
"Calcium,g",0.00042325004326099647
"Total Phosphorus,g",0.00044362733087705756
"Inorganic available P,g",0.0004920681767496368
Ca:P ratio,0.001708970404160448
"Na,g",0.000606579843738379
"Cl,g",0.0002992803820873801
"K,g",9.621495479489562e-05
"Mg,g",0.00017620560964130732
"S,mg",0.00024555535315669947
Cu mg,0.00028231854262504086
I mg,0.0004744206067190472
"Fe,mg",0.000547645260721884
"Mn,mg",0.0003206928029850566
"Se,mg",0.00022877562493384118
"Zn,mg",0.00029530438159407234
