,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.005705577888047271,0.0,0.0,0.0,0.0,0.0,0.012754758930351315,0.0,0.0019263208844615349,0.0542293328620776,0.0,0.0,0.0,0.011421610970616532,0.009916296981632848,0.02370237593690196,0.0,0.0,0.0048356738711115245,0.014388169308228577,0.0041245206018203475,0.0,0.0036785519014460545,0.0,0.0041194019175321,0.026929738690325097,0.0,0.04164593567157314,0.0,0.0,0.0,0.0013587094147927616,0.0,0.0,0.008384321684494364,0.025432700068427107,0.0,0.0,0.017135642463586148,0.03831268886695371,0.006772456460229477,0.00047839387085677306,0.0,0.0,0.01074421154190451,0.0005550579447238801,0.001569343759888088,0.0,0.007187088384426317,0.0,0.0,0.001715419046948837,0.009489999768960608,0.0029030493099176974,0.0,0.013341037790080001,0.04184270899635033,0.0,0.0,0.0,0.02350903891824532,0.0,0.0,0.020789537762679736,0.007629693544987274,0.0003299387872756297,0.0,0.0,0.04120069805832506,0.02354715765584076,0.02857594951809065,0.0069286115972587775,0.0,0.011498897111182913,0.003152998440894376,0.0,0.0,0.0,0.01664780134610403,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016749055692396236,0.0,0.0,0.0,0.0,0.005671247464490709,0.0007127621470814389,0.0,0.0,0.0,0.0,0.0,0.009637742237413907,0.0,0.007544699094553738,0.03934318892238776,0.01122970071868094,0.0,0.0,0.0,0.0,0.0,0.055516651790077434,0.004810885801452084,0.0,0.0,0.0,0.0,0.004271660703664661,0.032195253612650555,0.0,0.0,0.05169512143280435,0.0,0.0,0.0,0.06942027972674629,0.008799053132947805,0.03400944419280855,0.0,0.0016739126203698807,0.0,0.009186683831198333,0.0022796233743065325,0.046096617883838995,0.0,0.0015869342237525622,0.008978540978675698,0.0,0.0049727329952066746,0.01380724152047599,0.0027970503057009764,0.0,0.0025837964850652377,0.0008355125204144373,0.0,0.02785303513660719,0.0,0.0,0.0,0.0,0.0,0.010994366157682418,0.0012008791002955767,0.0,0.0,0.04629947986631333,0.012343830052269918,0.020743712538437164,0.0024710418191869884,0.0,0.004780263492625587,0.0,0.005244855731162428,0.0,0.0,0.0,0.0,0.0,0.001039531134144252
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.010904987022462875,0.0,0.0007529342437713599,0.0,0.0030546356111079637,0.0,0.0,0.00156276511990581,0.003861866323549557,0.010429379932275596,0.03606870130889182,0.0,0.0029958320850888074,0.025743560366144023,0.004585619869664312,0.0,0.005095550915402998,0.0,0.0,0.0,0.0,0.0,0.0,0.0012525463795454899,0.0,0.0,0.004035832632573058,0.0,0.0,0.0,0.006504071846127152,0.0,0.0,0.010574885349297476,0.023583328971277344,0.0,0.0,0.004979220396141858,0.02227980960163732,0.005491830775217255,0.005268958769230691,0.006914192508140154,0.0,0.006504374359187385,0.0015833403732107558,0.008873657806590326,0.0,0.0,0.01876224112865498,0.004950161527145262,0.0,0.002569441585988326,0.0030330639828845423,0.0,0.004220462025081745,0.0014272893288823267,0.0,0.008027190248502757,0.0,0.014056223715475403,0.006903165879719168,0.046889628551005355,0.001298188734971383,0.0,0.009580342824659955,0.0,0.0,0.001707292406225887,0.007240666352952051,0.003327109167643599,0.009564293802857065,0.0,0.004635342024535162,0.0,0.042973504335204,0.006027460070996686,0.01747297498085098,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.005705577888047271,0.0,0.0,0.0,0.00742730095229271,0.0,0.0,0.0,0.0,0.0074210391416220396,0.0,0.0,0.005412026570685901,0.0,0.0,0.0,0.0,0.021197042595782742,0.002862250526449003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010818863930110716,0.0,0.0,0.0030799569635201586,0.0,0.0,0.012307222462317961,0.0,0.0,0.0,0.0018029732112774307,0.0,0.0,0.0,0.0,0.004069839953676635,0.0,0.0,0.0,0.002403682181159617,0.0006555072401069619,0.0008008514063114862,0.0,0.0,0.0,0.0,0.0,0.0,0.0021698180825286267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026463905784240255,0.017844045673465717,0.0,0.0,0.0004112193223715565,0.0006598584687345702,0.002254725545552754,0.0014003429886652382,0.0,0.002115611017116921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.010904987022462877,0.0074273009522927095,0.0,0.0,0.01584269217295631,0.008873788467004116,0.0,0.0,0.0,0.0,0.016851268845144058,0.02001047829384851,0.0,0.0,0.0,0.0,0.006473538018074222,0.0,0.0,0.02623741793019236,0.0,0.0,0.0,0.015930445446241302,0.0,0.014729396446026059,0.009361512504706852,0.0,0.007668383571590303,0.0,0.013015599634503772,0.0051495244013934835,0.05920957081778434,0.0,0.0,0.003852324733199389,0.008951320402475822,0.0,0.0,0.02957240893760421,0.01284326498911233,0.01280492244256528,0.01813642462600504,0.0,0.0,0.004260137703557768,0.0022055446655873424,0.022651462242703205,0.0,0.008046780301020167,0.0,0.0,0.0004803026938513661,0.021069143523893323,0.001791427287906364,0.0,0.0031985268355780843,0.0017784211476354374,0.0,0.00737808629127685,0.0028560318632525213,0.0,0.0016092959452866946,0.0,0.0007915486324007806,0.003192167633024208,0.019116787927157642,0.0,0.0,0.0036160094427320176,0.005628621796800638,0.004144782464878719,0.0,0.017996674395049938,0.0042186051837687704,0.003185582416629095,0.025441042174411527,0.0,0.03163150885152826,0.0,0.0,0.0046545799902694834,0.000610307894235831
"Starch,g",0.0,0.0,0.0,0.016749055692396233,0.0,0.0,0.0,0.0,0.0,0.0030947657504651034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009203054645624818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012494675547534568,0.0,0.0,0.0,0.0,0.002831166799849209,0.0,0.0,0.0,0.0,0.0,0.0060194876372708225,0.0,0.0,0.0024387007351388233,0.0,0.0,0.0,0.0,0.0,0.028738478443547866,0.0,0.0013011753408228525,0.0,0.0,0.000690568673258266,0.0,0.0,0.0018158191359467556,0.0,0.0,0.0,0.0006961565761244883,0.006412664798043113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005992301990797897,0.0,0.0,0.0007677049391894236,0.0,0.0021195391471369876,0.0,0.0,0.047330874597405925,0.0017105591163481624,0.0,0.007561689972759394,0.0,0.009095359676156855,0.0,0.0,0.0,0.0005915300435776604
"CP,g",0.0,0.0,0.0,0.0,0.0007529342437713589,0.0,0.01584269217295633,0.0,0.0,0.0,0.0,0.0,0.0,0.004051034936825721,0.014831535798427525,0.0,0.0,0.0,0.0051777309848364044,0.0,0.006893617747912299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02989769784865216,0.0,0.0,0.02130237988236082,0.0,0.0,0.0013780306439976832,0.0036195403305684807,0.0,0.0,0.0,0.0,0.0,0.0,0.008891203213302428,0.009922638000135866,0.011484951647626186,0.03178391005640812,0.0,0.0,0.022561652328227606,0.01967837459654298,0.010106638770315124,0.0,0.0,0.0,0.0,0.0,0.024766106085469072,0.0012939516467570474,0.0,0.0012372683230948908,0.0009125275282949388,0.0,0.0010910427978444099,0.010747610032655038,0.0,0.0,0.0004930034631540596,0.0013431558149481642,0.020473772765265342,0.0011466314121405244,0.0,0.023812392257237216,0.0,0.001997805189907698,0.007189886522640474,0.0052568264142170045,0.0,0.0018428899332446347,0.030033789883147272,0.05714725766760786,0.00452511575043113,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.008873788467004096,0.0030947657504651056,0.0,0.0,0.0,0.0,0.003478925088658895,0.0,0.0,0.00505239166594088,0.0,0.0,0.0019246643920333992,0.0,0.0,0.004420058504215035,0.004040810301652262,0.0,0.005979709131178796,0.004742756906627961,0.0018061782788763032,0.0,0.03793269198118536,0.023316034953476904,0.0047371173527173335,0.0,0.0,0.04307915733146725,0.004058509523153061,0.0006840293471618864,0.13955875530070969,0.0,0.0,0.012587293802442678,0.012029511309333343,0.0,0.0,0.0,0.004431201394278552,0.0,0.007008619381255174,0.0,0.01330039553672437,0.0,0.009196002000340325,0.0,0.0,0.0013595226241554146,0.0,0.0,0.0023195235003306883,0.001803206396309295,0.0011090279614064374,0.0,0.01038834821115045,0.0,0.0,0.029567461427338106,0.0008742284479809116,0.0,0.007365031919223417,0.0,0.0035957473711587806,0.010397104316683748,0.0,0.0,0.0227400520968806,0.013652665107373358,0.008381132824937179,0.009641265452041204,0.0,0.002519908116313611,0.002354038090888572,0.0,0.030854812792985124,0.0,0.0,0.0,0.0,0.0,0.007512767654576508
