,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528908732555153,0.0,0.009359452433717545,0.0,0.0,0.001363285658896981,0.0,0.0,0.0,0.0,5.94735320729742e-05,0.0,0.0,0.04092931211901156,0.0039031529937923193,0.0,0.0,0.0,0.0,0.0,0.014831705719381107,0.0,0.0,0.0,0.06724247676371169,0.0,0.0,0.0009624750518549552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0730363343980083,0.0,0.0,2.015589365834989,0.0,0.0,0.018637761957721433,0.0,0.0,0.0,0.0,0.0,0.00035771012259080406,0.0,0.0,0.0,0.0,0.0,0.0,4.115863366389486,0.004488429556665761,0.0,0.00010380231605781385,0.06614527297625203,0.0,0.0,6.527956379840966e-05,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0025320036495924767,0.0,0.0,0.0,0.0,0.016162904470877173,0.0,0.025047359456725496,0.0,0.0,0.0,0.025504895847742005,0.0,0.0,0.0045015254777628685,0.0,0.0,0.0,0.024009552429055194,0.0023457095700251084,0.0,0.0,0.0,0.0,0.006228807021482512,0.0,0.021969988225315235,0.013558662243628785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004232245486577118,0.0,0.0,0.026026053053710252,0.0,0.07244574441051177,0.046846724552600076,0.0,0.0,0.05019074280926643,0.0020173315081604207,0.0,0.0,0.04123548345553024,0.0010107632884279044,0.0,0.00912151905257297,0.0205118994242094,0.0,0.0,0.012575369030185163,0.0,0.0,0.0,0.0,0.02027044167701592,0.0,0.0062118102212105585,0.0,0.0021697671104391083,0.003329250133862865,0.0,0.0,0.0,0.004760578416191277,0.004043978693253403,0.01256807172709418,0.0,0.0105843999149234,0.0,0.0011377854836476242,0.0,0.005064266562636033,0.0,0.0,0.00022680266893350957,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03708789273956664,0.14088098031690408,0.0,0.0,0.0,0.006047551755625869,0.0,0.0,0.0,0.0,0.0,0.0,0.002293868343764568,0.0,0.0,0.0,0.0,0.0,0.0,0.0001502387134881501,0.0,0.00447379405066084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4383841241791942,0.0,0.0,0.0,0.0,0.04837357623223526,0.0018009159571006732,0.0,0.0,0.001799571968999293,0.0,0.0,0.0,0.0,0.00043695221479661474,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0025320036495921645,0.0,0.0,0.0029522168599952596,0.0,0.0,0.0,0.0,0.0,0.0009930427793184834,0.0,0.0,0.0,0.0,0.0034949958009169915,0.02327543704237532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050742068577352716,0.0,0.0,0.0,0.003807190704797011,0.009823549174172191,0.0,0.0,0.006412630384077989,0.004468883709244178,0.07874483443127034,0.0,0.0,0.0,0.0,0.019188692900619315,0.0,0.0,0.0,0.01084242999976489,0.0,0.0,0.01764711335415114,0.0,0.0,0.0,0.0,0.0,9.225096694589346e-05,0.0,0.003571503015313549,0.0007060242829448395,0.12174530555357961,0.0,0.0007846583686496314,0.0016946484958914206,0.0,0.0,0.0,0.008973879881804923,0.0,0.004515117494391469,0.0,0.003515511657890144,0.0,0.012929056260543513,0.0,0.0,0.0,0.0008053032528243119,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0029522168599952587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007034090795381077,0.0,0.0,0.0,0.0,0.0,0.061514173432677594,0.0,0.0,0.0,0.03766490111480042,0.0,0.0,0.0,0.008620818033085998,0.0,0.014879961564473791,0.0,0.0,0.0,0.020347971743449832,0.0,0.0,0.0,0.008222903575458901,0.0,0.0,0.016048135928617608,0.0,0.0,0.002986507643281386,0.0,0.029599259928728434,0.0,0.00449129946220023,0.0,0.0,0.0,0.026140725966779042,0.0,0.0,0.0038329616580339725,0.0,0.0,0.019947791095771425,0.0,0.0,0.0025396696201329004,0.0003635169457669368,0.0,0.0,0.0,0.0,0.0,0.005669831178884754,0.2010977565161432,0.006706213771094691,0.03040256654138243,0.0,0.0,0.0,0.0,0.0,0.007101664844347164,0.0829183096884567,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7509224150974538,0.0,0.0,0.0,0.0,0.0,0.0,0.007299305355896356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003179993417985724,0.0,0.0,0.0,0.0,0.0006264171721388351,0.0,0.0,0.0,0.0,0.005390558431617183,0.0,0.0,0.0,0.0,1.8600830465716762,0.0,0.0,0.0,0.03570143339241571,0.00016524170293740056,0.0,0.0,0.0,0.0041341996063757325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023219070976331704,0.006879772730690932
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05087125118254227,0.0,0.0,0.0,0.0019511483438602178,0.0,0.02614747560453321,0.0,0.0,0.0,0.0,0.0,0.0,0.0061966731096401995,0.0,0.0,0.010654160660521689,0.0,0.0,0.0,0.0,0.014739780791991966,0.0,0.053888245677915315,0.0,0.0,0.0,0.0,0.002296477719823783,0.0,0.0,0.0,0.0021715675064936783,0.0,0.0,0.0,0.0,0.027219452701887897,0.0,6.780555555555546,0.0,0.0,0.0,0.008639389513753287,0.0,0.0,2.3863326151292723,0.007588209484221863,0.0,113.39535622155654,0.0022554558456921296,0.0,0.0,0.12650321259033154,0.0,0.0,0.0,0.0028061182572666197,2.068596865609218,0.0,0.0,0.0,16.48580903964147,0.0,0.0,0.0,0.050385103271854505,0.006996509314915619,0.0,0.011539211107616576,0.0,0.0,0.0,0.0,0.0,8.001735576923064
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07221008923587788,0.0,0.0,0.032991948121668474,0.0,0.037617117520622925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8092679555614756,0.0,0.049536519784058514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018462960549983035,0.8146098445094416,0.0,0.0,5.264401593202883e-05,0.09681165546858872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028749068474446977,0.0,1.3733825426359114,0.0,0.0,0.0,3.422751430681703e-05,9.869813772007442e-05,0.0,0.0,0.0,0.0,0.10147098345817632,0.0,0.0,5.404546597428755,0.0,14.462955234850844,0.0,0.0032561450366519035,0.0,0.0,0.012908384972999919,0.0,0.0,0.0,0.0,0.0,0.004070965313000017
