,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0004259861591386722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.671820813917784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022974676311110726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6989430609784733e-05,0.0,0.0,0.0,0.0
End,0.0,0.0005577282755544253,0.0,0.0,0.0,0.0,0.0,0.0002893334623940949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.053922789708569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021318288707616008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0636096957962864e-05,0.0,0.0,0.0,0.00017062126579354544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.00020954897946000352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65238225816567e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.641212038124542e-05,0.0,0.0,0.0,2.9690349426204177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492205964587432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0015919458381170226,0.0,0.0,0.00013901154822701432,0.0,0.0,0.0,2.4311806470622015e-05,0.0,0.0,0.0,6.188195067583685e-05,0.0,0.0,0.0,0.0001393439382780605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.914615550368136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767371604534452e-05,0.0,0.0,5.904527655414177e-05,0.0,1.1957146599712298e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000134062010542236,0.0,0.0,0.0,0.0001407408217146928,0.0,0.0,0.0,0.00030361172921591065,0.0,0.0,2.3021485481881508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3168174079906e-05,3.334826102609124e-05,6.755661750405005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.157689660417776e-05
"ADF,g",0.0,0.0,0.0,0.0,0.009346569474083834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7137705639884013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041473691409653574,0.0,0.000132202097453412,0.0,0.0,0.0,0.0001103315138422908,3.469049495162953e-05,4.070762768264383e-05,0.0,0.0,0.0,8.813843771930698e-05,7.244911060432946e-05,0.0,0.0,1.976049670536884e-05,0.0001463550810172358,0.00014874727606174258,0.001980804970476139,0.0,0.0,0.0,0.0,4.008681866883751e-06,0.0,0.0014335259631620644,0.0001066937543632275,0.0,6.552770032925859e-06,0.000818677440347879,0.0,0.0,0.0,0.0,0.0,0.0,1.9309818989835342e-05,0.0,0.0,0.0,0.00031202473794833346,0.00020824022283701395,0.0007332857549429566,0.0,0.0,0.00011786787576224163,0.0,7.689894269384156e-05,0.0,0.0,0.0,0.0,0.0,3.750479428331962e-05,0.0,0.0,0.0005140316317012094,0.0,8.338743568223585e-05
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0019594504535622595,0.0,0.0,0.0,3.432328310812405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.622799077125422e-05,0.0,3.216833460010819e-05,0.0,0.0,0.0,0.0003481309483236527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.882568806443116e-05,0.0006865118012716097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011497954923990423,0.0,0.0,0.0,0.0,0.0,3.716504412093001e-05,0.0,0.0,0.0,0.0,0.0,0.0004494775365481609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.00013901154822701432,0.0,0.0,0.0031017327810129525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023889407670315898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.866440648533978e-05,0.0005388699562364706,0.0,0.0,0.0004399901894884465,0.0,0.00045843626842869464,0.0,0.0,0.0,0.0,8.73707280511634e-06,0.0,0.0,2.1865524382304765e-05,0.0,0.0001239254439335125,0.0,0.0,0.0,0.0,0.0,0.00013949980672074778,0.0,0.0,0.0,0.0,0.0,9.576476035342217e-05,0.0,0.0,0.0002488027890031829,0.00012521889153206602,0.0,0.0008480798084533508,0.0,6.41487053508095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033303102041691313,0.000109221563218949,0.0,0.0,0.0,0.0,8.090115075722263e-05,5.9830411488301605e-05,0.00046227604603567643,0.00048323777390172165,0.0,0.0,0.0,1.3671610546288548e-05
"Starch,g",0.0,0.00028933346239409487,0.0,0.0,0.0,0.0,0.0,0.004730777572443245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025930127559277443,0.0,0.0,0.0,0.0,8.62399910348166e-07,0.0,1.1474464513376232e-05,1.079767108615787e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0833989818926932e-05,2.9676303180181158e-05,0.0,6.757314388956163e-05,0.0,0.0,0.0,0.0,0.00024716956512112296,0.00018651483826563045,0.0,0.0,0.0007537224428497166,0.00025539577636530923,0.0006196019276734743,0.00011989847486104657,0.0,0.0,0.0,0.0,0.0,0.0,6.553689497082052e-05,0.0,0.0,0.0,0.0008451894840333171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005144405507668853,8.591869891480419e-05,0.0,0.0,0.0,1.6303623689139515e-05,0.0,2.1639354162887572e-05,7.426295637659538e-05,0.00013743065849455594,1.9424136295583966e-05,7.577069025364234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.628349684602697e-05
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005009658314295071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253621176444822,0.0,0.0,1.5562117523359626e-05,2.9245098103740364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006091962316364778,0.0,0.0,0.00037409675141237756,0.00011736030657566209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3720195576963569e-05,9.774516978153813e-05,0.0,0.0,2.9360722043368045e-05,7.630021786675789e-05,0.0,0.0,0.0,0.0,0.0,0.00010690826407279382,2.0126660204972743e-05,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,3.43232831081241e-05,0.0,0.0,0.0,0.0018008518223831692,0.0,0.00011464110155499848,0.0,0.0,0.00038241625205921183,0.0,9.039828405804386e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010894230068015214,9.546311578877895e-05,0.0,0.0,0.0,0.00024486798802429087,0.0,0.0,0.0,0.00029639084489126025,0.0012421543926691358,0.0,0.0,4.13963533595785e-05,0.0,3.872848697670139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0895572600770884e-05,0.0,0.0,2.36993943523352e-05,0.00017814678720603857,0.0,0.0,0.00011426040851983567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010676050022525755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
