,0
Start,0.00037259993863119007
End,0.0005078214027564929
"ME, kcal",0.00023700956601818056
"NDF,g",0.0016793093084688936
"ADF,g",0.012195415513795828
"NFC,g",0.0008232338459060498
"Crude fiber,g",0.0037069308414255566
"Starch,g",0.006554472131287115
"CP,g",0.00587672553092097
"Arginine,g",0.0019535414459938196
"Histidine,g",0.00016711890052737306
"Isoleucine,g",0.0005377118501745443
"Leucine,g",0.001709008699828497
"Lysine,g",0.0005851524205781006
"Methionine,g",0.002205599942164516
"Phenylalanine,g",0.003852931462965274
"Threonine,g",0.0022804240301686437
"Tryptophan,g",0.004024959364171875
"Valine,g",0.006546979482039225
"Alanine,g",0.001454301847839681
"Aspartic acid,g",0.0009791595901571415
"Cystine,g",0.001397804683820326
"Met + Cys,g",0.002468770606416303
"Glutamic acid,g",0.00390531615224185
"Glycine,g",0.0007559834988265828
"Proline,g",0.000381730775984977
"Serine,g",0.000776945298136441
"Tyrosine,g",0.00158072869712336
"Phe + Tyr,g",0.0002529776575521461
"Ether extract,g",0.005066144628060469
"SFA,g",0.005261491556628715
"MUFA,g",0.007500459921318891
"PUFA,g",0.003225628904191978
"n-3 PUFA,g",0.008226448587589634
"n-6 PUFA,g",0.00250758695502954
"n-3:n-6 ratio,g",0.008832348405134506
"C14,g",0.0035857997259695212
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.009434918223220672
"C16:1,g",0.011115117427094083
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.004716066428931974
"C18:1,g",0.009767602214760742
"C18:2 cis n-6 LA,g",0.009167047239817044
"C18:3 cis n-3 ALA,g",0.019531646054582612
"C20:0,g",0.011498962672347568
"C20:1,g",0.0025825572602428833
"C20:4n-6 ARA,g",0.0
"C20:5n-3 EPA,g",0.0
"C22:0,g",0.009107542703592347
"C22:1,g",0.0
"C22:6n-3 DHA,g",0.012835598542327136
"C24:0,g",0.0024893467525284084
"Ash,mg",0.002257309603914388
Vitamin A IU,0.003382514088360301
"beta-carotene,mg",0.01901283825995688
Vitamin D3 IU,0.004828398810204114
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.0023512053600721608
Vitamin K mg,0.0013160521390001357
AST ppm,0.0
Thiamin mg,0.0032700925805696957
Riboflavin mg,0.002883198214498891
Niacin mg,0.0019228499154645739
Pantothenic acid mg,0.0030151281119046853
Pyridoxine mg,0.0030442356423592124
Biotin mg,0.0025053508136401474
Folic acid mg,0.0009867470704342008
Vitamin B12 mg ,0.0017778936887022129
Choline mg,0.005746491829458753
"Calcium,g",0.0038325040809661093
"Total Phosphorus,g",0.0032428299477188774
"Inorganic available P,g",0.001308431119600365
Ca:P ratio,0.0070113436307226535
"Na,g",0.0038028208198735195
"Cl,g",0.0011125916799465075
"K,g",0.0
"Mg,g",0.0021655872379426535
"S,mg",0.008652519492350312
Cu mg,0.0042532431101570765
I mg,0.0026907649360741206
"Fe,mg",0.0043239725202594325
"Mn,mg",0.0017500525585240044
"Se,mg",0.0027957889962145484
"Zn,mg",0.005670365484244507
