,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5981345034627984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005908102456194347,0.0,0.0,0.06886761919292662,0.0066144377696755186,0.0,0.0,0.0,0.0,1.3376155546191218e-05,0.0,0.0,0.0,0.0,0.0,3.5930855167939924,0.0,0.0,0.0,3.9643764573854545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0011160634137292878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006806543665012083,0.0,0.0,0.0,0.0,0.0,0.00813080323121983,0.0,0.0,0.0,0.0,0.08798629646184356,0.0,0.0,0.015438538671267567,0.0,0.0,0.0021848604175045677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013148008914759253,0.0,5.082916148037056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002164684623272553,0.0,0.00030530426684001813,0.0,0.003826708994674367,0.0,0.025011805160371704,0.0038233239242900247,0.0,0.0,0.0,0.6938767654049067,0.0,0.0,0.0,0.0,0.00010576863572155562,0.0
"ADF,g",0.0,0.0,0.0,0.0011160634137292878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022251228739816275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00878674733839876,0.0,0.0,0.0,0.03298892547226198,0.14124090397440822,0.0,0.0007281912232138053,0.0,0.0,0.0,0.000707746179095272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015066327313100912,0.0,0.0,0.00014733781152400337,0.0,0.0,0.0,0.0,0.0011553310227022935,0.0,0.0,0.0,0.0,0.0,0.0,0.00017862330435928302,0.0,0.0007566839692344403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915625051784277,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10589258315489769,0.0,0.0,0.03467112284507545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03235705979261343,0.0,0.0,0.4049894376165241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031563823127768666,0.0,0.0,0.016524775169929597,0.004379130609073039,0.0007677978983147947,0.0,0.041783183674382204,0.0,1.8475793885387781,0.0,0.0,0.0,0.10165842347939184,0.0,0.0,0.0,0.0,7.460551997682888,0.0,0.0,0.0,0.0,0.0,0.12462241952102887,0.0,0.0,0.0,0.0,0.006448337325512865,0.03640893200128129,0.0,0.0,0.7321050927436835,0.0,0.41300114587738684,0.0,0.0,0.04683250211449469,0.0,0.0,0.012367290327306818,0.0,0.0,0.0,0.0,0.04356624342033152
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016682152018332838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025910769398340378,0.0,0.0,0.0,0.0,0.009255249558486079,0.0,0.001494326118135562,0.0,0.001907115728874155,0.0038926058159802143,0.0,0.0,0.0,0.0,0.0,0.0,0.20591067987013237,0.019301718059018255,0.0010606176045171766,0.0,0.002183246131407761,0.0,0.0,0.004754781885261182,0.49971734220925185,0.0,0.0,0.0,0.0042066674777916325,0.0023620046339918183,0.0,0.0,0.0,0.00115576663193169,1.42431502724546,0.004363826075853465,0.000668726395265848,0.0,0.003236437482522692,0.022638865481326473,0.0067652099192852255,0.001909709970426806,0.00029123135571879673,0.0020617612801339517,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04661176660289914,0.0,0.0,0.0,0.0,1.407439644230768,0.0,0.0,0.0,0.0,0.0,0.03307483427824043,0.0,0.0,0.0,0.0,0.0,0.0,0.026302031686057555,0.0,1.0323545820429743,0.5312307115384626,0.001435084957095211,0.0,0.0,0.13488179316223275,0.0,0.0,0.022664822210680714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011772247066572077,0.0,0.0,0.0,0.0,0.0,0.0017484921470397874,0.0,0.007855818522502424,0.0,0.0,0.0,0.0,3.2707575907539335,0.0,0.0,0.0,0.01586325561053828,0.1587391195153254,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17933001939897997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003594575908393436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019504506171896807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019216829089683737,0.0,0.0,0.3356690106698861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013224855001429175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01348612953285357,0.0,0.0,0.0,0.046762994698235735,0.0,0.012578511657826957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008556862804348744,0.0,0.0,0.0,0.0,0.004723631182668886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003820128223353071,2.3286276668119126e-06,0.0,0.001575885895148038,0.0,0.0,0.0007485798490863971,0.0,0.0,0.0,0.0,0.0
