,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0003896249005875523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7942872498559028e-06,0.0,0.0,0.0,0.0,0.0,3.407475811027682e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.975416736780157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1281639257425797e-05,4.1610057950380005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5321997930826815e-05,6.386170250574163e-08,0.0,0.0,0.00021658872468725355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9315274774230223e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4657049729578476e-06,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0009610533006934401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08203701736704e-06,0.0,0.00012581819570500446,0.0,5.354032308794658e-05,0.0,0.0,0.0,0.0,0.0,6.065705404904147e-05,6.9565117467622215e-06,0.0,0.0,0.00033600396953844646,0.0,0.0,2.3024957256096007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9866717236364065e-05,0.0,0.0,8.809626798962788e-06,0.0,0.0,0.0,3.6940887856110554e-05,0.0002325619356922514,0.0,0.0,0.0,0.0,3.5484519189811004e-05,1.7712623094973925e-05,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.00013554859902043908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2283015120504427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.790355869151672e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9039547198074e-06,0.0,0.0,0.0,0.0,0.00010774843006589705,3.385161235018345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.271921279964933e-05,0.0,0.0,0.0,2.4183633533694095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203622372262153e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0007736565984983876,0.0,8.283184183828135e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.410698276654797e-05,0.0,0.0,0.0,0.0,0.0,4.1463772752085925e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.67849873123853e-06,3.144337285144557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717067819339493e-05,0.0,0.0,0.0,0.0001828967555449098,3.817465846170596e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000137244982471836,0.0,0.0,1.1303484251443544e-05,0.0003232237576938347,0.0,0.0,0.0,3.8220388934761015e-06,0.0,7.043943539583528e-05,0.0,0.0,0.0,0.0,0.0,4.888465078763581e-06,0.0,0.0,4.818399017483374e-05,0.0,0.0,0.00014940978672026321,0.0,0.0,0.0,0.0,0.0,0.0,5.001390733719678e-05,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0016275677086219163,1.8310723756148403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6511961768763365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010235461437426334,0.0,0.0,0.0,0.0,7.155720159062271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006550401232126035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025262189759084797,0.0,0.0,0.0,0.001166934311886074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010232886962117214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,8.283184183828139e-07,1.8310723756148403e-05,0.005125155492839354,0.0,0.0,6.949035451667952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3487851404801087e-05,0.0,0.0,0.0,0.0,0.0,0.0001834566043207501,0.0,0.0,0.0,2.3371147821976136e-05,5.2928453021644434e-05,0.0,0.0,0.0,0.00022534828346697567,0.0,0.0,0.0,0.0,0.00039619939391930914,3.455684932481208e-05,0.0,0.0,6.887733278974122e-05,0.00026635630776609075,0.001559320308040186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008575624355947762,0.0,0.0,0.0,0.0022087642251289383,0.0,0.0,0.00013024483394800314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685873387251624e-05,0.0,0.000860826805072165,0.0,0.0,0.0,0.0012398294918192865,0.0,0.0005105585689963295,0.0,9.881865023658024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.558929896981345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32777831576631e-06,0.0,0.0,0.0,0.0,0.0,1.1879809300564995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458658589513989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7117756280506517e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
