,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004069415014149647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.016999461818161407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009208964095225699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009871395157798137,0.0,0.0,0.0,0.0,0.0,0.015104608333292253,0.0,0.0,0.0,0.0006833540727017812,0.0,0.0,0.0,0.015590543201643024,0.0,0.0,0.007674723427660307,0.0,0.0,0.0,0.0,0.007898311338135155,0.0,0.03090683926793127,0.0,0.0,0.0,0.0019126582892456234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008486051517026987,0.0,0.0,0.0,0.0,0.0,0.0002481147318572025,0.0,0.0,0.0016935043169129622,0.0014220551480360367,0.0,0.0,0.0002762354902598116,0.0,0.0006984359597154988,0.004053074022948662,0.0,0.0034004782974817816,0.0,0.008276885800065139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.016999461818161397,0.0,0.0,0.0,0.0,0.0837764704071688,0.0,0.0,0.0,0.0,0.0,0.004830096750041758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011530156163730019,0.0,0.0,0.0,0.0,0.0,0.0,0.008532576435384909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04537715402334466,0.07735051876667981,0.0,0.0,0.0,0.0,0.009208323630949145,0.0,0.0,0.0,0.22723989059427285,0.0,0.0,0.0,0.10948151374331226,0.004061299116085469,0.0,0.0,0.0,0.0,0.002335417906796932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014613201031709377,0.0,0.00382443164801044,0.0013894744874638249,0.0,0.001447787912544107,0.0,0.0,0.0,0.0034512989155518065,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004211441176854658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007363562119130879,0.0,0.0,0.022707738580653242,0.0,0.0,0.008248864173383556,0.0,0.0,0.0,0.0,0.0343675242200146,0.009799891676445367,0.0,0.0,0.0,1.9342485876900554e-05,0.0,0.0,0.0,0.033574290828131126,0.0,0.0,0.0,0.07019775338358726,0.0,0.0,0.0068662368118115324,0.0,0.0,0.0012079834695691224,0.0023728482271012973,0.0,0.0,0.0,0.0,0.002202197141512013,0.0,0.0,0.0,0.010509985756155828,0.003960460988946458,0.0,0.0003125064555378278,0.0009538405796809023,0.031974955438240506,0.0,0.0003111886574230782,0.0,0.0,0.0,0.0,0.0,0.00012505635584787733
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010365217668768509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023712390455204,0.0,0.0,0.0,0.12301435650737357,0.0,0.0,0.0,6.939110103576236e-06,0.0,0.0036633814652951005,0.0,0.0,0.0,0.0,0.0,0.00032375041772190604,0.0,0.0,0.0,0.040957475097563784,0.0,0.011065129474744535,6.857370964732142e-05,0.0627273169406116,0.0,0.0,0.0,0.005608029494581635,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006349469349878939,0.0,0.0,0.015044632300455683,0.0,0.0,0.038245633709869685,0.0265017094465523,0.0,0.0007334737197974752,0.0,0.0,0.0,0.0,0.08147091574144322,0.0,0.007232026071005742,0.0,0.01662160094932405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411185074905502,0.0,0.0,0.0,0.0,4.304853899911233,0.00979588351686335,0.0,0.0,0.013643715727746579,1.2553223445319897,0.0,0.0007249317168544513,0.0,0.0006622848519065172,0.0,0.0,0.0016266422033484051,0.0,0.004845827723328743,0.03264304597965169,0.0,0.0,0.0,4.5259040922798646e-05,0.00850228602934601,0.0,0.0,0.0004557778835529586,0.012411973518663945,0.10016908815404224,0.0013580342655510407,0.017694646140547436,0.0,0.007651528582614125,0.0,0.0037622087086257505,0.0,0.054945507289418924,0.0,0.0,0.0013581803668512235,0.0
"Starch,g",0.0,0.0,0.0,0.08377647040716894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013050023823123381,0.0,0.0,0.014503057834401758,0.04150824495735456,0.0,0.0,0.0,0.0,0.0,0.0,1.4072503846153852,0.0,0.043111818612602965,0.0,0.0,0.0,0.018675780082435166,0.0,0.0,0.0,0.0,0.0,0.01490916481992391,0.0,0.0,0.0,0.037373405918090866,0.11893378845155567,0.03502494667206034,0.0,0.0,0.0,0.09355680854157555,0.49253554247058484,0.10883897604016385,0.0,0.05729028925352363,0.0,0.0,0.0,0.0,0.0021084229980132497,0.0,0.002480671484828307,0.0,0.0,0.0,0.0,0.002421208641728827,0.0,0.035166779572501645,0.0,0.0,0.00625862094317668,0.0,0.006550282456271394,0.011261318823146245,0.0,0.008532603151512747,0.0017455717141749369,0.0,0.01635582174912964,0.0,2.705708177475379,0.0,0.0,0.0,0.0,0.0,0.002356151893832754
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036171850543435732,0.0,0.016248165908176782,0.0,0.0,0.0006450028680099027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007437835085627843,0.0,0.0,0.0,0.0010488252458642623,0.0,0.0,0.006857427971287425,0.0,0.0,0.0,0.012156551080432232,0.0013480288319791534,0.0,0.0,0.0,0.0,0.009923872841446791,0.0,0.0,0.0,0.0,0.0031208836172803385,0.03235407564924209,0.0,0.0,0.0,9.042801247173541,0.0,0.0,0.015739525965588835,0.0,0.0,0.0,0.0007166698533439429,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020243522422913195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014893898433090515,0.038742153987811584,0.0002026838515864447,0.0,0.0,0.0,0.0,0.0,0.0,0.00010404176608517882,0.0,0.0,0.021563241863615596,0.0,0.01621030004147842,0.011197346793238812,0.0,0.0,0.0,0.0025652381682479963,0.0,0.0,0.08742598697154878,2.046856912968467e-06,0.0,6.832262396247002e-05,0.02253430087897288,0.00031847498368121213,0.0,1.0592650845686544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013382099730719836,0.0,0.0,0.0,0.00555023585121997,0.0,15.095255026645047,0.001021978549566805,0.0,2.9116842971503294e-06,0.0,0.0,0.0,0.0,0.00011294185581167581,0.0,0.0,0.00028158579989450317
