,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.17083835429097793,0.22423987592144545,0.11800744717402938,0.03761706693615635,0.9453466257017422,0.03421042652679856,11.274434171488787,27.001643497359847,0.06637131106949837,0.10543488439868447,0.1146870930319922,0.0005570426475780695,8.30020884931069,1.7859367268826094,0.11559262860408853,0.006954193221921847,0.1775319986984823,5.10287107299058,0.6640530683400799,26.42185950757887,2.773171135221765,2.5576136828931975,0.01992057938436799,0.08169105833804528,0.0054871581327122325,0.008123886060687303,0.2388859847463006,0.00016189954205619465,0.05659960932809993,0.25857347004456643,0.2504989560194517,1.3441242916904501,0.0462514152387268,0.007872922378316731,0.3319180170534912,0.6179229325958125,0.0,0.0,0.1418129086610479,3.024369447694899,0.0,0.0,0.05444629171830444,0.5049987295916086,0.009708068206506566,0.009040778593994242,0.5457130433135051,0.1932438710006709,0.12225647670484602,0.7010144834629124,5.909104136634612,0.19283386728280685,0.1381508146453286,2.800269687039131,0.49111890267187286,1.191064372511107,0.7786602097743202,0.2841803182212925,0.0,0.35340369264253146,67.71828975096734,1.3861261424400326,0.04173315907809505,11.369321289240602,1.4167378692262833,2.124253002436517,0.17618938293108727,107.1892797310185,0.7632331420095673,19.655295233690836,14.547152672764923,0.46780749957859163,0.22890370769519428,0.2513968502218158,0.039186001239612245,0.2918083360267738,3.702617994785012,22.656838980610843,0.41333950766919586,4.542224779846964,0.08607737402803714,0.08942711676800784,0.4159026720212544,0.27110513524831575,0.21865834744130475,0.22644916488120526
End,0.17083835429097738,0.0,0.0,0.017053626831983127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10984687524595924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12248277464698137,0.0,0.0,0.0,0.04147473785751375,0.05366611186879619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02927903822111127,0.0,0.0,0.01984114987658403,0.05988913600409347,0.6473519382124452,0.0,0.0,0.0,0.15611411407763792,0.21042220674545023,0.04019529915548561,0.0,0.0,0.0,0.7390247747981886,0.0,0.0,0.0,0.0,1.715704718958436,0.0,0.0,0.1927606729075922,0.0,0.0,0.0,1.590114860717595,0.19931914360397193,0.0,0.1890498707328181,0.0,0.0,0.04500445851690845
"ME, kcal",0.224239875921439,0.0,0.0,0.34528365148508844,0.09103592592197522,0.4302752367932918,2.583486647732267,1.5635272572649552,1.5625664881558752,1.1681960681782957,3.665345897660192,4.602837848732299,0.8470629127281368,50.87846570414441,0.4781835411990372,0.6280248254011914,2.633908909207329,0.09197763160641853,0.12203734037014496,0.7069575195792476,1.6166134494040223,0.07904903816398627,73.93590243334711,0.0012555042226130428,0.5914628516821488,0.0003013530633559325,0.021685583587976863,0.057708076382736104,0.0013167649185032875,5.341613805019455,1.553519918286474,0.43509363500390896,0.18204476039721834,1.4522610534940148,0.06073659520432706,1.4243502042403806,1.7982122897492845,0.0,0.0,0.7970222062595296,0.549333652935196,0.0,0.0,0.03829254168026533,0.5250107249387318,0.8740143082863308,0.7055850915445571,0.7938701068293403,0.0,0.08267850765854996,0.08103072329111727,1.5152173123892827,0.13808983840811498,0.05759429463227817,0.08511607003298284,0.743639225929377,11.187895486977784,0.7433099679152677,2.9641287441971365,0.0,0.27519402957876626,3.001411783430636,0.6270478227654085,0.423932918404288,51.323806382904024,0.9283366128315174,0.8532099101681613,5.323754110361096,31.446166694638478,0.4997429993611329,8.214188491681686,0.5625159088848602,0.08625895766441606,0.8995380336780131,2.98763182266341,0.19370151545435063,2.747778391809395,1.3386291451672785,3.538802685114332,0.9273786574454602,1.865836883329267,0.34390811062876053,0.777555186766374,0.3031845944930286,0.08978804982044884,1.711794142558057,1.4507914354616065
"NDF,g",0.11800744717402946,0.017053626831983103,0.34528365148508844,0.0,3.4694162998276283,0.6554706054413941,0.4644895267276007,8.264944684414324,7.411024460320957,0.0001543714371987923,9.342333505278566,0.09456195237212577,0.25421299388553775,0.03059426949369344,0.08362642750126538,0.0,0.06304664514735735,0.0015471993858811777,0.7335117935506763,0.0025870256324362108,24.121649378422713,0.0004246100682118594,0.0,0.0,4.998138774124986,0.0,12.452408959218804,0.32581210790644777,0.0036712548504582872,0.6766627537993354,1.0566913257503014,0.0,6.1020591371238486e-05,0.3210829563368966,0.04363403509935879,16.081381893992322,5.289709229846598,0.0,0.0,0.2871438043321047,1.079433568699786,0.0,0.0,3.185180090310662,1.0573639657467844,0.0005360166403276449,0.0012148490271019267,0.23331314005306036,0.0,0.06265212641284972,0.23293530416884456,0.0,0.0,0.0023623437866875973,0.01738371892241826,2.649624869240617,0.057032284291468234,0.20997167477299183,3.0430980147855196,0.0,0.6210528615727974,71.25951603949666,0.056372698171583004,0.022945601798476663,1.9669328012448082,7.1851331191004135,0.4818244499130199,2.493977702188721,25.253487235646514,0.0,0.04255035216039196,2.7309693917772986,0.024277370610064804,0.4238942023525904,0.35886845348575697,0.08575892920300063,3.3304802379405816,0.7206515364144033,70.57782007853756,0.006619196767859787,0.5321628324678723,0.020540929237443818,0.0,0.010139442416212521,0.0,0.013375891608473701,1.593715014849507
"ADF,g",0.03761706693615674,0.0,0.09103592592197515,3.4694162998276186,0.0,0.0,2.8385508970101325,0.014509441880110125,20.35532791544663,0.9867419621897041,0.41774637630623607,0.37417665148492263,0.1510895162172742,2.4578994715231723,2.6665800884880997,0.39490959667552494,0.0,0.0,0.0,0.003630949490281669,0.6384098331673886,0.05181985395042047,0.06284958894845334,0.1613617690499795,3.8930418480151854,0.0010770639527493185,7.31306251641175e-05,0.0,0.0017362482576773841,0.0,6.269276939674811,0.0,1.6426694163542002,0.01700303789878367,0.0,0.2258032123417244,0.0,0.0,0.0,0.29241423430961805,0.39243152568827866,0.0,0.0,0.09251216185198262,0.0,0.017254411737685153,0.05140245013804803,0.0070456108517513395,0.03574087304122611,0.0,0.6223569560559546,0.0,0.48894859434240523,0.03973805042246878,0.0,0.39378646416144775,1.0968152697280436,0.33677141858370613,0.8839139705891126,0.0,0.0948107218729051,4.499687565576924,0.2695664755830873,0.12565125997711388,0.08938956177169737,0.031888127404596824,0.6899810847132397,0.0,0.0002710424681691866,0.0919378625818795,0.7222862603492204,14.575028483584717,0.9163316368559237,0.08302284295677767,0.04192496443623893,0.08309049980364853,26.69089547648649,0.47748384325372595,0.8317594913207302,0.0,7.410829631002805,0.012279982883047992,0.08656401646665077,0.17040013911189852,1.747187836966122,0.0,0.5566670414651268
"NFC,g",0.9453466257017429,0.0,0.43027523679329166,0.6554706054413936,0.0,0.0,2.143493971556625,3.41214242714316,0.00133410739382502,0.0009437380649125963,0.19587766329869835,0.3590424737672727,0.6968821595378349,16.76952859913495,0.1227514836835459,1.1462002294732099,1.0431765236118613,0.4690280933805458,0.9390142253063445,0.8957633778496964,7.278979750937756,1.4910144183988976,31.753031483199628,0.023409844069298497,0.8066353723904502,1.7957194880302816,0.089388538185224,3.895396475414366e-05,0.0003812508911346647,0.006234481253228878,0.0,0.10611381024160262,0.013092855983545,0.811749779045797,0.00017234475176243524,10.064923858721881,0.09782016555049095,0.0,0.0,0.34535430957326085,0.0889580694875673,0.0,0.0,0.30675114140067017,1.030542283419326,7.824685644108447,0.4986628104636713,0.3040444818186485,2.6423703745330327,0.2224629898339342,0.7903485273753884,0.8978398482859943,1.5983905331342703,0.9642004762268928,2.0947592588095474,0.5845853362241832,13.493375969830275,6.196696100628627,0.722251874177003,0.0,1.0344254067527954,3.2395117182715403,0.27458007767485365,0.1821639103368555,14.351152313169003,1.9204273581529123,0.2519732634144505,18.843077882589895,20.097879796548554,0.4261098060342914,19.297314928351433,0.46270114915628463,22.246234031979917,0.3006201340662407,2.1379638346080574,5.61796639682266,7.648991737052179,0.08057817638001846,1.2786803355824332,1.736027643585375,5.574262282073878,2.693171228433985,0.5169569225749904,0.19099972087800018,0.03360759334598435,0.1148120590520976,0.18664890748179452
"Crude fiber,g",0.03421042652679881,0.0,2.583486647732267,0.464489526727601,2.838550897010133,2.1434939715566275,0.0,2.0767430407458645,4.26283239166007,0.06345270561275382,5.54830858832101,0.5329925193062958,3.3776343518565324,0.010367452417893214,0.15256100442266884,0.006618074002575294,0.0,0.00492248441907304,0.8743902187785394,0.00021933756909296086,0.009130085143789868,0.13478019731774443,0.8754413928764643,1.9101686862338625,0.0,6.147027120341849,0.13997708971500042,0.000580196934518231,0.00036123492108698624,0.002427608283659834,0.02118873192496443,0.49327562878352166,0.07233255021968722,1.0106793413562378,0.018233390171532575,0.10017584339583778,0.0,0.0,0.0,0.7355793707533718,0.16479627633294827,0.0,0.0,0.0,0.0,0.055677540133482695,0.6655536126192403,0.06677949752624734,0.0,0.0,0.006179146355794043,0.0,0.178279420459977,0.7516857445447566,0.07430793474621886,0.24071618792509325,1.2796081712545717,1.5577260710484262,0.3510032056433461,0.0,2.0460291420027263,61.31416319873764,0.04393549550219942,4.525039051450712,0.09289420661185,1.2027052408031027,0.2673280321676708,0.8149554304226477,26.85451825088785,0.352633720142579,5.610868514655633,0.05252991418740714,0.9504869290830762,0.08918208521262692,1.1387057762715758,0.06395464054748921,44.01687232959238,0.03276184504020984,21.172092346734374,0.08030814696804323,7.105452434975253,0.21129138373748896,0.0,0.8061730552306505,0.08132040060650515,0.0042108328529447,0.47819483758503345
"Starch,g",11.274434171488785,0.0,1.5635272572649657,8.26494468441431,0.014509441880110212,3.4121424271431438,2.076743040745859,0.0,0.01713101917477335,1.9188267765636455,2.1635002105721024,17.330256958469537,0.5959093347302524,0.018096018589848495,0.8182340115714329,0.004200638298290981,2.7292095227058892,0.0,0.2827536342234939,1.8589467051294977,36.32438729940888,0.6480738106182415,0.3036762408870475,0.5046371689251521,5.594516405930867,0.0017008229091157383,0.257880167813982,0.007250911839882602,0.0007704573041683829,1.1017852311031409,0.6572422999151152,1.1025961318250905,0.0030420523141436095,0.8015827979556642,0.043007808467896494,9.215762651099034,21.90269482741201,0.0,0.0,1.3728760621317764,3.50275893490872,0.0,0.0,6.294614375953191,1.0181456977695063,0.00022144984112725988,0.002264156803480069,1.6963927646285837,0.0,0.02129497988381903,0.24668177942139902,2.136557041383515,0.0019932804606818443,0.27703685144935253,0.30069844220508085,2.1398234971031185,0.5493616759410367,0.3831360208267248,0.34432103601226,0.0,1.4734057593826655,42.72212753588762,0.13388684060789627,0.05365289849465993,0.3930955424597853,0.11767574168186096,2.3539500050002085,0.0,51.71056877176686,0.017161115061057088,1.4905182885047705,10.60726160483792,2.884527435235702,0.3730340228660026,0.0,0.07718393800356294,2.472467909468214,0.19593528028407473,9.687206250278852,0.021596000474844217,3.6382281992672034,0.2740018139570021,0.04412272241848844,1.257004583865473,1.8967390727157443,0.11541471394182219,0.37834005838921364
"CP,g",27.001643497359815,0.0,1.5625664881558774,7.411024460320946,20.355327915446615,0.0013341073938174964,4.262832391660079,0.017131019174773422,0.0,0.6755686365852933,13.89049506908816,16.071090382145197,0.0,0.0029156516731791123,0.8371883917806191,0.010729278689621239,0.537615605109687,1.1109315778213056,0.004311247448344474,0.7509362602181818,3.711108483540166,0.9285948455267733,0.8496736264542188,0.19692160861352084,2.172970746690938,0.0,7.38726693893711e-05,0.03733085146417502,0.0035344947655859583,0.000369452254266693,0.0014812256072334906,0.0,0.028185250973406725,0.40239779280605087,0.018880817000052934,0.1153222816782337,0.14432047398570835,0.0,0.0,0.7268166721428769,0.10614375238331127,0.0,0.0,0.6929505550890653,0.6250977236567917,0.02031149372443781,0.158540802975533,0.9406830505277455,0.6975076521863675,0.00043044832110510263,4.5240084978101045,0.0,3.7051733584953213,0.06967444655418015,0.0,0.7992596901863133,1.224277152379122,2.950810777833144,14.878684490178435,0.0,0.058730674141550115,94.97067073792476,0.145309762590767,0.02256986508467506,1.5104803045047275,0.5809632890607358,1.0750150421031304,0.20228987619962752,0.6578288420078492,0.02095561128741637,9.028824948955613,47.43026076629159,0.2545819898820486,0.301227586954308,0.07680421275414705,0.07572609364585718,70.3839114290014,0.7944950087394672,22.74499102609369,0.0957346365639502,8.045390933445464,0.17142625662510927,0.0011131535392591618,0.7120829065614986,0.0016439022638925272,0.6387240482680355,1.121295253004761
"Arginine,g",0.06637131106949681,0.0,1.1681960681782957,0.00015437143719913873,0.9867419621897044,0.0009437380649137252,0.06345270561275423,1.9188267765636569,0.6755686365852918,0.0,3.0399319735197015,0.09886605009628532,0.12988787289353634,0.0,1.0569351898909396,0.1020444607693704,0.23044157801647888,2.8294928808560354e-05,0.005168854580613487,0.4208663726160944,14.896579841883966,0.11989457205923129,1.1087987318228307,0.22815200349424913,0.06618484717270928,0.029978213142775628,3.081096430646747e-05,0.003979812385106498,0.0018934412650065474,0.025805518858208847,0.006456716512240214,0.0013872700759522997,0.573661323952391,0.017925454589881023,0.021641279917383682,5.044986225050766,0.21550618903532676,0.0,0.0,10.276075472453163,0.2540633642143139,0.0,0.0,0.00019005632508768878,0.004454478165687172,0.5524622958749948,0.25223238875818993,0.25110929411438376,0.23472625501897715,0.024688134950698683,0.12877468256924451,0.010144831542804746,0.02878173723163139,0.02840104083131246,0.0,3.311416745066887,0.22879562569593637,0.13770059874174886,0.9595337233322202,0.0,0.05250965338073521,0.8859960732992811,0.2933345846837582,0.07059754466068052,0.4784791638109861,0.1925133061193707,0.24649084302893542,0.00038137588507980815,0.010394712980974085,0.23138607417018103,1.5165628259593489,0.0,0.031841798652941594,0.2709796693391919,0.18233964012897513,0.07743844871250344,2.0268394855018297,0.7193448896568716,0.23077620925007689,0.44657518320713124,0.17042142186357354,0.031011800363613642,0.25462193095980745,2.6536727950526817,0.034311099541467306,0.05893613644393282,0.602638295881412
