,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.286668648988455,0.0,0.00016102100877581036,1.3939282080797795e-05,1.4579763896677661e-05,0.004637855723098453,0.0,0.0005227489509810661,0.0012024094672967902,4.264065620878938e-05,0.0002937586952384625,0.001119498246754144,0.008379426054201982,8.897471655702684e-05,0.00039279176079666566,0.007841534343552123,0.00774583242538117,0.0005208255390219838,0.0,1.807116152097438e-05,0.008605694124321663,0.00028028998611278477,0.03265947359785992,0.00012065561969238014,5.663659646317485e-06,0.0002457676339251903,2.1246099543908885e-05,4.943807011627961e-05,6.83150042456277e-07,0.00011539318164116653,0.004240729025477764,8.023203975266554e-06,6.4419707726357285e-06,0.001487646644464566,0.000415276391477874,0.005977810880891085,0.000918123079254258,0.0,0.0,0.00020934555982695066,0.0007488070749951456,0.0,0.0,0.00577755178297957,0.005326187553989876,0.014963924215104337,0.0021394087429381747,1.086306396202038e-05,0.0003558693934096688,0.00036150055215919337,0.00528934502875212,2.2426903971660437e-05,1.1699424684560414e-05,0.002546437979352233,6.876825119313449e-05,3.480944702456085e-05,0.00418627410988141,0.0011618022459809001,0.013593349285988677,0.0,8.321068293886132e-05,0.02181394238348241,0.0022632798801889196,0.007544686254004215,0.02874473964085967,0.008905223095661661,0.0005456656802208436,0.003718823158026874,0.013292222296252952,0.003719379109281703,0.01852977892600051,0.018697433886976814,0.010635543278657478,0.0003506823274013862,0.0020281699497454726,0.003467105713848864,0.0011370517880899683,7.336811556548094e-05,0.004483741192300562,0.0005884039677779937,0.0018044921098967744,0.00380232843608997,0.0005375974260961294,0.000457401296497725,0.00032622595014051073,0.011597488880889954,1.8594356118721977e-05
End,0.0,0.02048143759017115,0.012574007147316053,0.0021757974216289997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045179734302760784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009343526409671094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005305616473245619,0.0,0.00016948405047521593,0.0017194741027478106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003167574968481931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.00016102100877580874,0.012574007147316046,0.2812647530553489,0.007034773485933678,0.0,0.0031875422190697604,0.0010978532558134691,2.426561791289185e-05,0.0005143586345734539,0.00023020402696752364,0.0030276616313519916,0.00019539206400055476,0.0005894555694283713,0.00010326104902988452,0.003297303625544862,0.0007205856682674666,0.0008859646274136988,0.0,0.038152478409582524,0.006170400448420223,0.020720462341430164,0.01635671323333575,0.002419335476098117,0.0,0.004435205824797486,0.0003989293536354921,1.58002010457774e-05,0.0,0.0,0.0,0.0,8.509584439036003e-05,0.0,0.0,8.131529045902721e-05,0.042124565708495154,0.15896691041738525,0.0,0.0,0.0016702761378379984,0.0,0.0,0.0,0.001987530721966827,0.0031507154729166673,0.0005072662948620152,0.003780105151086066,0.00011317381584967355,0.0005042306934811009,1.9564904497600334e-05,0.0007682089728411656,3.9054065108878354e-05,0.0,6.036884940357857e-05,0.00010581188261609877,0.0026481992805290028,0.004224983525843363,0.0013598827658640852,0.015293399415034412,0.0,0.002661336243677986,0.04261932567993564,0.0009661849167116476,0.00011353570667948178,0.00234026051115115,0.0011678221487056292,0.0024506041648230644,0.0017590173783309248,0.09034209308371614,0.00020059774546632566,0.002119997066509613,0.044693460083389584,0.0003578494796562643,0.003049438211645018,0.005902150651293737,0.004749656491987398,0.012274514351913488,0.00014967215967541072,0.0021610195470405393,0.0014901000428769284,0.004173510693429807,0.008334521623980719,0.0005777401394518927,0.001254639774029588,0.00037189240514055297,0.0004347049500291833,4.83233924223057e-05
"NDF,g",1.393928208079793e-05,0.0021757974216290083,0.007034773485933677,0.1500372558422371,0.0024848443832335525,0.00039088651388629713,0.0,0.0008694633036499356,0.0,0.00128442255598382,5.708396179646241e-05,0.004412076537374965,0.0031789524434521384,0.0010127871878668124,0.005161728843118688,0.001277100864062242,0.0005308114322474436,3.2085870892164577e-06,0.0021712563451413026,0.003259465950849699,0.0,0.0023228716474592796,0.02585814463623156,0.0059462469857072455,0.003851840206946849,0.0,0.0,0.0,0.0,1.243026751531299e-06,0.0,0.004648756781950725,0.0,0.00013583604079947365,0.0,0.00018639540506062288,0.0,0.0,0.0,2.788371447861498e-05,0.011333826976822017,0.0,0.0,0.0004492153725009585,0.00014567635296970264,0.000656306170042099,0.0002603210328211473,0.0001700939276796267,0.0,0.0,0.0032594871722885404,0.0,0.0,0.0004001810676524356,0.027438273871535638,0.0027479835004532876,0.018001770884767204,0.002420920425930845,0.011504450434388705,0.0,0.001497969249273954,0.0026150795589875526,0.0010944819645865292,0.0,0.013404591354438354,0.0010471365869412388,0.0014394263850826322,0.00038637973749285065,0.010208169215304852,0.0009127168546918629,0.0043944137895317575,0.004392871489538523,0.00020976430608747197,0.00457621698923171,0.01601143610730616,0.00010514736858015675,0.0029736669888574432,9.181725352517045e-05,0.0005979093131747856,0.0005551475053347407,0.012694574297907905,0.0007531252952929186,0.00012899326047296694,0.0016304768469417928,0.0,0.0,0.0033004598625944663
"ADF,g",1.4579763896677947e-05,0.0,0.0,0.002484844383233553,0.01133321267338164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426786872535625e-05,3.0681058311640496e-05,3.3367735929703856e-05,0.0,0.0,0.0002807206443652998,0.0,0.0,0.0003010233158657408,5.976830801638326e-05,0.0,0.0,4.801843549701978e-07,9.51481323858248e-06,0.0,0.0,0.0,1.3629805458758763e-06,0.0001749743703482902,3.592613520783423e-05,4.62413489741314e-05,3.85524982817409e-05,0.0,2.411347557099779e-05,3.517697397437873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009307038958767379,0.0002525726101645303,0.0,0.00017216763072045571,0.0,0.0001840363163066238,0.0001376116775928276,0.0,0.0,0.0,0.0,5.049512542911622e-05,0.004873913003892247,0.0007377164048690105,6.967251174359904e-05,0.0,3.6525230437867505e-06,0.0,0.0003769070432637827,0.0,0.0,0.0013691853177812128,0.00022670160074180428,0.0,0.0006554222638794849,0.0,0.0001963805722498973,0.0,0.0,0.00027654304712365987,0.0,0.0009566836883420354,0.0009608788323384368,8.69845326280043e-05,0.00023005534358004411,0.0019624213185531563,0.005097950775679414,1.871378896311571e-05,0.0003187164655939061,0.00041713974260828326,0.0011500460729370657,0.0,0.00014126792590181088
"NFC,g",0.004637855723098455,0.0,0.0031875422190697604,0.0003908865138862984,0.0,3.3703961384803565,0.00010726899892214569,0.05997312839123411,0.012252813173677499,0.007010597387479537,0.024158461963006538,0.04569627151382662,0.00497628051610468,0.12645591596124953,0.0,0.0,0.14343997464825844,0.029552749399641323,0.0,0.1886319568814423,0.0,0.007254643936205464,0.002467872952180308,0.004307058404218416,0.0129492238304425,0.013089168624654557,0.027389642822782383,0.000256846541500609,0.0,0.002478045156354837,0.00014634814347919348,0.0014720555126346098,0.00029412552727689647,7.201064077615365e-05,0.0,0.5866701509653243,0.08182043292033771,0.0,0.0,0.000667821179550502,0.0,0.0,0.0,0.00026223555363120375,0.00041291695820796294,0.0009392000006380647,0.0017519047488640043,0.0,0.0,0.0,0.0036184339589119432,0.0,0.0,0.0006770270628329889,0.002755059592625482,0.00023842502591887936,0.02785236319115724,0.0002579903231116125,0.003529713878805465,0.0,0.0013909010347267926,0.12447866893189785,0.0004975680825992638,0.0,0.004116362191897022,0.006843979886344691,0.011166815363201785,0.0,0.29747582907563347,0.0006532055630871248,0.007323212093372289,0.04606129224151284,0.00016789931449697994,0.007479495857809512,0.0004743907781717934,0.04030416847651459,0.011988147772087919,0.0014485778937131256,0.01129885793504937,0.013005035906438148,0.06861171562837431,0.0005644323752086331,0.0,0.00017873997985102586,0.0012096072286525142,0.00029784989710151356,0.0003844412194565944
"Crude fiber,g",0.0,0.0,0.0010978532558134648,0.0,0.0,0.00010726899892214791,1.497581663888913,0.03493777710321814,0.000986279204743661,0.0039388739961786256,0.0,0.0,0.009009451119098559,0.004657113631511334,0.009808461785837436,0.0005223415887844281,0.0,0.0,0.0,0.0,0.0,0.00287289940542573,0.003493413228069871,0.004286105870776883,0.0005462801149214331,0.0013340260626552277,0.0,0.0,0.0,0.0,0.0,0.0,0.0019513832874470203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018795587178094496,8.161528549613265e-06,0.0,0.0017419583772993335,0.0,0.0,0.0,0.000270441828916927,0.0,0.0,0.0,0.0030015169831791233,0.0005338974408697552,0.006279933959996183,0.00044504997071175863,0.0024312160644810394,0.0,0.007006741248498207,0.8973245586073791,0.00046757498442658653,8.2676390697625e-05,0.0,0.0004427417581679006,0.0011112924238970221,0.004674263531066968,0.03011254210378863,0.00020294521269493862,0.008468887366730097,0.24183885963124974,0.0,0.0031350735453610787,0.0,0.0,0.006179876198391346,2.266496042096707e-05,0.003007043029272332,0.0005071731178003023,0.002263234280974009,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0005227489509810669,0.0,2.426561791289185e-05,0.0008694633036499402,0.0,0.059973128391234094,0.03493777710321814,2.873180621087922,0.14711399867455177,6.512323423350876e-05,4.986055220743687e-05,0.004419745409347425,0.0046899191391374245,0.006007455056275093,0.02106262897309378,0.026371454525658224,0.010164637318198291,0.15784840154778268,0.0,0.11548259249902625,0.0,0.05817598106257619,0.0001337485708981253,0.0001265261925173517,0.1046119961304683,0.057393807658003886,2.7379326710446215e-07,0.004222585210223499,0.0,4.842122290029693e-06,0.0,4.433369690197322e-06,0.000824001413349109,0.00013034825073652553,0.0,0.011599523885789383,0.02275829005024047,0.0,0.0,0.0,0.0,0.0,0.0,0.005586209191350982,0.006578129969029863,0.1436485567855838,0.0,0.0,0.0,0.0,3.9968753178956345e-05,0.0,0.0,5.8898002384531575e-05,0.1070601456989187,0.012976998573353386,0.010278998653160726,0.010030818804349816,0.03648259221086618,0.0,0.0005002078237147226,0.3735942677856755,4.168310512060838e-06,0.0032701312318490455,0.0003525926732936381,0.0039660628935042855,0.00031154611437085334,0.0028382809867728504,0.02055415787390046,0.0037573995946056054,0.004002046643609061,0.0011895262705659097,0.3295145532399297,0.04382904226743961,0.0060032493552677115,0.008334738829692908,0.048270150291176116,0.0,0.004396711346312145,0.0,0.04041970636265189,0.08542721498549519,0.0,0.005145911904682494,0.0,1.3079621543854345e-05,0.00037231642358386013
"CP,g",0.0012024094672967904,0.0,0.0005143586345734525,0.0,0.0,0.01225281317367761,0.0009862792047436713,0.14711399867455222,0.3455857045942515,8.949442484039121e-05,0.0,0.0,0.0,0.013859492865158238,0.022658317718200757,0.0,0.004915989867016949,0.003927034301267993,0.0010698498639001013,0.01288307022605063,0.01645207051142972,3.2873217879953766e-05,0.0005786167433682953,3.2277218878294195e-05,0.04137460827285602,0.0,6.17532917843964e-05,0.0,0.0,0.0043556604951794095,0.0,0.0,0.00023615115099840715,0.0009209482205040881,9.251985802906705e-05,0.0014232551647275471,0.0,0.0,0.0,0.0,0.000287132551175123,0.0,0.0,0.003958324431010715,0.0,0.0007741188168929536,0.0004673601599446142,0.0,0.0,0.0005164880497353646,0.0018122922976800098,0.0,2.733743867559091e-05,0.003642103820769069,0.00818175993410736,0.021878012256870277,0.009179466844315403,0.0010029118341110246,0.0022158221469114037,0.0,0.0,0.006549131749230782,0.0004896511574760038,0.0,0.006071310609594727,0.0,0.0002262344366080734,0.0002758226934760606,0.011135870269246081,0.0004047413803682333,0.004464989592991156,0.0,0.0,0.022595274988432633,0.0007330774528151572,0.018298967948611505,0.004291506668819131,9.419882026260757e-05,0.0009948726948666349,0.0018351817350159237,0.007223814853822531,0.0002650275656486144,0.0027979613148932437,0.0,0.0,0.0,0.0
"Arginine,g",4.264065620878909e-05,0.0,0.00023020402696751616,0.001284422555983824,0.0,0.007010597387479577,0.00393887399617862,6.512323423350994e-05,8.949442484038983e-05,0.430739209823954,9.273898716002589e-05,7.97838921196901e-05,0.07325765078709871,0.0,0.0006790006383377009,0.0012836243890234388,0.0032861556100446452,0.00017851181966023323,0.0,5.329529899896567e-05,0.0,0.0035806765569095195,0.0028877295751571124,0.0269477648501246,0.0,6.450579949507721e-06,0.0,0.0,0.0,0.0,0.0,0.011333536771057315,0.0003421167211633589,0.0,0.0,0.0011267429895063835,0.0016572481292135273,0.0,0.0,0.0006473469511593948,0.0,0.0,0.0,0.00032282272587329616,3.613163845247019e-05,0.0,6.200832329202785e-06,0.0,1.3733076184917953e-06,0.0,2.487955734448242e-06,0.0,0.0,3.174861393751224e-05,0.00011800057790171498,0.0008178119419768109,0.01897738578164699,1.852036714424054e-05,0.28637218398871966,0.0,3.0942062873522045e-05,0.004335613709855415,1.7434267703454374e-06,4.4160227791025135e-05,0.054452169174611625,0.0023026862329884267,0.006072420412148288,1.0203970040036332e-05,0.17456174001161556,0.0,0.00268824744755662,0.0582390279013131,0.0,2.4875112595304318e-05,0.004138626859583981,0.00434818674756308,0.0013758102476528352,0.0,0.0004064652115190386,0.0016416747664237876,2.687244771379269e-05,0.015107283553400306,0.0,0.0,0.0,0.0,0.0
