,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,2.618302910268011,0.0,0.0,0.0,0.0,13.608719955516206,0.0,0.0,0.0,0.0,0.0,0.0,1.6008409659765497,0.8940197936308606,0.0,1.4875793543883769,0.0,0.0,0.0,0.0,1.7389511704374445,0.0,0.0,0.0,0.0,1.3223085868896727,0.0,0.0,0.0,0.0,0.0,3.2810375576111968,0.7285313430601718,3.6189226631587688,0.0,0.0,0.0,0.0,3.554514046023625,0.0,0.0,0.0,0.0,0.0,0.0,2.803177793531418,0.0,0.0,0.0,0.0,4.005499945295735,0.0,0.0,2.299819946754652,0.0,2.0348649812153075,0.0,0.0,2.008923547785059,0.0,0.0,2.6380195846389265,0.6759935874524368,0.0,2.9171023480201814,0.0,0.0,24.357456315337544,0.0,0.0,0.0,0.0,3.4756216007101544,0.0,6.769136048732022,1.6939618371330845,1.8401879677778916,0.0,2.821740523680595,3.422710813787528,1.988725307693589,4.453688124197739,0.0,2.327381222760366,0.3928112570130482
End,0.0,0.0,0.0,0.0,0.0,6.658644445822852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2799891781770443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448087612494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.280968568678963,0.0,0.0,12.71948316226704,0.0,0.0,0.0,0.0,0.0,4.3854581471649805,0.0,0.0,0.0,19.328018862462816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0414547585174248
"ME, kcal",2.618302910268011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.892001333794435,0.0,0.5277745412586943,0.0,0.0,0.0,1.2868374860750567,0.0,0.0,0.0,0.0,0.0,0.0,1.397383023883286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8784209400465364,0.0,0.0,0.0,3.349573702212058,0.0,3.8550244743885402,0.0,0.0,0.0,0.0,1.4755773106031267,0.0,0.0,0.0,0.3562058177818604,2.9596830761940605,0.0,2.225742068907884,0.0,1.2458142917254582,0.0,0.0,0.7213305170345139,0.0,0.0,1.9195988960012473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3453805272766117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642876116674992,2.8959224621692172,0.0,0.0,3.008978246811362,2.193295378627282,0.0,3.104816268543948,4.376366429528393,2.155562053493592,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009130057443872,0.0,0.8453484772771502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49469925307394524,1.3262099977435657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.165045247826891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2282009277345864,0.0,0.0,0.977935123694242,0.0,0.0,0.4639547457263302,0.0,1.5217728006514033,2.050581269045478,0.0,0.0,0.6129020245689615,0.0,0.0,0.0,0.0,2.0115231671379696
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784576923377034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6212777269249523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0617927548903778,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,6.658644445822851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604373895194412,0.0,0.0,0.0,0.0,0.0,0.0,2.400671060005972,0.0,0.0,0.0,0.0,12.545181957582903,0.0,0.0,0.0,0.0,0.0,0.0,1.3257564448387607,0.0,0.0,0.0,1.7284259160509174,0.0,0.5598112122101271,0.0,0.0,0.0,0.0,2.0575158371620934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4391819454995103,0.0,0.0,2.0081629627240862,0.0,4.252946051708268,0.0,0.0,0.0,0.0,1.1262153382533355,8.821078447282728,0.0,0.0,7.342682161958266,0.2624236058791775,1.5393251525186518,0.0,0.0,0.0,0.0,5.1455303745355385,0.0,0.0,3.3147222240206426,2.158728817654924,1.2862487698320222,0.0,0.0,3.595082612474153,0.0,2.2044130621385714,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.290673120085858,0.0,0.0,0.0,0.0,0.0,0.0,1.038012626249744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.456202112049503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6458478420309854,0.0,0.0,0.0,2.5099306767725365,0.0,0.0,0.0,1.053247270443048,0.0,0.0,0.0,0.0,2.9443869137619196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3469341652278894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885114764414598,0.7572279363816848,7.145178576130249,0.0,0.0,0.0,1.524579422630072,0.0,0.0,1.7281563928218455
"Starch,g",13.608719955516206,0.0,0.0,0.0,0.0,0.0,5.290673120085858,0.0,0.0,3.1607635129194924,0.0,2.0612223317864085,0.0,0.0,0.6257097237076932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.225327690587168,0.0,0.0,0.0,0.0,0.0,0.0,1.9769183274243953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.404983135424082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160256377289715,0.0,1.4672333645577127,0.0,0.0,0.0,0.0,2.1400157621261204,1.0369859939209127,0.0,0.0,0.0,0.0,7.567607589934919,0.0,1.537026849175379,23.228959421254846,0.0,11.316251431507926,0.0,0.0,3.715183251257215,0.0,5.534890754901495,0.0,0.0,0.0,0.0,0.0,0.0,2.062478182941586,2.990834142058991,5.154381521211735,0.7858675616593411,2.681786160037735,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,1.892001333794435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815394404346359,0.0,0.0,0.0,0.0,0.0,3.249750467871962,0.0,2.622198560098934,0.0,0.0,0.0,2.7402162621021215,4.417294415696379,2.7085693914740157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.324759144524627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.497969991934642,0.26102363730281636,0.0,2.5716833589898327,13.931696862732583,19.158967660166503,0.0,0.0,0.0,0.0,0.5119327164380575,0.0,0.0,3.764489418454708,9.083284700870127,7.5544360343910455,0.813127469497947,5.186272575441275,0.6586116301041095,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1607635129194933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.885741324022234,0.0,0.0,0.0,0.0,0.0,0.0,3.8613120491665245,0.0,0.0,0.0,1.0394289609687375,0.0,0.0,0.0,0.0,0.0,0.0,5.351070947964122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9958408350365642,3.2084098743718217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5176808153930392,0.0,0.0,1.245405095620283,0.9885324473278352,0.0,0.0,0.0,0.7868582191905968,1.9806957139726664,0.0,0.0,3.2479633336248943,0.0,1.3941987986883082,0.6805075675966684,0.6102185171453419,0.0,0.0,0.0,0.0
