,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.6137021784370539,0.0,0.008845617940094632,0.0,0.0,0.0,0.0,0.045975405255122316,0.0,0.0,0.0,0.0,0.0,0.0,0.005408246506677533,0.0030203371406447993,0.0,0.00502560592698776,0.0,0.0,0.0,0.0,0.005874835035261637,0.0,0.0,0.0,0.0,0.004467258739492138,0.0,0.0,0.0,0.0,0.0,0.01108458634328107,0.002461254537365445,0.012226090078239084,0.0,0.0,0.0,0.0,0.012008493398728464,0.0,0.0,0.0,0.0,0.0,0.0,0.009470195248416953,0.0,0.0,0.0,0.0,0.01353209440978289,0.0,0.0,0.007769661982279229,0.0,0.0068745438554571195,0.0,0.0,0.006786903877652226,0.0,0.0,0.00891222832648286,0.002283762119771746,0.0,0.009855075500068181,0.0,0.0,0.08228870376803224,0.0,0.0,0.0,0.0,0.011741964867264035,0.0,0.02286870286733791,0.005722844044368528,0.006216851242492877,0.0,0.009532907174596605,0.011563212208741649,0.006718666580045909,0.0150462436628302,0.0,0.007862774401217453,0.001327065057476514
End,0.0,0.1687632228447668,0.0,0.0,0.0,0.022495420425077205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011081044520868394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028731354311232908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024597866786077578,0.0,0.0,0.04297122689955081,0.0,0.0,0.0,0.0,0.0,0.014815736983665475,0.0,0.0,0.0,0.06529736102183384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010275184994991299
"ME, kcal",0.008845617940094632,0.0,0.10029918409463598,0.0,0.0,0.0,0.0,0.0,0.006391896397954172,0.0,0.0017830220988469402,0.0,0.0,0.0,0.004347423939442759,0.0,0.0,0.0,0.0,0.0,0.0,0.004720888594200291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009724395067724784,0.0,0.0,0.0,0.011316127372338034,0.0,0.013023731332393717,0.0,0.0,0.0,0.0,0.00498505848176732,0.0,0.0,0.0,0.0012033980330468257,0.00999892931146642,0.0,0.007519398881445555,0.0,0.0042088320666400615,0.0,0.0,0.0024369274224138983,0.0,0.0,0.006485131405409619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007923582862420986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032577284177956055,0.00978352183165276,0.0,0.0,0.010165467050038384,0.007409781684551628,0.0,0.010489244150486311,0.014785021721379707,0.0072823042347756484,0.0
"NDF,g",0.0,0.0,0.0,0.023411640864498928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006787601545418487,0.0,0.0028559070178282102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00167128126038495,0.004480439181566101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010692720431847606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004149327458562792,0.0,0.0,0.003303834877345412,0.0,0.0,0.0015674146815078723,0.0,0.005141124326525011,0.00692763942245094,0.0,0.0,0.002070614947868113,0.0,0.0,0.0,0.0,0.0067956863754661135
"ADF,g",0.0,0.0,0.0,0.0,0.027277077360919864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016164111227625115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008855667996368083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035871376854404655,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0224954204250772,0.0,0.0,0.0,0.2261903048683548,0.0,0.0,0.0,0.0,0.0054201820783595,0.0,0.0,0.0,0.0,0.0,0.0,0.00811037520272288,0.0,0.0,0.0,0.0,0.04238237147832062,0.0,0.0,0.0,0.0,0.0,0.0,0.004478906908239056,0.0,0.0,0.0,0.005839276743415262,0.0,0.0018912540953044835,0.0,0.0,0.0,0.0,0.006951067017439505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011618857923984833,0.0,0.0,0.006784334333527318,0.0,0.014368060985500903,0.0,0.0,0.0,0.0,0.0038047815481531606,0.02980094070027949,0.0,0.0,0.024806358655264413,0.0008865662360783024,0.005200422812563013,0.0,0.0,0.0,0.0,0.017383548562620064,0.0,0.0,0.011198385891961631,0.007293002762347717,0.004345435033216291,0.0,0.0,0.012145549366466732,0.0,0.007447341426143822,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.13013743560430077,0.017873895675965736,0.0,0.0,0.0,0.0,0.0,0.0,0.0035067994130058918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04208176389205913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005560296763618194,0.0,0.0,0.0,0.008479495529636947,0.0,0.0,0.0,0.0035582678055508378,0.0,0.0,0.0,0.0,0.009947253087033512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004550453260905032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016503766095995263,0.0025582024877759623,0.02413911681125084,0.0,0.0,0.0,0.005150606157534027,0.0,0.0,0.005838366191965694
"Starch,g",0.045975405255122316,0.0,0.0,0.0,0.0,0.0,0.017873895675965736,0.5079177388259285,0.0,0.010678255111214502,0.0,0.006963588958737867,0.0,0.0,0.0021138842017151796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10549097192765935,0.0,0.0,0.0,0.0,0.0,0.0,0.006678778133190524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011503321403459736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003919785058411199,0.0,0.004956869474857137,0.0,0.0,0.0,0.0,0.007229782980155812,0.003503331060543624,0.0,0.0,0.0,0.0,0.02556624185788824,0.0,0.005192658274241145,0.0784762142609961,0.0,0.038230579160499746,0.0,0.0,0.012551294767760863,0.0,0.01869895525304559,0.0,0.0,0.0,0.0,0.0,0.0,0.006967831699126979,0.010104169398847942,0.01741345108517478,0.002654957978578855,0.009060088378505861,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,0.006391896397954172,0.0,0.0,0.0,0.0,0.0,0.5323693101866818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060187143257926885,0.0,0.0,0.0,0.0,0.0,0.010978886715783657,0.0,0.008858778919253156,0.0,0.0,0.0,0.009257487371966628,0.014923291944920198,0.009150572268493296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07204310521798861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895201688916711,0.0008818366125095147,0.0,0.008688119456046733,0.04706654345517765,0.06472624209515711,0.0,0.0,0.0,0.0,0.0017295024203988429,0.0,0.0,0.01271786965694158,0.030686772638074754,0.025521743359429208,0.0027470522618173883,0.01752119113324755,0.002225039290892262,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010678255111214504,0.0,0.030860764415104297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019884261229804846,0.0,0.0,0.0,0.0,0.0,0.0,0.013044973139076096,0.0,0.0,0.0,0.003511584327597086,0.0,0.0,0.0,0.0,0.0,0.0,0.018077942391770685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067427055237721766,0.010839222548553452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005127300052003511,0.0,0.0,0.004207449647365821,0.0033396366463778215,0.0,0.0,0.0,0.002658304794562827,0.006691539574231981,0.0,0.0,0.010972849100084102,0.0,0.00471013107664969,0.002299012052691447,0.002061549044409939,0.0,0.0,0.0,0.0
"Histidine,g",0.0,0.0,0.0017830220988469404,0.0,0.0,0.005420182078359506,0.0,0.0,0.0,0.0,0.19192387053723606,0.00929976043719235,0.0,0.0,0.005331099986356197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007770096178693513,0.0,0.0,0.0,0.0,0.0,0.0,0.00794666373116866,0.0,0.0,0.010156876784321006,0.0,0.0,0.0068835004318473034,0.0,0.0,0.0,0.0,0.00796874772928376,0.0,0.0,0.00172477970276468,0.0,0.0,0.0067363212205204,0.0022608819422691097,0.0,0.005623558530764075,0.0,0.0,0.00440211408870446,0.0,0.0,0.0,0.0075343376801530445,0.0,0.0,0.0,0.006200966084391626,0.0,0.0,0.0060609557841172475,0.0,0.0,0.0,0.0,0.013641562965110371,0.0,0.007028361677268249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005807830750328497,0.0,0.0,0.019604184184087537,0.0,0.0,0.002825689242751763,0.0,0.003599101021159479
"Isoleucine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006963588958737859,0.0,0.0,0.009299760437192347,0.5171383440951313,0.011547922084862286,0.011746543004698445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008044039256826379,0.0,0.0,0.0,0.0,0.014857368469077021,0.0027989718934884737,0.0038347760141578544,0.0,0.0,0.0,0.0,0.0,0.00901032185264058,0.0,0.0,0.0,0.012325171539791116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024468162126885358,0.0,0.0,0.1182460022215562,0.0,0.0,0.0,0.0,0.04034151966543203,0.0,0.0,0.00864452030691216,0.0,0.015583717805361382,0.0,0.0,0.0,0.08037652709486942,0.04234006470697397,0.0,0.0,0.0,0.0,0.005134424252189693,0.011202586644496849,0.02790408617284525,0.027826741724233592,0.0,0.0,0.011929693552632724,0.0418172777364797,0.0,0.0,0.004869324579551603,0.0
"Leucine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011547922084862288,0.04230113231352713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020559761728606175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006812719037091681,0.0,0.0,0.0,0.006349432158205893,0.0,0.0030680560056345943,0.003953952596365537,0.0,0.0015134351532830462,0.0,0.0,0.0,0.0,0.0,0.0,0.015211368734609182,0.0026727304552654238,0.0010216478993773934,0.0,0.0,0.003408714824119613,0.0,0.0,0.0031125512139331926,0.0,0.010235427314431519,0.011438618842082351,0.012371592618924789,0.0,0.013095090082081581,0.0,0.0,0.0,0.0,0.0,0.0014192415914009305,0.0,0.00497501376122425,0.0,0.0,0.0034321555595989,0.00282110142614343,0.0,0.0,0.0,0.0,0.0
"Lysine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011746543004698445,0.0,0.12780258228540234,0.008197520824339498,0.0,0.0,0.0,0.0,0.0,0.0,0.0018474742275617069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003857281751533813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012190900632905005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004868227633943057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00721600921185638,0.0,0.0029714582815784526,0.004192758004839821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methionine,g",0.00540824650667753,0.0,0.00434742393944276,0.0,0.0,0.0,0.003506799413005894,0.002113884201715168,0.0,0.0,0.005331099986356197,0.0,0.0,0.008197520824339504,0.17158066810940842,0.0,0.0,0.0,0.0,0.0,0.005106321477339757,0.0,0.0,0.0,0.0,0.0,0.0,0.008365133632689368,0.0,0.004557203385541697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006071693807357449,0.0,0.03831449073662683,0.0029010521965289167,0.0,0.0,0.0,0.0,0.0,0.0031310726720476163,0.0,0.0,0.005805831564543052,0.012804595302468443,0.0,0.0,0.0,0.0,0.0,0.0,0.0025361773117804232,0.0,0.0,0.0,0.0,0.0,0.1389828391681965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009799663739180902,0.002461459512999205,0.008519193070424553,0.004543567581733035,0.0025026900163290554,0.017249148477811393,0.0,0.027012371102301275,0.006698095419705179,0.0
"Phenylalanine,g",0.0030203371406447993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07376713971168442,0.0,0.0,0.0,0.0,0.0,0.0,0.01417648975820117,0.0,0.0,0.0,0.0,0.005652889080016645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027027481150881326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516585839517459,0.0,0.0,0.004709609925359609,0.014628250028182539,0.0,0.0,0.0,0.010391610276918213,0.021546339372713618,0.0,0.0,0.011466456003227645,0.0,0.007763465510800955,0.0,0.0,0.0,0.0,0.0,0.0
"Threonine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tryptophan,g",0.005025605926987755,0.0,0.0,0.0,0.0,0.00811037520272288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22998426899770985,0.0,0.0,0.0,0.004642004433452699,0.004277647372216642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012632201782413038,0.0,0.0,0.0,0.0,0.0,0.02677325438258063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012035342016490655,0.0,0.006970423495457237,0.0,0.0,0.0,0.0,0.0,0.005064392117411319,0.0,0.0,0.0,0.0,0.013829263596020724,0.0,0.00186655540309259,0.003303066070620156,0.0,0.0,0.0,0.0,0.0068147376857339214,0.0,0.05642454954006615,0.0,0.0,0.02958947570162668,0.0,0.0,0.0,0.02137581119917976,0.006685611909732828,0.0,0.0,0.0,0.0,0.026912048913714903,0.0,0.0,0.0
