,0
Start,0.5440522775536534
End,0.22776986386604833
"ME, kcal",0.09910371264543294
"NDF,g",0.026765061284715463
"ADF,g",0.027730337569910713
"NFC,g",0.2308596958826404
"Crude fiber,g",0.11102473998536247
"Starch,g",0.5628982852062812
"CP,g",0.603001321041396
"Arginine,g",0.046073852644502894
"Histidine,g",0.1721219551137355
"Isoleucine,g",0.6586310715771304
"Leucine,g",0.060003280101122075
"Lysine,g",0.1240860325606016
"Methionine,g",0.1803635332410376
"Phenylalanine,g",0.08808520583766985
"Threonine,g",0.0
"Tryptophan,g",0.2740116013982029
"Valine,g",0.04364597348814749
"Alanine,g",0.0
"Aspartic acid,g",0.12897319524564083
"Cystine,g",0.31035001707250204
"Met + Cys,g",0.8616504350008841
"Glutamic acid,g",0.12466569432981463
"Glycine,g",0.01388709303694442
"Proline,g",0.020969495619156873
"Serine,g",0.0
"Tyrosine,g",0.09401184550658104
"Phe + Tyr,g",0.0
"Ether extract,g",0.08131062835912804
"SFA,g",0.09349177286789422
"MUFA,g",0.10463259821456243
"PUFA,g",0.2578460278607716
"n-3 PUFA,g",0.2989714568343645
"n-6 PUFA,g",0.18796287121571326
"n-3:n-6 ratio,g",0.7113074604587228
"C14,g",0.0
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.17790449244275547
"C16:1,g",0.4118213832260355
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.2904402864762738
"C18:1,g",0.1840777953881347
"C18:2 cis n-6 LA,g",0.17957702140944876
"C18:3 cis n-3 ALA,g",0.11057731342273637
"C20:0,g",0.10561947242493619
"C20:1,g",0.12060190088474294
"C20:4n-6 ARA,g",0.16954548138861605
"C20:5n-3 EPA,g",0.04484883763482437
"C22:0,g",0.09418179930130617
"C22:1,g",0.45189985327420784
"C22:6n-3 DHA,g",0.2474361218049217
"C24:0,g",0.08763273094798618
"Ash,mg",0.23300512108945465
Vitamin A IU,0.20373351119044722
"beta-carotene,mg",0.22339646722149362
Vitamin D3 IU,0.13034505111180952
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.13690194370304853
Vitamin K mg,0.18180664711247022
AST ppm,0.12205689905476429
Thiamin mg,4.345064759377616
Riboflavin mg,0.0833714691482851
Niacin mg,4.471763060053642
Pantothenic acid mg,0.18383374149210832
Pyridoxine mg,0.04627620972484427
Biotin mg,2.2041214269648335
Folic acid mg,5.402415949131902
Vitamin B12 mg ,3.4069209196910353
Choline mg,0.12471589708046436
"Calcium,g",0.1707685781848766
"Total Phosphorus,g",0.8472221119707601
"Inorganic available P,g",0.611715775035918
Ca:P ratio,0.9331054812801398
"Na,g",0.2222965508119276
"Cl,g",0.5511345484242034
"K,g",0.40324072069997907
"Mg,g",0.8530548784692679
"S,mg",0.21158077761013108
Cu mg,0.4767827515013499
I mg,0.1818918262285906
"Fe,mg",0.13462238793271253
"Mn,mg",0.07559642306762883
"Se,mg",0.093292212246978
"Zn,mg",0.19980916280050195
