,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216941174584915e-05,0.0,0.0,0.0,0.0,4.167546384977076e-07,3.6779356665205055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7525167697085186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3554426567438065e-05,3.0238174621292646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010093676516988974,0.0,0.0,0.0,0.00011590190735576739,0.0,4.700658808316844e-05,0.0,0.0,5.878911718058805e-05,0.0,0.0,5.483186607353976e-05,3.2733408637935786e-06
"ME, kcal",0.0,0.0,0.0,0.002060914814703756,0.008116650442553183,0.004369356438699747,0.011604833993871428,0.008286676247721302,0.0039444581032913855,0.0074074061810912115,0.0054560790101822075,0.002293266482560145,0.0022913287340798265,0.008538312964834852,0.002349896029635769,0.002859621451727205,0.006773388667588418,0.002452063489025767,0.003981083065934612,0.003145870299468594,0.0037977801310075947,0.0059453389125369615,0.0065919850906754444,0.0006752099149040317,0.003111984190029473,0.0005244040424037822,0.005962399526591206,0.002182372205500752,0.0032305225734189234,0.004527113191288623,0.004850697474824439,0.0016762593000791885,0.01458643078589283,0.0035092764115609992,0.007860778376476094,0.00799428017780372,0.004390468704441179,0.0,0.0,0.01821410591439685,0.018297437459353846,0.0,0.0,0.02579360585523997,0.006692694638667435,0.011738696027042224,0.0018922889467713597,0.00829769722066571,0.0024899814832336645,0.0,0.0,0.009599689979307687,0.0,0.003988629789509571,0.0020150742786871436,0.004519710870726376,0.00228869950720512,0.008215626424663506,0.00778765477802139,0.0,0.013453963527810643,0.004861257216130724,0.0,0.007998033329794495,0.002131859295084522,0.01079771833046359,0.0043021326073144125,0.0008024281854676501,0.006124447383726946,0.0022275010406166435,0.0018958408348763924,0.001049890216741591,0.000832049208071617,0.00750123814887988,0.0008993707443989466,0.003705085510519275,0.004487604107100588,0.030764843054573714,0.006033710019668128,0.004588754233139883,0.007017831149398606,0.005031677398396925,0.024760596654200367,0.004286545530497902,0.004586015165184264,0.0029385530843599886,0.015124816605591831
"NDF,g",0.0,0.0,0.002060914814703756,0.0,0.001195291291405141,0.0020269596814002982,0.00024842577289376,0.001386979218044742,0.00068095310078629,0.002291580534627134,0.004789242918186899,0.00020639938777230915,0.00021754416840571493,0.0003052516548925044,0.019408500850301477,0.00016667151073131346,0.0003592375229690964,0.0025027540103453225,0.0001344899786893582,0.0014020325488367598,0.00023216578400440417,0.0012456118146813523,0.002395501148925478,0.00013554703187188932,9.07307391710148e-05,0.0006065063809083431,2.0081175292998e-05,0.001955688220931849,0.00040885144750744566,0.0005647761779690493,0.0020653368988513966,0.0010959321002981634,0.003717320098072281,0.004879449781054497,0.000828252163565121,0.0023291372634292925,0.0005610499318240016,0.0,0.0,0.017635237507230166,0.00579799981973369,0.0,0.0,0.0021377874368907843,0.0019407428223556765,0.0007648643038143015,0.0016261017151717677,0.0009356366355058023,0.0009468846781870205,0.0,0.0,0.0005936892739481469,0.0,0.00037141557005353454,0.0004861690571673161,0.0015938188321570233,6.885051266011719e-07,0.0007977592526998803,0.0016591631551948962,0.0,0.000378409840282011,0.0018395982888035746,0.0,0.0012769653443424663,0.00013384917875351905,0.0002942108842454383,0.0042191868249326575,0.0034869447123812634,0.0002125324519739783,3.351336718385847e-05,0.007103257541965827,0.00011943935025338656,0.002141735863638038,0.0015539219658478153,0.0002780122341008357,1.119180637706172e-05,0.0017396453240955498,0.0006829751348392026,0.0007686380238971429,0.006628316300674764,0.0016855085068557569,0.0012846922329351836,0.0006546268367334212,0.003069745590172527,0.0013521331666256004,0.00027952404029428523,0.00035251593493826734
"ADF,g",0.0,0.0,0.008116650442553183,0.001195291291405141,0.0,0.0012517148483105463,0.003194997611561007,0.0047729943362466495,0.0018148138893011134,0.0048047908862502604,0.0004954591180057659,0.0002487382480089448,0.00015301099473792533,0.005699339946089372,0.003873514290576587,0.0012679581496148327,0.0010570426632299328,0.002414129500590241,0.0010821739817379384,0.0009739263658886719,0.0006296193355486858,0.000644063325351097,0.002803590802549028,7.661793943089206e-05,0.0005669526138613955,0.0,0.0003796936014493469,0.0005816573142427884,0.00018080012351208457,0.0003371886126256473,0.0005274000617632089,0.0027932484357677053,0.006370230423468464,0.00031773724515000464,0.0005621456973980011,0.001152885452767149,0.009724318515170013,0.0,0.0,0.005730803039104954,0.0018534342869737672,0.0,0.0,0.009659692181079685,0.000550672657816459,0.0016950277793649218,0.005110824367828201,0.0023867477371909023,0.0014008505218624575,0.0,0.0,0.0002217105678744197,0.0,0.00043304339402450354,0.0004674744467190298,0.004893200885451516,0.0005757865851595286,0.0013083991393606144,0.00033108168530559135,0.0,0.00025734512324141693,0.00036466009719617005,0.0,0.0006531520094077779,0.00016522877737799697,0.0025647363360182134,0.00019342255081153726,0.0001103819323910986,0.028483768958307693,6.867098976039425e-05,0.0005448700285062192,0.0005164223751749913,0.0013053980037779408,0.0019276020208675178,0.009065051743684889,0.00047137015598027875,0.0012896921171184972,0.0014292117537904113,0.014151393396984218,0.0015767377248830663,0.002095336959292315,0.0008488566420727705,0.0012131113990786258,0.004205691389426835,0.0044990385182063905,0.0023103068562042636,0.004273714394766865
"NFC,g",0.0,0.0,0.004369356438699748,0.0020269596814002974,0.001251714848310547,0.0,0.00025053826195555254,0.0029921616174405593,0.0007986635154893245,0.0007951110069056072,0.0015561349193467656,0.0010812181609017159,0.0025107570782081706,0.017113734065110884,0.005530573421946506,0.0013015073922462415,0.0007259810680878579,0.0023135090126946436,0.0006084565502911485,0.0010070106046856922,0.00047171872812985614,0.0009375215096807928,0.0019850793782467614,0.002337339142591793,0.0027296142662556733,0.00047913884318479466,0.0005850162740467602,0.0022909447469734055,0.00045799842995016124,0.005490738618625839,0.0035836673729518482,0.009215699640098675,0.002215575421269181,0.036679247589748276,0.0011335459875485442,0.004533866015542975,0.0018806465612340615,0.0,0.0,0.002574498795172964,0.004178538874674854,0.0,0.0,0.0022693400052916208,0.00947486617577497,0.015827196431527853,0.0005866041679575627,0.0008095925328539383,0.0021451980931577416,0.0,0.0,0.0006653871954677526,0.0,0.0008067143017276131,0.0023703813825352695,0.006767126697249631,0.0061962074641712,0.0020147034734227316,0.0020260407670349362,0.0,0.004129140396971239,0.001232858239341546,0.0,0.0013174305757988993,0.0007390505791140412,0.0010047228832833171,4.750620921232075e-05,0.000555217251344107,0.0006828191849370311,4.176924123804335e-05,0.0004131233849204131,0.0003101925019034042,0.001078365518451905,0.0009199229647620698,0.0005501836581139927,0.0010541494634955715,0.004323387026905006,0.01013693053988021,0.0030041095911793325,0.0014783510258788242,0.0023505290590883137,0.003988611661632879,0.00866078910810632,0.0030252738611801088,0.0014673705310018854,0.0005466039626567789,0.0011454609746550477
"Crude fiber,g",0.0,0.0,0.011604833993871431,0.00024842577289376026,0.003194997611561004,0.00025053826195555275,0.0,0.0004544696593397811,0.0010813450360484843,0.003021815340122738,0.0032208306161871847,0.0008590687901251262,0.0008172582210892197,0.0019166078145827522,0.0017656899195802346,0.0012182637215411162,0.0058461731760262045,0.00028604856962460493,0.0016316900526975335,0.0024820787316372902,0.0015663165407771974,0.00024192986779175365,0.0031154769838675884,0.0009312749376092038,0.0009359040155812324,0.0008663924659761884,0.0013770251157380425,0.0004006945990643703,0.00019795528083928356,0.004623272350023297,0.0009630128999852856,0.0008428252953816124,6.517511473484023e-05,0.0004094484247091323,0.00394934736696142,0.0006419495617117825,0.0006792619727119811,0.0,0.0,0.011842239831712328,0.0013762175433545676,0.0,0.0,0.0012095394594910651,0.0006617430585294235,0.026266943604531315,0.0009098582069483614,0.00922490379968573,0.003450373718106277,0.0,0.0,0.0,0.0,0.00140289183450336,0.00021995173498840452,0.005488183542055844,0.00040923985276374085,0.0015622308833444843,0.00012104051102554642,0.0,0.0020031375537311034,0.005235980644343502,0.0,0.0008321730275625092,0.028028895859408154,0.0006495522094925967,0.004504128331632204,0.001580801570148263,0.0005910399726827375,0.0069204026126597025,8.792537498189383e-05,3.713838501432482e-06,0.0003487141138268405,0.001187245803013048,0.0007347601242309502,0.00023450782577148343,0.0010109867614027887,0.012432913054309309,0.0015258819565810843,0.005064603652600731,0.0005925598564044304,0.00034148656303657483,0.00406890758827421,0.005589254056842894,0.003313935658363392,0.0011021108791958482,0.0026065003670473295
"Starch,g",0.0,0.0,0.008286676247721298,0.001386979218044743,0.0047729943362466495,0.0029921616174405606,0.00045446965933978073,0.0,0.0014953790760617951,0.006891382575362385,0.0026294827609161324,0.0010881557694171328,0.0020639927696599197,0.0013444156355902539,0.002385756757376532,0.0011147822203826175,0.0025158959087884557,0.0008620206922858821,0.002194837046131081,0.001264964792699137,0.0012946730210307003,0.0009259554365983445,0.0044561860330830285,0.0026944819556538433,0.0019460265007788964,0.0007478207283809818,0.001191723142277672,0.001837977359924024,0.0002803292534111204,0.0014349911858256344,0.0026425637626961034,0.0027316584120042693,0.005202015485649997,0.0028676237349390763,0.0044832043978880335,0.003413162319111095,0.002846322613900999,0.0,0.0,0.0039508121461144675,0.0054097939889267204,0.0,0.0,0.002162561467714135,0.006815347093167064,0.005010621412214417,0.004031564889100032,0.0013306474541679746,0.001715333331646273,0.0,0.0,0.0014821058888031709,0.0,0.00059615689395526,0.0013396745802449733,0.001760119569433173,0.0016036749537333083,0.004568590935841067,0.0001068798398258058,0.0,0.020712259769279245,0.0006591291977311726,0.0,0.0059542414663368275,0.0008731214909547922,0.002566485420657284,0.0017779611036866309,0.000589539080889207,0.001203801242449418,0.0009055857399576152,0.00018579698109828978,0.0005198933254491918,0.003229011470345389,0.0017227487500368927,0.0008040847112967939,0.0013848951453102822,0.0025927984365873157,0.0029375478780347543,0.001017525403312754,0.0010479827170983295,0.0008595332596543458,0.0066826332504260795,0.0029935864739658053,0.004156212391703465,0.0013739845670665963,0.001443200295370536,0.003654427955713009
"CP,g",0.0,0.0,0.003944458103291385,0.0006809531007862903,0.0018148138893011132,0.0007986635154893244,0.0010813450360484843,0.0014953790760617956,0.0,0.001256959444350432,0.0031197411558179407,0.001082606594800669,0.000636196110264288,0.000546381649271175,0.0020386121767033403,0.002395547303386474,0.0020025857192295816,0.0025031450716885124,0.0003187999818396535,0.0016097879855465945,0.004069796430578728,0.0005811371758438436,0.000903602048388318,0.0006244941479892922,0.004102321929229256,0.0010547891373363907,0.001180959075750942,0.00029853220443072225,0.0006074536440111112,0.0001850031848119589,0.00019791010402138038,0.0004168202405954112,0.0031935784984322827,0.0022842031388799963,0.0009228090914674105,0.0003383891250154241,0.0004997621720021714,0.0,0.0,0.0033254711094645372,0.019131263462353516,0.0,0.0,0.0012665833595000623,0.0037511780762607802,0.0017236522264722426,0.0015650026516800207,0.009308965060406458,0.001359537432030883,0.0,0.0,0.0008099468891565429,0.0,0.00016903293064454434,0.002915122443314559,0.009070018321652218,0.002032857350320175,0.0007973355892270945,0.00021995109429860427,0.0,0.0010632554719324564,0.0032157573755512816,0.0,0.0009716851856464135,0.0005583965947698869,0.0005954539289309498,0.0011869975672514396,0.0005868106278282529,0.0016854524097055694,0.00043670763471533405,0.000619207746165058,0.0012113339864340674,0.0012539897853373592,0.0006509138957177925,1.5975090822532622e-05,0.0003418478009150676,0.0009457463774273319,0.0052481846253379484,0.0009877292134239431,0.0021250634288386833,0.0009296779915938223,0.002338348152349323,0.00124999615063446,0.001244111706307565,0.0011949527386657288,0.001087166180578427,0.001097190854613427
"Arginine,g",0.0,0.0,0.007407406181091212,0.0022915805346271356,0.004804790886250264,0.0007951110069056067,0.0030218153401227383,0.0068913825753623825,0.0012569594443504336,0.0,0.003490443365467115,0.004525147105911194,0.008790828899404668,0.018146634291610824,0.002799658559301905,0.00027246414979127605,0.0033754629745812023,0.001130423509454193,0.0023788044999948936,0.004109115433620702,0.000769808936687272,0.0010346118420022682,0.0033578675401599524,0.001281928306998934,0.010798357501926675,0.0008178022324020124,0.008451378236745294,0.006078379209970014,0.0006985489517342591,0.002986960844183265,0.001404684832388132,0.0008450872744718846,0.005270229333532828,0.0027177852420362755,0.002681585936865195,0.0033359725274755923,0.015096352613947112,0.0,0.0,0.008947547576076192,0.0016250318596873533,0.0,0.0,0.006751493682764835,0.005160860077049454,0.014964766178023108,0.0043182034572824685,0.0021080519855063555,0.0012984394392327665,0.0,0.0,0.007326562525463212,0.0,0.0003658084244433643,0.007195203354061929,0.006727637126107183,0.004927987044019321,0.006315073021136403,0.017014786146763147,0.0,0.014324833600001297,0.001305643743881517,0.0,0.0019189383702014106,0.0008442208039130213,0.0020460463668762335,0.004210163745393988,0.001843397941407771,0.004075977576910056,0.003081629746786459,0.0023241314076310436,0.025626530849748815,0.0007268317885406506,0.002716674221371989,0.0002823086450939208,0.003760994701621475,0.0030361918574335505,0.01693222953854119,0.009219845481356065,0.0023819329193223173,0.0022338681120008695,0.0009684627462725482,0.006068931714372598,0.005570292962498963,0.004444579480975296,0.0018507239328752153,0.0007286095063640636
