,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.004579999475746709,0.024082484326791755,0.024771662526524452,0.024231701750140826,0.01040047413495747,0.020475789975486297,0.0021052809673254434,0.00623756523453668,0.02304175310180498,0.053358605577102425,0.013977557243334222,0.0007262314074600175,0.03485192303427972,0.02650091608444706,0.03241441428976487,0.012498556961994612,0.0,0.04650158976729398,0.023218399504265252,0.019723220790547433,0.024448425308384106,0.053253128718626246,0.007480752529008822,0.0017707374162389338,0.01922278597099729,0.019071335519901814,0.03574716095432353,0.00854955630137654,0.01229994101729985,0.00842498955313336,0.0006957522119037341,0.011577858812118022,0.05279694898021718,0.008063892362687156,0.0,0.0,0.078283372259062,0.01958971454050999,0.0,0.0,0.012791366388885375,0.008184268474303438,0.023918819568943546,0.0,0.01437041478740093,0.002743778576625907,0.0,0.0,0.021891239758952925,0.0,0.04968559264617719,0.01582696227717798,0.030949689845545938,0.011855847157247213,0.025928120138664777,0.014546113415379924,0.0,0.037483319690206164,0.0018023295570474905,0.0,0.005919151696257806,0.00614774338865169,0.03717198777199064,0.00727022468295862,0.008911802692217186,0.0037240789285602305,0.005923592275755783,0.008262098052889731,0.008907015464469672,0.025951259280676587,0.003188522661015763,0.004594405028337679,0.027118775254398535,0.005453782122516655,0.04129578593191229,0.06709718971357638,0.03651177189954991,0.010752803946892533,0.08559189992733839,0.02206224053589514,0.08671022038801736,0.0046045884557770825,0.00991277269439494,0.027619387001877323
"NDF,g",0.0,0.0,0.004579999475746707,0.0,0.07194562436170085,0.008382982127631776,0.0,0.0,0.014054531377549369,0.03528162107881,0.016188786605327,0.0013635865455636732,0.01702977332219777,0.04195275929513103,0.01673743633445777,0.030221473540769293,0.07361810171684893,0.04555240105094971,0.08441207332792892,0.0,0.043159828167486085,0.008689109258558154,0.016689639884694994,0.0840778255035021,0.00020288607079165481,0.0072393515022624155,0.012134702926052766,0.004632749633454702,0.0009493632241410032,0.01985668198017442,0.00523834480540723,0.0,0.011259140456250908,0.0027426411334440263,0.015253114391099725,0.0011110691370296156,0.16638342340459086,0.0,0.0,0.012872443240754696,0.007189026238091627,0.0,0.0,0.008359025423729705,0.008941189037816825,0.00781857659122733,0.012345883281709182,0.04227907642951798,0.0019856400210039394,0.0,0.0,0.0012955822576471454,0.0,0.07057590836407444,0.01712694287310821,0.03596753620412133,0.0012389079155320773,0.02023657326889784,0.014369364998617472,0.0,0.0831140236999841,0.031721162188267114,0.0,0.0019841655117953595,0.00560866423171285,0.008491427803831877,0.015315050504693421,0.004811519892377302,0.016668451092987077,0.00036894826107510806,0.003392368591488954,0.022099867321470786,0.014738456715088307,0.0,0.00328905248768235,0.03407723484034873,0.0016411498629792921,0.043827313081235615,0.07666990555691139,0.0,0.0003605804252687245,0.011525569541825272,0.015084072046021904,0.015914363292794487,0.008350653310918214,0.024698144340561015,0.02533276095312878
"ADF,g",0.0,0.0,0.024082484326791765,0.07194562436170084,0.0,0.00687593901251916,0.015354089954215682,0.008911743358081122,0.08037708494165449,0.18950020678827845,0.1610571908063076,0.03187521501568455,0.0860163047541504,0.11667863830265827,0.0031256735812443498,0.08498406163758135,0.014013773829848954,0.09767268626260725,0.009746394154715348,0.0,0.08985269855832657,0.04646494942830009,0.025566378533607596,0.1307265726847338,0.03798763214942172,0.028117837827087915,0.08944191409393586,0.05218189065799373,0.0037093028902954483,0.04613933849019934,0.0,0.011729486714767747,0.0014591829548145617,0.004998309484762058,0.009956784936081643,0.009290540005715645,0.07574355393179073,0.0,0.0,0.008069812667820041,0.013359733069808536,0.0,0.0,0.007929563670441573,0.007794443193492744,0.012725792546340257,0.008545304202336996,0.022431715120890795,0.024940776687374273,0.0,0.0,0.007690463159643449,0.0,0.07183640881269426,0.01579575718779129,0.03720124880774383,0.048397724896903555,0.03312103503923822,0.055626672746275606,0.0,0.01571606373868581,0.031526093950439746,0.0,0.0532370060327844,0.014354644946946781,0.00719593697043545,0.03792942883910662,4.436319631408815e-05,0.019135664086279515,0.008899211340553544,0.008432538898511052,0.07495698555521015,0.007778814444526601,0.0038605874312452972,0.1008159038351672,0.043509897882256364,0.02932904939726452,0.03417609243193879,0.11705001731131291,0.036852122630162513,0.0,0.015084014027078091,0.005194183157404948,0.006957103302978491,0.030033386113121865,0.01052350907785785,0.002422269404876
"NFC,g",0.0,0.0,0.024771662526524452,0.008382982127631776,0.00687593901251916,0.0,0.0,0.007218817156225397,0.01811996864474318,0.015789606784773428,0.024545003681803755,0.0018754102393990434,0.024017748004169524,0.027087809393232982,0.00665579142520068,0.01588823205668057,0.014514951102810775,0.03664536182627321,0.0007273693717794055,0.011168671858528387,0.013206004892126746,0.0034168704910810133,0.0014428884256312302,0.009641794756206492,0.00985407518266891,0.0013487427881464606,0.016452123650991742,0.01223908996874838,0.007684032047112965,0.020938403997118316,0.011205773986974515,0.000816611824518462,0.002481830232431248,0.11836808869196407,0.12386034169213599,0.04604751167065591,0.007753574303704452,0.0,0.0,0.015573837085074609,0.011559232910987028,0.0,0.0,0.009112889476063665,0.024340570829844338,0.01374384400410372,0.004943891894740882,0.023991683572181757,0.007573955446256669,0.0,0.0,0.025315535252403897,0.0,0.06957580624985389,0.0028685633734222304,0.04290065663518378,0.0004445825907413761,0.029599470042399077,0.006529433213279559,0.0,0.0281607556658295,0.004322692533491311,0.0,0.029530680784640502,0.031084314642640987,0.0016602544344192591,0.025094276342777295,0.01840158456928701,0.000662555321820779,0.008040664452623145,0.006919312868451769,0.007820648432982273,0.03367937576875851,0.0022004006207419734,0.003386154337125925,0.10102192854209018,0.011659814207126987,0.024952984254393542,0.025430148849335334,0.001703353422844816,0.01887236578850565,0.0038434470165786888,0.015898814179074655,0.02995813706038748,0.002331635295328472,0.002216913933737586,0.005718195483862367
"Crude fiber,g",0.0,0.0,0.02423170175014083,0.0,0.015354089954215677,0.0,0.0,0.004101347795918761,0.11495818026817937,0.10306037331411612,0.02642911729445413,0.2077372861741159,0.007973518386921084,0.14041708281220872,0.006117064832933821,0.07428482869102812,0.026870047492409753,0.23344804468432867,0.14487950066421137,0.013838289045813397,0.23491173569718232,0.013343311530192286,0.023083295994826298,0.09710351758217883,0.013523948104759879,0.02243374977247908,0.0674386356471033,0.0864525798224292,0.051920209365259325,0.03371979844409728,0.029591018672291945,0.014481854810263642,0.0,0.01966027544689367,0.0157219860724417,0.020719982256810317,0.0009578385014535333,0.0,0.0,0.001585996073548566,0.024774650521910458,0.0,0.0,0.0230859122153022,0.035047058732403075,0.01658087962821754,0.0026808775462159474,0.031244962161356287,0.03091925734261441,0.0,0.0,0.005257290121026454,0.0,0.04276764170416907,0.03501209842501354,0.05289223585806926,0.024512729713088335,0.026216809375268546,0.03230470642056551,0.0,0.009024092285654768,0.015344657160093375,0.0,0.024824308597683167,0.0,0.0009203648234261425,0.012137488526603095,0.0,0.001246480014800159,0.02318241941596705,0.036325848767553334,0.013863687782459222,0.038477332613733414,0.011152990861237973,0.008882106833121113,0.05814585623906662,0.014657120733667282,0.05246894154454494,0.02155182155136269,0.012290526765181836,0.0916923147283466,0.0007926008808511896,0.02295804810830942,0.021009692825343283,0.002103058744722751,0.09732812098652903,0.02554360855225904
"Starch,g",0.0,0.0,0.010400474134957469,0.0,0.008911743358081129,0.007218817156225398,0.0041013477959187606,0.0,0.0021096041263562043,0.011876328980061215,0.030788259397376467,0.004551873518413182,0.0,0.006339140732100287,0.00025744356515297584,0.00014135289600036182,0.006730265749997282,0.008213580629011352,0.0019732969904845566,0.0,0.00955411881222154,0.02721087414371851,0.014372156388437259,0.007851277295930813,0.004494519057483425,0.007481816170054554,0.007808928633134248,0.006147190104830177,0.00037672533247562153,0.0401925725458514,0.0,0.025355972498590697,0.014853896184645022,0.0049072794373720904,0.005373213900858701,0.0,0.001526017787416762,0.0,0.0,0.008956721758121665,0.051499540498767093,0.0,0.0,0.0024822103175738304,0.037932300788464636,0.05087513255361273,0.004763705777387524,0.007917561956558404,0.002382415195199314,0.0,0.0,0.022577964520470426,0.0,0.06225767235264704,0.008498951036773804,0.031163993119442294,0.000695255337884633,0.03470901197861311,0.003131868544184833,0.0,0.007269601522654426,0.0038342316225289078,0.0,0.0,0.0,0.0,0.0,0.0008817329329458731,0.0005279674267574179,0.0032503922400411263,0.0026104940704612407,0.0014385310071876414,0.018443481345389437,0.0004762055018997955,0.017975075633851974,0.05739925720743989,0.0004869835987048585,0.013287749403110335,0.01549917600162834,0.006972258100007876,0.0,0.0,0.005675346326587072,0.02115110687214198,0.013140802612299322,0.0080666169174315,0.0025374570127647943
"CP,g",0.0,0.0,0.02047578997548629,0.014054531377549367,0.08037708494165449,0.01811996864474318,0.11495818026817937,0.0021096041263562047,0.0,0.010033766619498662,0.032635561564880504,0.02866512145476091,0.15968027200348395,0.06278799366880555,0.006775343905500148,0.03933577946441063,0.04180379618893023,0.0707579920838057,0.17697121288393058,0.00072659613169058,0.03634065135967197,0.024453160641881033,0.02949995701820109,0.006479084118754308,0.09416512789307742,0.020391136805438602,0.06297231957171144,0.04923162485423216,0.011309566332481277,0.008090380724397932,0.002147042430857481,0.0018418321532152984,0.009214989093286458,0.010602660753876968,0.026624801979859745,0.04307875044485203,0.04898765045127678,0.0,0.0,0.04411699322137015,0.060444823612365486,0.0,0.0,0.008173846933592539,0.08614304576993742,0.08383332184154414,0.03157500296773737,0.05954863462882822,0.01993790441230638,0.0,0.0,0.07306932811066326,0.0,0.08331153415037314,0.001260021041602276,0.07743774929794335,0.006644709504448936,0.044091218069937384,0.004491343720570792,0.0,0.016395901961095076,0.0,0.0,0.007169027165626662,0.01718583891659048,0.015410935740305536,0.033152588842178546,0.03898048516842258,0.0695660798910014,0.09300931117981233,0.01069041326754677,0.017604051962090413,0.02139165799605008,0.0011807308054405997,0.04498835184858333,0.09114121820379938,0.019271337817162632,0.05736950220483305,0.0088480304673491,0.0031189871768109597,0.05026837235136425,0.014799174786868874,0.038969268865122364,0.04086401214569549,0.020320796540431372,0.01564259811350205,0.050194370629464934
"Arginine,g",0.0,0.0,0.002105280967325442,0.03528162107880999,0.1895002067882785,0.015789606784773428,0.10306037331411615,0.011876328980061223,0.01003376661949867,0.0,0.020610311477316047,0.032311434501398326,0.04954156780227808,0.07078161303556886,0.0013754468894749683,0.044915864101391645,0.06615398407320953,0.0834184770127331,0.0010015465063189701,0.09842203456261778,0.04823328891466047,0.007782522736629211,0.11116189656593073,0.06222831324626439,0.07710914466464393,0.11470974175524078,0.11629985789724127,0.035588862468979014,0.05111780302948317,0.0899810522717353,0.010510219270004765,0.0037102120778099257,0.020423520099711726,0.0184264263451154,0.0024372314021760566,0.010643172533859307,0.010966731501760479,0.0,0.0,0.032080671787338554,0.045753166738051396,0.0,0.0,0.02672195057990226,0.01643098186381628,0.08249607908973464,0.11070472061982906,0.09066112656556338,0.03408968555718647,0.0,0.0,0.04783996060486145,0.0,0.15284741297687873,0.011919011460279549,0.07737296538320727,0.02240764543171876,0.07453812914074916,0.007913926478170824,0.0,0.04329131472895572,0.07114727600026778,0.0,0.03144798652967715,0.044404836753183186,0.0398165258916571,0.059287441672,0.04991224416822305,0.06236462044432637,0.02611551504538145,0.015108108958660226,0.04883629086444194,0.09405159649781557,0.026229964017584727,0.001978198139155378,0.032232499218828765,0.030261477955939645,0.055134439770523555,0.0033477186156817365,0.0032365663932268657,0.07275484680722646,0.06287267058172523,0.04445417821916538,0.10928430616083144,0.07546245279870598,0.01837004058855247,0.026790512706358526
