,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.004203186322597696,0.025347592339937886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004933511285241473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019980373230291767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011462052971182439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007156906200378952,0.0,0.0,0.0,0.0,0.013764291072694657,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000582722830729172,0.0,0.0,0.000277753934895835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699292734515482,0.0,0.0,0.0,0.02199599792369457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01415385903246104,0.0,0.0,0.029548005576776157,0.009386572457855687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000342023149588387,0.0,0.0,0.0,0.0,0.0,0.0048411486497544195,0.0,0.0,0.0,0.0,0.0013405946741844282,0.0,0.0,0.0,0.0,0.0,0.0,0.12550045238125948,0.0,0.0005909787567708435,0.0,0.0,0.0,0.020802994497863242,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028899416554687564,0.0004942247315625286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024514060356770798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009208811966471364,0.04408815952158823,0.0,0.0,0.0,0.0,0.0015585416666666768,0.0,0.0,0.0,0.0,0.01425533998249042,0.0,0.020502368940661788,0.0,0.0,0.0,0.0,0.0,0.0,0.00985155723466849,0.0,0.0,0.0,0.0,0.0,0.0,0.013288374132812522,0.0,0.0,0.0,0.0,0.0,0.0025054427900390547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12001751633955654,0.0018045417639867278,0.0,0.0,0.0,0.0,0.033819728606322264,0.0,0.0,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.004203186322597686,0.0,0.0,0.0,0.0,0.012714252700621848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016936537037037052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024546851851851856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002891848950966271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068432962962962935,0.0,0.0,0.0,0.0,0.0,0.02635492786125928,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.02534759233993791,0.0,0.000582722830729172,0.0,0.012714252700621861,0.0,0.0,0.00628307592859101,0.010976449784895783,0.0008242703481796858,0.0,0.04336451625548243,0.0,0.0,0.0,0.012302246136408951,0.0,0.008220026302943488,0.0024772544826125974,0.0,0.032181484246132826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19793983149719493,0.0,0.0,0.0,0.0,0.016065627500000082,0.009758831556391446,0.0,0.0,0.0,0.034526188034192926,0.0,0.0,0.0,0.026849320268850705,0.0,0.0,0.011304255893250684,0.03754415852071052,0.0,0.0,0.006235774128948047,0.0,0.0,0.0,0.006334723243513591,0.0,0.03985432674618087,0.022388704690630833,0.0,0.0,0.007867459068428676,0.0,0.0,0.007585043760875562,0.0,0.003583621001817164,0.0005890225447283521,0.0036125354810897462,0.0,0.0,0.011249044220733808,0.0,0.0,0.0,0.26640264263477964,0.021231768078962952,0.07519399396348686,0.0,0.02555072146298724,0.0,0.11495624864430484,0.0,0.020717979329904213,0.005481881011036622,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012483061913368542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021852624044829478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006283075928591015,0.0,0.0,0.0,0.0,0.0,0.041413468632459566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003068885279605259,0.0,0.0,0.0,0.0,0.0,0.0,0.012028014399416661,0.02343576728466305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009132573099415207,0.0,0.0,0.0,0.0,0.0,0.0,0.0034013157894736655,0.10123319423687072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
