,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04268431575638197,0.0,0.0,0.0,0.0,0.0,0.044829666775989784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019139398291714585,0.0,0.038824621256502836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.2016496188076398,0.02382320979595336,0.0,0.0,0.0,0.012926481917528555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727832389280478,0.048082425251350445,0.0,0.0,0.07455519691745655,0.0,0.0,0.0,0.0,0.002919662386169756,0.0,0.4444570301138753,0.0,0.0,0.0,0.0,0.0,0.0,0.13179298865393163,0.0,0.0,0.0,0.06489019188128356,0.002571906923618226,0.0,0.1203544323187938,0.0,0.06244175575579329,0.0,0.0,0.0,0.0,0.05845287319087682,0.0,0.0018897222364649222,0.0,0.610138564901672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025131589106781246,0.0,0.0,0.09169376848126269,0.0,0.0,0.08269061178145086,0.0,0.021726423729178677,0.03213714971150363,0.039141884006241745,0.0,0.007765248855400127,0.0,0.07080550605073002,0.0,0.053026534165357096,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012291741399530367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06435600054079682,0.00035011861426293805,0.013575351608284308,0.0,0.0,0.0010097658967991986,0.0,0.0,0.0,0.0,0.0023300610062064247,0.0,0.03778083150690662,0.0,0.0,0.014646387933313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011987932592362867,0.0,0.007911050257534682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025198616719261782,0.005454268583623694,0.0,0.0,0.0,0.0,0.0,0.0,0.002965404823867326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03242483803573152,0.14079222430190835,0.06665593637204528,0.0,0.0,0.0,0.0,0.043880434154801244,0.01475219314929485,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025628797326217142,0.0,0.057916303703372425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030086487850626152,0.0,0.0,0.06352743738680316,0.03185384751690925,0.04996825931297458,0.0,0.0,0.0,0.0010829408758382092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06480447694633346,0.0,0.0661449329592031,0.0,0.0,0.11663918421205564,0.0,0.0,0.0,0.0,0.02311526980566598,0.0,0.0,0.0,0.089661456089221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011386868269858847,0.0,0.0,0.0,0.0,0.0,0.0,0.007942915212643021,0.0,0.005611725702436165,0.01610694512148137,0.1804896964469474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08675881520619651,0.0,0.0,0.11112277683366206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03144194970183208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06645254441198195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053864879106884866,0.0,0.0,0.006693248470833908,0.0,0.0,0.0,0.0,0.0,0.0,0.042633747653318566,0.0,0.0,0.0,0.0,0.11015703561916686,0.053221904999999986,0.0,0.0,0.0
"Crude fiber,g",0.0,0.0,0.20164961880763982,0.0,0.0,0.0,0.0,0.021529073795010293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495622284507221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10335462535603758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002697634358974362,0.0,0.0,0.0,0.048260753360605244,0.0005578857827839533,0.0,0.0,0.0,0.004174905346774188,0.0,0.0,0.0,0.0,0.0,0.0,0.002322937760368774,0.0,0.21707289048134853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014789630985881626,0.0,0.04278493417443874,0.01568833399037648,0.0,0.0,0.0,0.0,0.001883479372161087,0.0,0.0031855061044309954,0.0
"Starch,g",0.0,0.0,0.023823209795953353,0.0,0.0,0.0,0.02152907379501029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04067535694818091,0.04330772288006781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010609822542244941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021866388269265524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11500691951817063,0.0,0.0997698527649532,0.0,0.1754996181207384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003156607095391196,0.1483052087142234,0.0,0.0,0.01867694116066655,0.05184447337319976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.012291741399530367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004175565201722757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010850054038634475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027863326309480033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04638502996617939,0.01261996052873332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004132376543209885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002454278405750629,0.0,0.0,0.0,0.0024979312001692957,0.0,0.0,0.0,0.0,0.0,0.01182420784508925,0.0,0.0,0.0,0.0,0.011503845045695037,0.0,0.0,0.003925660592744393,0.012855403105125321,0.0,0.0,0.0,0.0,0.0,0.0,0.013765821368248336,0.0,0.16450776845137088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09312532095700407,0.0,0.0,0.0,0.0,0.0,0.0,0.005981582571905612,0.0,0.008711364424740168,0.007687859506389558,0.0018652368477125167,0.0,0.0,0.00778127152662984,0.0,0.08642198264201485,0.0,0.0,0.0
