,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.00010975156316767741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9553049426835446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438989480482026e-05,0.0,0.00019566804368608442,0.00039184482245416665,0.0003181200385121091,0.0,0.000508288058427696,0.0,0.0,0.0,0.0,0.0,0.00026691874330928976,0.0,0.0,0.00024321779199073764,0.0,7.68551583545563e-05,0.00011181899645565492,0.0,0.00020662983786288032,0.0,0.0,5.776192103455843e-05,0.0,0.0,0.0,0.0,0.0,0.0004626981014829003,1.2538788408750799e-05,0.0,0.00026421114612065495,0.0,0.0,2.520790691429808e-05,0.0,0.0,9.65322671796394e-05,0.0,0.0,0.0002246360045192294,0.0,2.9927707618509503e-05,0.0,0.0009118969150362904,0.00019776249565978373,0.0,0.0,6.367236392803268e-05,0.00015352961289968815,0.0,2.5726722662847644e-05,0.0,0.00045231841098991935,8.797348240580682e-05,0.0,0.0,0.0
End,0.0,0.0,0.00412297028461395,0.010163740553430427,0.015380233397698947,0.004016126746301865,0.009922950097691095,0.00028277727156237806,0.010719396021819249,0.0013430598851597157,0.01420409145747283,0.006654990580706808,0.0027249964010534994,0.036597510490288115,0.013075492456872867,0.0011336260591813306,0.004531236474151391,0.030496591952620083,0.002282352905440607,0.002713363518228517,0.004286760107852059,0.006164430236143202,0.008215119434379201,0.0003681311126776256,0.009881874404867316,0.0,0.0025294461474807185,0.008125372029497445,0.007361761751793882,0.008032141084063193,0.002183879042000365,0.014027264474489832,0.015915517590340437,0.01087259428864181,0.015831318855681314,0.031654857208138716,0.0029126627555991704,0.0,0.0,0.004790655748442407,0.007422114097558266,0.0,0.0,0.01232243472866322,0.005957991459817893,0.006274658763754642,0.02635049001757901,0.002044407050567103,0.005356927925880552,0.0072946036015123505,0.0009239425508626458,0.0022384680888305653,0.0023977819029879933,0.03434119017437765,0.0,0.009564595584043403,0.004603730287144051,0.08061796566581171,0.01744783059804556,0.0,0.01647850936372266,0.0020629492951636215,0.001960470437319184,0.0052869839330309774,0.002692052076637855,0.013979569809506645,0.00785958196744684,0.012492563998429022,0.006476111771576067,0.004976849701803147,0.014806444013067051,0.013826999583485855,0.017121881361951058,0.0034874967876320647,0.019427876294858107,0.00816347272976785,0.023088965738235344,0.0049361187854171165,0.012449381659690334,0.010833055073762405,0.005764743199012507,0.006262502771412252,0.004501968220571266,0.02221011778259734,0.026065852708530343,0.0094429651131457,0.0039810830679685785
"ME, kcal",0.00010975156316767748,0.004122970284613946,0.0,0.0018489474657306243,0.018587869912413894,0.015076054840208982,0.0017874808534291888,0.003967415812897645,0.006762407240341759,0.005956754136118074,0.008912928627172472,0.006081997713572688,0.007010692081106606,0.008634665816089682,0.017484361629561688,0.011033287807205746,0.005925911071985594,0.010835841408275525,0.006644939184731494,0.007509641534027113,0.002894918966486528,0.006265359401802229,0.0071731737498390725,0.004730351318194038,0.0033423899827478365,0.002536495897769425,0.0027626295662909364,0.0017546176634564048,0.006388375722737167,0.008120664305498437,0.00864415626128797,0.008347552980389871,0.006744356191289027,0.0145246317951067,0.00519055072494007,0.007598784097760005,0.003935088393295892,0.0,0.0,0.01268904466655496,0.01634814606328059,0.0,0.0,0.01547667991091641,0.008689896108185219,0.012838970338154008,0.0105697943872028,0.007239488397946659,0.004631821993872712,0.004376005888841063,0.0021214417289780563,0.004588279056208138,0.002032766971725736,0.00652408093792473,0.006208765947933309,0.02076316473788422,0.014114300237512398,0.014731759209956199,0.025381244226263585,0.0,0.006679245472409222,0.03383206504061701,0.016403753266283468,0.005617171212187596,0.00668276231083243,0.01755761909472628,0.010247805069497462,0.002459927643582959,0.0046647600537403034,0.008387063504505526,0.008849967902190378,0.011936324046844084,0.012745879434586771,0.003034510394742087,0.022648260878018227,0.0269750310745615,0.01635909398442326,0.006913759736377218,0.0033750590468840606,0.011956916062228764,0.012146762378046003,0.004502323393052975,0.019745291881800273,0.008605385520825964,0.014422272183504295,0.02243923920797074,0.00519641080069962
"NDF,g",0.0,0.010163740553430431,0.0018489474657306239,0.0,0.020738514616519304,0.0018173590329866787,0.0,0.0005415961758240478,0.005178771484970515,0.006037930664462112,0.009122732524587339,0.014114613488013706,0.003425464361880461,0.010356610714750447,0.01202964593395084,0.006275745638168014,0.006565629830111581,0.02873567350613245,0.003951287595513464,0.004767356451556937,0.002082216260337438,0.03218713423093276,0.004980399619768902,0.006639082867194262,0.005526683995668618,0.0007580549219642722,0.014306944777639795,0.005006771422315937,0.008070968892927534,0.021331889889080503,0.008387737588511919,0.004902222520252695,0.009577825162415263,0.006946016322930105,0.00717941875984278,0.004593862236394602,0.016680069568523404,0.0,0.0,0.005633334303110914,0.00890411173996438,0.0,0.0,0.004590214165668946,0.00858433089350693,0.013952414083219887,0.012932590938066094,0.006774133959098476,0.0021438462599680528,0.007223794232537514,0.004392258856071145,0.005148228165130977,0.0019198891444517957,0.011950171782688155,0.00907165451698195,0.015300084014536508,0.017707714814843185,0.01552874742073564,0.018591503050267907,0.0,0.01294021548679466,0.0043150390681720475,0.0014119276761722628,0.010847467081115376,0.002227842919196655,0.01657955802111995,0.0066476039711924366,0.0042334534784188105,0.005277764101652775,0.009446564156342478,0.023458147557115512,0.005630931852178604,0.006575199189180869,0.006477288712219642,0.011708632895735246,0.007645818372231851,0.0071411957794674285,0.007165041293232223,0.0038284557293024254,0.007821778624934732,0.012515322070545265,0.00718652921850714,0.013522310206178932,0.015141770684149528,0.01887712677041446,0.009542891782474444,0.017472121779203036
"ADF,g",0.0,0.015380233397698954,0.01858786991241389,0.02073851461651931,0.0,0.002848712294660243,0.0008216136648702739,0.0149782266001742,0.005749128545564044,0.013711399183060906,0.006010891229959668,0.0050830195719220725,0.015484455121278537,0.017825177557572985,0.019109672850453986,0.010705814901994458,0.01274422123136398,0.01768442258418943,0.018129495974892756,0.009527623206975614,0.004985501784361433,0.020809334171982066,0.004546806639977325,0.006630412120080169,0.00343067908459023,0.003461109956465754,0.02154123382425078,0.0028320569482207653,0.004909806471938763,0.006674888340711254,0.008640508751442984,0.0098781586976493,0.010847117057205253,0.03202431429996549,0.013350924199980881,0.01494446749813131,0.01325729251533492,0.0,0.0,0.004564308285414698,0.013608315433328366,0.0,0.0,0.033691436950017126,0.009239524936180125,0.006664939807315367,0.016234300147485857,0.006536090349196847,0.00162201096006816,0.011108486158501346,0.0005424092014023466,0.003239224167887056,0.012716712561638335,0.008835213085453418,0.0027314998502163805,0.03513670893235558,0.01383651467235497,0.027468051443910305,0.004069123131417173,0.0,0.0508913798900148,0.005982461617977321,0.010133546760033519,0.028908850334804052,0.02696982849286888,0.019903397406352816,0.005979725544680726,0.0030735706945060797,0.011877065291249489,0.003541664835942498,0.020679625169121637,0.0038664454785176956,0.015305681161258598,0.005253362860758068,0.026748042002565815,0.02118706235479239,0.010294210597409762,0.0053627217465559585,0.016906416969344206,0.007048301889079193,0.00404621702558028,0.010829141990124354,0.008350926579519368,0.016264085815796792,0.019558352980865182,0.01313145441858374,0.007871641919623612
"NFC,g",0.0,0.004016126746301865,0.015076054840208984,0.001817359032986677,0.002848712294660251,0.0,0.00247851610028341,0.004127169706637913,0.003718419360243884,0.025562381773565655,0.012773696122892699,0.002698056059043316,0.011751582774025536,0.013587336575900172,0.011927649407461527,0.023744876814397475,0.002736639435718414,0.03382624929044055,0.017252545914856476,0.001692314619874515,0.0032902063298749433,0.008276217489906028,0.0019391090120460077,0.004722232664487464,0.0060553340601435,0.0029949316553018568,0.0038916916023657077,0.0016028770334316459,0.00564421342608618,0.003978341473810663,0.00971737928235764,0.004603485632245193,0.0018673338533502586,0.0022964306326714178,0.0037669713323837725,0.010349690938173941,0.005031283937365707,0.0,0.0,0.0030291606200648353,0.0016285178953813863,0.0,0.0,0.009628620192916637,0.009432734699430692,0.014296981905642095,0.005162864685650917,0.005183078887774922,0.003250269221593514,0.003221450008775744,0.009854204991408703,0.0064185836060025305,0.0023318762790807287,0.008868154141983912,0.02123092841674468,0.011164232502062936,0.007411047392082617,0.018229653617076257,0.010649932404963975,0.0,0.014012716539528201,0.0011265279966127689,0.005674486958423938,0.0037550086483552005,0.012882937606452186,0.0026525467634458556,0.013258121894080321,0.005572192292670068,0.004757299178257073,0.008991558879507776,0.010190190252119851,0.006742225286854459,0.006093076502723007,0.0023508303157550076,0.004254158363453213,0.0074375642001800295,0.0035455354162900036,0.009222729623485346,0.025300623468706686,0.01133618180856865,0.012715785152527043,0.0171171747721692,0.008126042765239861,0.007978621078456748,0.007592223991620349,0.00756470908954391,0.005448698930389961
"Crude fiber,g",0.0,0.009922950097691096,0.001787480853429189,0.0,0.000821613664870274,0.00247851610028341,0.0,0.008100525206580353,0.003099441546002866,0.003406311519571723,0.012424986981444862,0.0014015764969896108,0.008921231694076643,0.01599873965158895,0.014357758607328753,0.003674900721522424,0.010072813546506661,0.016238893994864344,0.007443781808296766,0.003873394569775109,0.004399381751895044,0.0194346507637354,0.0016348650307632235,0.01389652170530068,0.024192162934134342,0.002183935947188548,0.0077364110418807926,0.0036792625617620453,0.005313093142949716,0.0031545149609976723,0.009456850729167842,0.004436821090394106,0.007113056568770098,0.00148376770734096,0.010378461554173164,0.004092627675245443,0.015400872898046529,0.0,0.0,0.004713055867158376,0.006261862817593023,0.0,0.0,0.015117684804766093,0.02826374410880811,0.009142196893692469,0.01333186095404953,0.00925091896180053,0.014712969485241853,0.002290451354748781,0.006652916324035304,0.0008828463909760193,0.002371533319335897,0.009454677239636155,0.005341302973295737,0.00947658507722167,0.031554636226413475,0.02110759505421497,0.005497387065235034,0.0,0.03542491030702364,0.002865813030748417,0.004235069542465833,0.016248973003079644,0.002857585093205864,0.02049067146466391,0.010287698887674548,0.007346175897563588,0.0014878473819820498,0.014213381506868671,0.011506227075519394,0.010805782656377624,0.013706798150732386,0.017888361793806165,0.010985708393990908,0.005713160340950113,0.0073103929991713106,0.00714024828529931,0.0038192830810825505,0.005851881364685223,0.01114344008939614,0.004960022298178057,0.007317430261270057,0.016622530849599047,0.00459777123266087,0.013623173445837126,0.005250798770730399
"Starch,g",0.0,0.00028277727156237795,0.003967415812897645,0.0005415961758240478,0.014978226600174206,0.0041271697066379105,0.008100525206580353,0.0,0.004420951788247374,0.006893515318992285,0.010173901939903566,0.003978360560787854,0.0051947139315802835,0.008267810717547727,0.012365891384324302,0.00531135157142389,0.0019465544468175873,0.015694809606400226,0.00673920416757284,0.00218805399133336,0.007320170341763693,0.00434704574416743,0.004905270544670943,0.0020457898122441627,0.004815836925886362,0.008908554933121886,0.004515457642277114,0.0038633879625760187,0.005688671085182139,0.013369702689655462,0.0017177782561461686,0.014349048732244995,0.005772854049897315,0.009417922291337382,0.00606426398211383,0.0079723625486683,0.017343452132265968,0.0,0.0,0.005504422762586253,0.0077530035932448765,0.0,0.0,0.007547137316223698,0.00584863897971182,0.017277588236953207,0.006490738591800851,0.012201709395310357,0.0038313563263291986,0.001294763090149949,0.005364030051648175,0.004296452651710556,0.004787159505216376,0.008905515544754881,0.010030562943676205,0.009844313126790098,0.004099041792828601,0.01570666705845676,0.007826948876569633,0.0,0.017312631338181447,0.0029382385027495383,0.0030207783321523954,0.012597634954343299,0.0012320055799510512,0.007281809840477192,0.020710046564951814,0.0029996804878296432,0.009579411257347225,0.01173789958297719,0.005220672235685579,0.018038737419323613,0.012422134918044777,0.004456361349162996,0.012482525407376996,0.004224405364181872,0.008815112867552781,0.011695379740290413,0.003848592227903997,0.017464507168619994,0.008451429634964239,0.025026442849730105,0.008795160026803108,0.0120861790711985,0.008669807979758522,0.01427877969268324,0.029683647035112313
"CP,g",0.0,0.010719396021819249,0.006762407240341759,0.0051787714849705156,0.005749128545564042,0.0037184193602438865,0.0030994415460028663,0.004420951788247375,0.0,0.0013086810167794928,0.006990033357705287,0.004159116661126281,0.030177246081283533,0.014114703410529153,0.005262842851199034,0.012103799847227247,0.0034799467539248265,0.010484098818279705,0.007404035626030415,0.009464083148252575,0.012641317461084848,0.00717516121925052,0.01559191618995187,0.007327228602958541,0.014687985663517557,0.008479664999325601,0.015781600782181004,0.0027754238268276146,0.005978912725346981,0.012119865683480903,0.003251021638553616,0.010193902398366114,0.004056506232828778,0.006539167315714899,0.004012340509820166,0.009232764745884147,0.005553789635103295,0.0,0.0,0.008878067393388131,0.0075210764579120935,0.0,0.0,0.008378734833047847,0.006806399292052467,0.01527610535174523,0.013454093198713664,0.008129715725182153,0.0028327609156284022,0.011469982615255519,0.0016177150794261766,0.0038059775513977078,0.003789152139807921,0.009095193816768926,0.0036946307538056147,0.007608032012136709,0.021229366722301923,0.033536173331402123,0.008250800505246717,0.0,0.03128900683305792,0.0076322206079376,0.015833499040079378,0.01818632781174904,0.006625712191888723,0.04187967315948801,0.01832011533565502,0.015905992949527974,0.011582165072591181,0.016249788682935664,0.01314758351253826,0.015701069811623586,0.02186502563408827,0.00871919805327471,0.012282828717044237,0.01189487624462581,0.014571501704313955,0.010034269096757252,0.011595547900605319,0.023023255241728744,0.012052696502501231,0.01081698554415448,0.01935485696168816,0.009630032821507904,0.014241387449382753,0.010442734398335225,0.01911794364264025
"Arginine,g",0.0,0.001343059885159715,0.005956754136118072,0.006037930664462111,0.01371139918306091,0.02556238177356565,0.0034063115195717207,0.006893515318992289,0.0013086810167794911,0.0,0.026746886235484695,0.016531719082280526,0.007376669660152673,0.020927761562518552,0.023190505256079474,0.00940438656075246,0.010877540772914784,0.018361849464347872,0.004769293616174296,0.0023459580937987014,0.0067665520060463105,0.004969252626746222,0.01202371757476113,0.014014309487243637,0.021122592558200586,0.02839695941006206,0.007107502088824436,0.005047470139489258,0.008673679302946767,0.022805465691993414,0.004503064080523714,0.009064252554612715,0.015457701602107889,0.007321612857666084,0.012976765439900359,0.010651500813125978,0.009350349180078935,0.0,0.0,0.006534834657623921,0.00545001747164819,0.0,0.0,0.020060525770606845,0.007492477273257428,0.02793747274904979,0.004089428047073103,0.012314848313774912,0.0011227540109366822,0.0060115584235503365,0.0033844717184010544,0.00624761902718303,0.009924871804699326,0.00795405536293248,0.005074970064595827,0.025140137607441562,0.01941837308956038,0.023260692924698574,0.027968247457008506,0.0,0.0499502744777753,0.007490090309938161,0.013605221777781505,0.00777489837016312,0.010954731798056425,0.034309297828951216,0.039369155516010314,0.020075307403832652,0.0036315386605854,0.025231408482240956,0.014258869608697041,0.01033492283812937,0.023527299424525458,0.00900640610823743,0.008136095428546694,0.008510409355105783,0.03177867100788687,0.019807455920724294,0.011290957572133149,0.011482852772543888,0.007221653703814208,0.015144218895170073,0.012877391275431823,0.023369128037254695,0.0028011609119332954,0.012136864199359984,0.030643251079140454
