,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03363869389976567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001846856812552906,0.0,0.0,0.0,0.0,0.0,0.0012744106646526468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030504095657703095,0.010150514125947486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009411032600511857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002928177478750518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004055735718031853,0.0,0.0024046734743468543,0.00010283466079417168,0.007434598800685933,0.0,0.020824493960983074,0.0,0.0,0.0,3.171399039680355e-05,0.0,0.0,0.0,0.0060918718023469,0.0,0.00014248169369102974,0.0,0.00857213440570054,0.0,0.0,0.0007810436718286043,0.015467220631903903,0.0,0.0,0.021304852150441575,0.0,0.0008720296727531762,0.00709168496170548,0.0,0.0,0.0,0.01191531165180971,0.0,0.0,0.0,0.016210332226003904,0.015721145267789678,0.03749561831791136,0.017831323308642018,0.0,0.0,0.0,0.0,0.01521630241718627,0.0,0.0,0.0027864248018367806,0.0,0.0,0.0024250457948452866,0.0008566345281514386,0.0,0.0035703821969619324,0.0,0.0,0.0,0.0,0.007548157310544908,0.0,0.0,0.0,0.0,0.0,0.013493131587833291,0.0,0.0018795700785470923,0.0,0.007262712834903579,0.0,0.006914391833172175,0.0,0.00034142533226169767,0.0002536660457947185,0.002752769145772445,0.0007998608842777928,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.0,0.0,0.0,0.0,0.013486048084119575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04674456628298153,0.0,0.0,0.0,0.0,0.0,0.0014350133762136915,0.0,0.0019735788125342948,0.0007817542767625873,0.0,0.0,0.0,0.0,0.0,0.0,0.05853587792836504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.354374925193244e-05,0.0,0.0,0.0,0.0012277096802114894,0.0,0.0005086545304905587,0.0001517792569520501,0.0,0.0031675684329696293,0.0,0.0,0.0,0.0,0.0009632787510528143,0.016276369307412386,0.0,0.00037405099487824235,0.03260786611600631,0.0,0.0,5.185971197707359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003461463804952929,0.0,0.0,0.0,0.00046472039395975084,0.0023258824786803528,0.0,0.0,0.0,0.0,0.0039011681844302168,0.0,0.0,0.0,0.0,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.0,0.013486048084119573,0.0,0.002519807037578694,0.0012447782434996876,0.0,0.0,0.0013625472855144137,0.0,0.0,0.03069289157189041,0.0,0.0,0.0006132861918455493,0.003144964478370634,0.0,0.002973315813268625,0.0,0.00047420295911649376,0.00083617017578373,0.0,0.002554637004456815,0.0,0.0,0.0,0.0,0.009437027469462556,0.0,0.0,0.0017014307604447552,0.003150965287580262,0.009643759098810767,0.0,0.0,0.0,0.0,0.004676273428497164,0.015683117443907164,0.0,0.0,0.005879954280175254,0.0009284060206829806,0.006689423133498965,0.0071149698176368546,0.0073435041633707855,0.0,0.0,0.0,0.0,0.0,0.05992641660086482,0.0,0.0,0.0,0.03604278220956859,0.0,0.0,0.0,0.0,0.0,0.008146985763180665,0.0013378870192208387,0.0,0.0,0.0030751529772543077,0.0,0.0,0.0,0.0,0.0,0.002292039314678007,0.00018207004524584843,0.04336583227678393,0.00025170219186340984,0.0,0.000163467821007722,0.0,0.0,0.0,0.0,0.0,2.5802462761573752e-05,0.005859312910491087,0.0005231539378188416
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0025198070375786934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00222459914826417,0.0,0.0,0.0,0.0,0.0,0.02621788425993263,0.0,0.0,0.003600420703406274,0.0,0.0,0.0,0.0,0.0,0.0,0.0027118403896132792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003180397008046048,0.002004567028967499,0.0,0.0,0.013862954166985441,0.0018230279189697975,0.0018915318272615875,0.002093327590339739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001379542856279672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Starch,g",0.0,0.0,0.0,0.0004055735718031852,0.0,0.001244778243499686,0.0,0.0,0.0,0.00026908246590788223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01950388659417828,0.0,0.0,0.0,0.0,0.0,0.0,0.004451793934941236,0.0,0.0,0.025002706962414977,0.0,0.0013425574956684708,0.0,0.0,0.0,0.0,0.0,0.005907083607150441,0.0,0.0,0.007786568296297059,0.07165371920187773,0.01626414526778721,0.02436644990896477,0.061216862921030624,0.0008066958960739081,0.0,0.0,0.00030506105312914575,0.0,0.0020682200967033527,0.005560097621892478,0.0,0.0,0.07093706414350504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004971295188874382,0.0,0.0,0.0,0.0,0.0,0.0,0.0380358589924846,0.0028890311097350707,0.0034002036607368316,0.0,0.00020682701243714645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06198186885746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090619338223818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02228519434382929,0.0,0.0,0.0,0.003110432623850845,0.005347137041354924,0.003907313774326711,0.006739482517935176,0.0006602913615445205,0.0,0.0,0.0,0.0,0.0,0.019739898520833337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017407694294047624,0.0,0.0,0.0,0.0,0.0,0.006176738454041665,0.0,0.0,0.0,0.0,0.0001308857074129281,0.0,0.039561492060810666,0.0,0.0,0.0,0.0,0.0,0.0,0.00023239940015808255,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.0024046734743468543,0.0,0.0,0.0,0.0002690824659078821,6.061981868857471e-05,0.0,0.009192155924514745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034061485922779623,0.0,0.0,0.0,0.0027722715019173894,0.0,0.0,0.019578587999096342,0.0,0.0,8.724878737219236e-05,0.004414245865586275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09712213917725933,0.05729353984291831,0.0,0.0,0.0032946517839216875,0.0011271735779193894,0.022801649743150947,0.10749360443159574,0.020983634576409234,0.0,0.0,0.0,0.0,0.0,0.009736688884550117,0.0,0.0,0.0,0.000803314228728683,0.0,0.0,0.0,0.0,0.0,0.0,0.044643477540379166,0.0,0.0,0.0031012695882038205,0.0,0.0,0.0006364733561953029,0.0,0.0,0.11210790269365922,0.0,0.004468199246062204,0.0,0.0,0.0,0.0,0.013321844991394657,0.0011288421724675705,0.0,0.0,0.01140837128367074,0.0,0.0
