,Start,End,"ME, kcal","NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg"
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
End,0.0,0.0,0.0,0.0,0.721260160872306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697709558341691,0.0,1.0004271011384227,1.1780719263155848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786299844923356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6276430474100874,0.0,0.0,0.0,1.5063520374832857,0.8866111377913889,0.0,0.0
"ME, kcal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2540729094060303,1.245420478038614,0.0,0.8996634449516852,2.3791562560517003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1110905829393276,1.3423220630693047,0.0,0.0,1.8561068975594504,0.0,0.0,0.0,0.0,0.0,0.69124473839519,0.0,0.0,1.1935128633851564,0.0,0.0,0.0,2.1096818653073366,0.0,0.0,0.0,2.222851869388351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0756676955689095,0.0,0.0,0.0,0.0,0.0,1.3672971126439495,2.0463702090764335,1.8625845171770044,0.0,0.0,1.5107662973261042,1.5049219473938005,2.4164203070613053,0.0,0.8943651714758311,0.0,0.0,0.0,0.0,1.653681549379068,0.0,2.468005846154096,0.0,0.7497913781650654,0.0,0.0,0.0,0.46730521878610537,1.0530440921897608,0.0,0.0,0.0
"NDF,g",0.0,0.0,0.0,0.0,0.0,0.6385632377192959,0.0,0.0,0.0,0.7938967905700677,0.0,0.0,1.2498131527801468,2.8321785233155166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9202563144182372,0.0,0.0,1.8107831918853714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.365165623680552,0.0,0.0,0.0,4.5336434548811955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7771939137342752,0.0,0.0,0.0,0.0,0.0,1.0402299215068322,0.0,0.0,0.0,0.0,0.0,0.5853247174794193,0.0,0.0,0.0,1.194724238793235,0.0,1.2117161911496717,1.0895549820855357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ADF,g",0.0,0.721260160872306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8969136990141463,0.0,0.0,0.0,0.0,0.0,0.0,0.6673842392451507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505843821958213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1727312446643787,1.8079157925543758,0.6692089893969866,1.233137991766069,1.5856939402645076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357925658203377,1.8363693343999763,0.0,0.0,1.4809459719710802,0.0,0.0,0.9006866649336994,0.0,0.9529894666098693,0.0,0.0,0.0,0.0,1.0295513807500658,0.0,2.198660118265383,0.6314292853079652,1.0175637663848713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666990868207212,2.38626828531344,1.1569140038194865,0.0,0.0
"NFC,g",0.0,0.0,0.0,0.6385632377192961,0.0,0.0,0.0,0.0,0.0,0.861330215925404,0.0,0.0,0.0,0.0,1.5175714679499324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616502030595745,0.0,0.0,0.0,1.486337154611676,0.0,0.0,0.0,0.0,0.0,0.8447771148906876,0.0,0.0,2.35119771312032,0.0,0.0,0.0,1.2539159747838693,3.557571345456394,0.0,0.7302257678567914,0.0,0.0,0.0,0.0,0.0,0.0,0.5650576040706833,0.0,0.0,0.0,0.0,2.7631022406339403,0.0,0.0,0.0,0.0,0.0,0.0,0.7535570650785797,0.0,0.0,1.1331779110067237,0.0,0.0,0.0,0.9702375617137504,0.0,0.0,0.0,2.5047485203681825,0.0,0.0,0.5175396003499017,0.0,0.671236625679422,1.898707499313464,0.0,0.4926551066187977,0.0,0.0
"Crude fiber,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9335540671259017,0.0,0.0,0.0,0.0,0.0,0.0,0.736334706729428,0.0,0.0,0.0,0.0,0.0,0.0,0.6792128170582651,0.0,0.7152233800123426,0.0,0.0,0.0,4.673950671726824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6407436216110658,0.0,1.276102128992872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7026958052110612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8852853240173666,0.0,0.0,0.0,1.2562968131065886,0.0,0.0,1.2273837124749523,0.0,0.0,0.0,0.0,1.1425303441346053,0.0,0.0,1.3671438729977754,0.7511200212062443,0.0
"Starch,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7131614204313448,0.0,0.0,0.7234430656135316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456477282655455,1.5662674847339642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814815008241542,1.6244154898468304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5823021335315223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283004505955064,0.0,1.1044307304003533,0.5888729567997093,0.0,0.0,0.0,1.9937436395828811,2.774682100782161,0.0,0.0,1.4344029750391771,0.0,0.0,0.0,1.1276820943049066,0.0,0.0,0.0,1.4936835141782046,1.5368527259037776,0.693292777310486
"CP,g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35023565909518795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7504430965983103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3307849800122828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8821356926936007,0.0,2.4890655850259678,0.0,0.0,0.0,0.0,0.4701761833873958,0.0,0.0,0.0,0.0,0.7504844454035351,0.0,0.0,0.0,0.0,1.191829380691117,0.0,1.9376015590408426,0.0,0.0,0.0
"Arginine,g",0.0,0.0,0.0,0.7938967905700676,0.0,0.861330215925404,0.0,0.0,0.0,0.0,1.1902414488299784,0.858105803901754,0.0,0.0,1.414955747047998,0.0,0.0,0.0,1.429637401176662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0365143802321457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5932605121186613,0.0,0.0,1.6057036407443994,1.5413459105605312,1.5959308214825605,1.6124404849676848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130025030848992,0.0,0.0,1.042251410775301,0.0,0.7753917810499092,0.0,1.1411182126339616,0.0,0.7850239347891471,0.0,1.082175197173683,1.9446593143589936,1.2034663992657562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2846652362276272,0.0,0.0,0.8836514902122834,1.6008489401294912,0.6488167285118511,0.7914621368569175
