pen,Start,End,Species,Study,Diet,average feed intake g per d,"average feed intake, g","ME, kcal",Overall,"NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:5,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU,"beta-carotene,mg",Vitamin D3 IU,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU,Vitamin K mg,AST ppm,Thiamin mg,Riboflavin mg,Niacin mg,Pantothenic acid mg,Pyridoxine mg,Biotin mg,Folic acid mg,Vitamin B12 mg ,Choline mg,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,g","Cl,g","K,g","Mg,g","S,mg",Cu mg,I mg,"Fe,mg","Mn,mg","Se,mg","Zn,mg",average feed intake g per d,"bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",pip mg per dL,tc mg per g,tg mg per g,trap U per L,uric acid mmol per L,BCA,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK,breast weight (g),breast PH,breast WHC,breast HARDNESS,breast SPRINGINESS,breast CHEWINESS,breast COHESIVENESS,breast GUMMINESS,breast RESILIENCE,Thigh Weight (g),thigh PH,thigh WHC,thigh HARDNESS,thigh SPRINGINESS,thigh CHEWINESS,liver weight(g),Plasma SFA,Plasma MUFA,Plasma PUFA,Plasma n-3,Plasma n-6,Plasma C16:0 ,Plasma C16:1 ,Plasma C18:0 ,Plasma C18:1 ,Plasma C18:2 ,Plasma C18:3 ,Plasma C20:5,Plasma C22:6,Liver SFA,Liver MUFA,Liver PUFA,Liver n-3,Liver n-6,Liver C16:00 ,Liver C16:1 ,Liver C18:0 ,Liver C18:1,Liver C18:2,Liver C18:3 ,Liver C20:5,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C16:0,Breast C16:01,Breast C18:0,Breast C18:01,Breast C18:2,Breast C18:3 ,Breast C20:4,Breast C20:5,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C16:0,Thigh C16:01,Thigh C18:0,Thigh C18:1,Thigh C18:2,Thigh C18:3,Thigh C20:4,Thigh C22:6
1,1,21,B,broiler chicken DHA,S Control,52.46,1416.42,4157.1927,0,119.4798145,43.65437601,707.4161108,33.88359074,450.3098271,325.7766,17.70525,4.95747,11.33136,16.99704,15.58062,7.0821,10.198224,11.33136,2.83284,12.74778,16.59332489,34.15892579,6.402794883,11.6297912,57.5606431,14.16036009,19.41461682,16.46804679,11.59587077,28.78021815,73.370556,5.63127967,9.127692251,17.1452691,0.319338263,13.71025609,304.6723575,0.11094669,0,0,4.0084686,0.11675181,0,0,0.4815828,4.8724848,11.1613896,0.637389,0.203239031,0.066503634,0,0,0.086625188,0,0,0,0.055351966,4670.167333,6444.711,6.82587E-05,637.389,0,10.62315,1.06514784,0,1.5155694,5.311575,21.529584,4.24926,5.3540676,0.21529584,0.53257392,0.00849852,2230.8615,0.014305842,0.011189718,6.37389,1.278481013,2.83284,4.94472222,14.0650506,2.74643838,3.67702632,16.99704,0.07507026,96.033276,42.775884,0.1274778,75.07026,52.46,39.45,244.91,1.666929755,2.840386695,391.0366625,89.45981555,68.661155,30.41043,,134.408476,,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062,,,,,,,,,,,,,,,,,,0.807,3.314,3.078,0.18,1.014,0.494,,,,,,,,,,,,,,,,,1.117160821,,0.972138548,,0.972138548,0.641679549,,0.475481272,,0.972138548,,,,12.68673201,1.112734504,4.443983658,0.368399685,4.443983658,7.035903428,1.112734504,5.650828586,,4.443983658,,,0.368399685,2.640825381,3.505930425,2.763903948,0.083441649,2.680462299,2.017698721,0.464723197,0.623126661,3.041207229,2.381139162,0.299323138,0.299323138,,,3.008072256,2.546334766,3.465216426,0.085531125,3.465216426,1.96,0.240337418,0.987540891,2.305997348,2.751597616,0.085531125,0.37604743,
2,1,21,B,broiler chicken DHA,S Control,52.821,1426.167,4185.800145,0,120.3020069,43.9547807,712.2841477,34.11675842,453.4086042,328.01841,17.8270875,4.9915845,11.409336,17.114004,15.687837,7.130835,10.2684024,11.409336,2.852334,12.835503,16.70751075,34.39398817,6.44685529,11.70982083,57.95674283,14.25780366,19.54821721,16.58137056,11.67566698,28.97826731,73.8754506,5.670030946,9.190503858,17.26325313,0.321535768,13.8046023,306.76894,0.11171017,0,0,4.03605261,0.11755523,0,0,0.48489678,4.90601448,11.23819596,0.64177515,0.204637607,0.066961274,0,0,0.087221294,0,0,0,0.055732866,4702.304779,6489.05985,6.87284E-05,641.77515,0,10.6962525,1.072477584,0,1.52599869,5.34812625,21.6777384,4.278501,5.39091126,0.216777384,0.536238792,0.008557002,2246.213025,0.014404287,0.011266719,6.4177515,1.278481013,2.852334,4.978748997,14.16183831,2.765337813,3.702329532,17.114004,0.075586851,96.6941226,43.0702434,0.12835503,75.586851,52.821,41.95,143.12,2.416055925,2.885096864,431.18115,88.4057971,64.6573575,18.5119,,226.050618,,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776,,,,,,,,,,,,,,,,,,0.629,2.703,2.361,0.147,1.011,0.454,,,,,,,,,,,,,,,,,1.172449427,,0.806079074,,0.806079074,0.547776896,,0.624672531,,0.806079074,,,,12.97645103,1.410142289,3.130470109,0.368399685,3.130470109,7.687537818,1.410142289,5.288913215,,3.130470109,,,0.368399685,2.294407061,2.376055293,2.746394952,0.076568787,2.669826165,1.675330733,0.217958342,0.619076328,2.158096951,2.324275428,0.345550737,0.345550737,,,2.858361394,3.307687571,2.989081767,0.080637985,2.908443782,2.064817707,0.507122744,0.793543687,2.800564827,2.496706967,0.080637985,0.411736815,
3,1,21,B,broiler chicken DHA,S Control,50.255,1356.885,3982.457475,0,114.457836,41.81949421,677.6819795,32.45939483,431.3823935,312.08355,16.9610625,4.7490975,10.85508,16.28262,14.925735,6.784425,9.769572,10.85508,2.71377,12.211965,15.89587385,32.72315699,6.133672452,11.14096753,55.14125274,13.56517148,18.59858117,15.77586145,11.10847285,27.57052732,70.286643,5.394585585,8.744036867,16.42461873,0.305915829,13.13398627,291.8663615,0.10628338,0,0,3.83998455,0.1118445,0,0,0.4613409,4.6676844,10.6922538,0.61059825,0.194696483,0.063708351,0,0,0.082984156,0,0,0,0.05302541,4473.870746,6173.82675,6.53896E-05,610.59825,0,10.1766375,1.02037752,0,1.45186695,5.08831875,20.624652,4.070655,5.1290253,0.20624652,0.51018876,0.00814131,2137.093875,0.013704539,0.010719392,6.1059825,1.278481013,2.71377,4.736885535,13.47386805,2.631000015,3.52247346,16.28262,0.071914905,91.996803,40.977927,0.12211965,71.914905,50.255,40.78,297.772,2.397451798,3.622490662,254.44225,51.38339921,62.255079,41.063765,,124.7351385,,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079,,,,,,,,,,,,,,,,,,0.574,2.703,2.424,0.084,0.578,0.432,,,,,,,,,,,,,,,,,1.363780229,,0.809645985,,0.809645985,0.733912493,,0.629867736,,0.809645985,,,,9.006613574,0.384803139,3.742655847,0.392091603,3.350564244,4.171524348,0.384803139,4.835089226,,3.350564244,,,0.392091603,2.624238885,3.668497047,2.221826496,0.089195009,2.221826496,2.063844112,0.537494433,0.560394773,3.131002614,1.988140032,0.233686464,0.233686464,,,2.593809539,3.430436165,2.892343328,0.090116704,2.802226624,1.884794996,0.538521666,0.709014543,2.891914499,2.413767939,0.090116704,0.388458685,
4,1,21,B,broiler chicken DHA,S Control,52.82,1426.14,4185.7209,0,120.2997294,43.95394855,712.2706628,34.11611252,453.4000204,328.0122,17.82675,4.99149,11.40912,17.11368,15.68754,7.1307,10.268208,11.40912,2.85228,12.83526,16.70719445,34.39333703,6.446733239,11.70959914,57.9556456,14.25753373,19.54784713,16.58105664,11.67544594,28.97771869,73.874052,5.669923602,9.190329864,17.26292631,0.321529681,13.80434096,306.7631323,0.11170805,0,0,4.0359762,0.11755301,0,0,0.4848876,4.9059216,11.2379832,0.641763,0.204633733,0.066960006,0,0,0.087219643,0,0,0,0.055731811,4702.215756,6488.937,6.87271E-05,641.763,0,10.69605,1.07245728,0,1.5259698,5.348025,21.677328,4.27842,5.3908092,0.21677328,0.53622864,0.00855684,2246.1705,0.014404014,0.011266506,6.41763,1.278481013,2.85228,4.97865474,14.1615702,2.76528546,3.70225944,17.11368,0.07558542,96.692292,43.069428,0.1283526,75.58542,52.82,40.58,449.67,2.397451798,2.231291643,463.8469,96.83794466,47.7000975,34.28437,0.18016,69.24073,,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679,,,,,,,,,,,,,,,,,,0.53,1.587,2.642,0.077,0.818,0.348,,,,,,,,,,,,,,,,,1.866659961,0.141000327,0.909902244,,0.909902244,0.948546923,,0.918113039,,0.909902244,,,,9.416269913,0.501563646,5.851416029,0.314122902,5.537293127,4.744654848,0.501563646,4.671615064,,5.537293127,,,0.314122902,2.903653205,4.006245729,3.168034221,0.107574592,3.06045963,2.31831154,0.662285476,0.585341665,3.343960253,2.795089935,0.265369695,0.265369695,,,2.4686344,2.528712375,3.092411785,0.099325316,2.993086469,1.797247774,0.292281192,0.671386626,2.236431183,2.621477336,0.099325316,0.371609133,
5,1,21,B,broiler chicken DHA,S Control,59.24562,1599.63174,4694.919157,0,134.934344,49.30100215,798.9192924,38.26638089,508.556708,367.9153002,19.99539675,5.59871109,12.79705392,19.19558088,17.59594914,7.9981587,11.51734853,12.79705392,3.19926348,14.39668566,18.73964584,38.5773301,7.230986515,13.13408673,65.00602341,15.9919808,21.92586753,18.59816321,13.09577875,32.50289493,82.86092413,6.359677,10.30834515,19.36298319,0.360644174,15.48365654,344.0812565,0.12529748,0,0,4.526957824,0.13185348,0,0,0.543874792,5.502733186,12.60509811,0.719834283,0.229527686,0.075105776,0,0,0.097830023,0,0,0,0.062511657,5274.246267,7278.324417,7.70879E-05,719.834283,0,11.99723805,1.202923068,0,1.711605962,5.998619025,24.31440245,4.79889522,6.046607977,0.243144024,0.601461534,0.00959779,2519.419991,0.016156281,0.012637091,7.19834283,1.278481013,3.19926348,5.584314404,15.88434318,3.101685944,4.152643997,19.19558088,0.084780482,108.455032,48.30887855,0.143966857,84.78048222,59.24562,44.14,327.88,3.423159319,2.326543741,391.0366625,31.2911726,50.8089285,27.228265,,69.24073,,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101,,,,,,,,,,,,,,,,,,0.642,2.157,3.791,0.096,1.13,0.281,,,,,,,,,,,,,,,,,1.147199895,,0.766160844,,0.766160844,0.575948405,,0.571251491,,0.766160844,,,,9.821207331,0.365073363,6.493084974,0.39898455,6.094100424,4.752032221,0.365073363,5.069175109,,6.094100424,,,0.39898455,1.841701982,1.652661991,1.968413461,0.089195009,1.968413461,1.321373057,0.169877894,0.520328926,1.482784098,1.643678689,0.324734772,0.324734772,,,2.779339251,3.711982018,2.488615088,0.072044493,2.416570594,2.048819924,0.557376752,0.730519327,3.154605266,2.084185506,0.072044493,0.332385088,
6,1,21,B,broiler chicken DHA,S Control,53.297,1439.019,4223.520765,0,121.3861165,44.35088216,718.7029442,34.42420388,457.4945264,330.97437,17.9877375,5.0365665,11.512152,17.268228,15.829209,7.195095,10.3609368,11.512152,2.878038,12.951171,16.85807161,34.70393191,6.504951561,11.81534467,58.47902393,14.38628882,19.72437729,16.7307947,11.78088304,29.23940691,74.5411842,5.721126812,9.273324702,17.4188221,0.324433309,13.92900341,309.533409,0.11271685,0,0,4.07242377,0.11861459,0,0,0.48926646,4.95022536,11.33946972,0.64755855,0.206481712,0.0675647,0,0,0.088007294,0,0,0,0.056235107,4744.679915,6547.53645,6.93478E-05,647.55855,0,10.7926425,1.082142288,0,1.53975033,5.39632125,21.8730888,4.317057,5.43949182,0.218730888,0.541071144,0.008634114,2266.454925,0.014534092,0.01136825,6.4755855,1.278481013,2.878038,5.023615329,14.28945867,2.790257841,3.735693324,17.268228,0.076268007,97.5654882,43.4583738,0.12951171,76.268007,53.297,40.81,323.28,2.083662194,2.819003571,414.67635,111.5942029,49.254513,51.44039,,124.7351385,,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929,,,,,,,,,,,,,,,,,,0.418,1.473,2.134,0.085,0.476,0.201,,,,,,,,,,,,,,,,,1.333450067,,0.852785339,,0.852785339,0.689572853,,0.571251491,,0.852785339,,,,10.78145477,0.754863388,4.732322124,0.368399685,4.511282313,5.678330533,0.754863388,5.10312424,,4.511282313,,,0.368399685,2.460965303,3.041878097,2.573714616,0.089195009,2.52019761,1.879311632,0.410467868,0.581653671,2.631410229,2.226464649,0.293732961,0.293732961,,,2.741643368,3.105030579,2.985533679,0.085531125,2.917108779,1.95113608,0.427127954,0.778401015,2.677902624,2.473547073,0.085531125,0.37604743,
1,1,21,B,broiler chicken DHA,S 1%,52.79562,1425.48174,4183.788907,0,122.4262591,44.07340081,737.1979885,34.50375558,475.7070437,327.8608002,17.81852175,4.98918609,11.40385392,17.10578088,15.68029914,7.1274087,10.26346853,11.40385392,2.85096348,12.82933566,16.72631907,34.11716351,6.453602013,11.69797072,57.74289117,14.18802218,19.56539831,16.49921132,11.65137599,28.92138805,64.00413013,5.772959833,9.438376156,17.72757232,0.337636041,14.4958407,322.1297934,0.11059873,0,0,3.706252524,0.08736587,0,0,0.413389705,3.378391724,8.396087449,0.584447513,0.213193582,0.069731176,0,0,0.088615163,0,0,0.6557216,0.05852358,4699.620714,6485.941917,161.0794366,641.466783,0,10.69111305,1.071962268,0,1.525265462,5.345556525,21.66732245,4.27644522,5.388320977,0.216673224,0.535981134,0.00855289,2245.133741,0.014397366,0.011403854,6.41466783,1.2625,2.85096348,4.98918609,14.15788464,2.773987466,3.710528969,17.10578088,0.075550532,96.64766197,43.04954855,0.128293357,75.55053222,52.79562,40.56,186.03,2.530161236,2.08290572,476.4833875,58.2345191,50.761825,18.096835,,152.736904,,0.432713945,0.9257004,3.208117859,3.730435798,0.941812623,5.560573812,,,,,,,,,,,,,,,,,,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121,,,,,,,,,,,,,,,,,0.720515806,,1.173982887,0.316743945,0.857238942,0.720515806,,0.54261854,,0.857238942,,,0.316743945,15.34533869,1.42925444,6.449134823,2.990332622,3.458802201,9.383179158,1.42925444,5.962159533,,3.458802201,,,2.548933732,2.255009178,2.241162334,1.747535489,0.409540724,1.337994765,1.70311457,0.403680938,0.551894609,1.837481396,1.149273624,0.188721141,0.188721141,,0.409540724,3.314611569,3.944729429,2.683797017,0.415769891,2.268027126,2.521837778,0.786452953,0.79277379,3.158276476,2.007494317,0.099952394,0.260532809,0.415769891
2,1,21,B,broiler chicken DHA,S 1%,48.62688,1312.92576,3853.437106,0,112.7594867,40.59336688,678.9888654,31.77934045,438.1452349,301.9729248,16.411572,4.59524016,10.50340608,15.75510912,14.44218336,6.5646288,9.453065472,10.50340608,2.62585152,11.81633184,15.4056096,31.42327367,5.944025861,10.77429943,53.18351484,13.06773652,18.02051525,15.19643426,10.73138382,26.63775643,58.95036662,5.31712716,8.69312236,16.32780393,0.310976313,13.35124971,296.6944381,0.10186586,0,0,3.413606976,0.08046747,0,0,0.38074847,3.111634051,7.733132726,0.538299562,0.196359826,0.064225205,0,0,0.081618113,0,0,0.60394585,0.053902561,4328.538854,5973.812208,148.3606109,590.816592,0,9.8469432,0.987320172,0,1.404830563,4.9234716,19.95647155,3.93877728,4.962859373,0.199564716,0.493660086,0.007877555,2067.858072,0.01326055,0.010503406,5.90816592,1.2625,2.62585152,4.59524016,13.03997865,2.554953529,3.417545753,15.75510912,0.069585065,89.01636653,39.65035795,0.118163318,69.58506528,48.62688,36.86,157.48,2.614499944,2.535839169,183.2653,92.09486166,39.739606,43.000735,,188.884638,,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957,,,,,,,,,,,,,,,,,,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892,,,,,,,,,,,,,,,,,1.627785354,,1.310326922,0.373250091,0.937076831,0.895995495,,0.731789859,,0.937076831,,,0.373250091,13.93690168,1.072932771,4.508895733,1.740314262,2.768581471,8.873587777,2.367767054,5.063313899,,2.768581471,,,1.740314262,2.463858893,3.363724886,1.590422656,0.282677077,1.30774558,1.915374372,0.514415774,0.548484521,2.849309113,1.168756309,0.13898927,0.13898927,,0.282677077,3.279875452,4.210511891,2.195111773,0.365149646,1.829962128,2.400602338,0.695003892,0.879273115,3.515507999,1.543705379,0.099952394,0.286256749,0.365149646
3,1,21,B,broiler chicken DHA,S 1%,49.57,1338.39,3928.17465,0,114.9464608,41.38067662,692.1578777,32.39570184,446.6430767,307.8297,16.729875,4.684365,10.70712,16.06068,14.72229,6.69195,9.636408,10.70712,2.67678,12.04551,15.70440192,32.03272914,6.059310446,10.98326733,54.21501093,13.32118572,18.37002376,15.49116963,10.93951938,27.15439663,60.093711,5.420253023,8.861725765,16.64448225,0.317007709,13.61019766,302.4488368,0.10384155,0,0,3.479814,0.08202814,0,0,0.3881331,3.1719843,7.8831171,0.5487399,0.200168231,0.065470855,0,0,0.083201099,0,0,0.6156594,0.054948003,4412.491014,6089.6745,151.23807,602.2755,0,10.037925,1.00646928,0,1.4320773,5.0189625,20.343528,4.01517,5.0591142,0.20343528,0.50323464,0.00803034,2107.96425,0.013517739,0.01070712,6.022755,1.2625,2.67678,4.684365,13.29288948,2.60450694,3.48382917,16.06068,0.07093467,90.742842,40.419378,0.1204551,70.93467,49.57,38.4,304.86,2.822866163,2.349222812,804.9461,83.33333333,46.1927855,23.631035,,173.101825,,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109,,,,,,,,,,,,,,,,,,0.459,1.576,3.12,0.064,0.688,0.351,,,,,,,,,,,,,,,,,1.021907193,,0.742246108,0.20960826,0.532637848,0.550583166,,0.471324027,,0.532637848,,,0.20960826,12.99502467,1.222037012,8.379231526,3.341374421,5.037857104,7.717067828,1.222037012,5.277956841,,5.037857104,,,2.963284716,2.156147134,1.833953814,2.037501938,0.387692425,1.649809513,1.617366039,0.242484926,0.538781095,1.591468888,1.441055557,0.208753957,0.208753957,,0.387692425,3.309881734,3.552900938,2.98400839,0.512910686,2.471097704,2.411878769,0.639070551,0.898002965,2.913830386,2.160168642,0.106290369,0.310929062,0.406620317
4,1,21,B,broiler chicken DHA,S 1%,54.47937,1470.94299,4317.217676,0,126.330659,45.4789831,760.7085963,35.60414418,490.8782214,338.3168877,18.38678738,5.148300465,11.76754392,17.65131588,16.18037289,7.35471495,10.59078953,11.76754392,2.94188598,13.23848691,17.25975233,35.20522297,6.659419321,12.07104065,59.5844188,14.64050445,20.18937506,17.02540169,12.02295993,29.84374462,66.04534025,5.957070203,9.739383434,18.2929374,0.348403879,14.95813988,332.4031085,0.11412593,0,0,3.824451774,0.09015213,0,0,0.426573467,3.486134886,8.663854211,0.603086626,0.21999272,0.071955032,0,0,0.091441264,0,0,0.676633775,0.060390006,4849.500314,6692.790605,166.2165579,661.9243455,0,11.03207243,1.106149128,0,1.573908999,5.516036213,22.35833345,4.41282897,5.560164502,0.223583334,0.553074564,0.008825658,2316.735209,0.014856524,0.011767544,6.619243455,1.2625,2.94188598,5.148300465,14.60940578,2.862455059,3.828864603,17.65131588,0.077959978,99.72993472,44.4224783,0.132384869,77.95997847,54.47937,41.66,485.28,2.768294058,2.545558771,268.19625,81.62055336,40.3519515,30.272075,,150.700412,,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902,,,,,,,,,,,,,,,,,,0.463,1.62,2.97,0.082,0.651,0.264,,,,,,,,,,,,,,,,,1.083958863,,0.847745205,0.306405197,0.541340008,0.549525818,,0.534433045,,0.541340008,,,0.306405197,10.743538,0.824699419,5.001887657,2.577404604,2.424483053,5.984916267,0.824699419,4.758621735,,2.424483053,,,2.216676604,1.920464924,1.754613747,1.64197863,0.41702665,1.22495198,1.420871202,0.261802944,0.499593722,1.492810803,1.037563289,0.187388691,0.187388691,,0.41702665,3.08072065,2.971271322,3.155001126,0.518401783,2.636599344,2.237336102,0.463653582,0.843384548,2.50761774,2.321509875,0.093614419,0.315089469,0.424787364
